NAME:,walk_111_1_1.csv,,,,,
EXPERIMENT TIME:,20/03/2024 18:37:43,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,95,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0.07299805,10.13,-0.04,-4.67,-0.32,0.22,-0.16
0.1459961,8.22,-0.08,-3.05,-0.07,0.17,-0.19
0.21899414,10.18,0.56,-2.61,0.34,-0.07,-0.43
0.2919922,7.95,0.67,-2.69,0.11,0.1,-0.25
0.36499023,8.5,0.64,-2.42,0.04,-0.12,-0.06
0.43798828,9.28,0.73,-2.01,0.11,-0.21,-0.06
0.5109863,9.08,0.63,-1.73,0.14,-0.09,0.06
0.5839844,10.43,0.44,-1.5,0.25,-0.09,0.16
0.6569824,11.56,0.88,-1.07,0.35,0.09,0.05
0.72998047,12.29,0.81,-2.33,0.73,0.15,-0.25
0.8029785,9.22,0.33,-6.62,0.2,-0.19,-0.13
0.87597656,8.37,-1.29,-4.11,-0.08,0.23,0.22
0.9489746,9.64,0.52,-4.38,0.21,0,-0.11
1.0219727,6.15,-0.25,-2.6,-0.18,0.3,0.1
1.0949707,7.9,-1.07,-2.86,-0.26,-0.1,0.22
1.1679688,9.56,-1.23,-2.28,-0.29,-0.13,0.15
1.2409668,9.84,-0.65,-1.7,0.03,0.31,-0.05
1.3139648,11.49,-1.22,-1.27,0.06,0.64,-0.06
1.3869629,12.45,0.27,-6.72,0.54,-0.34,-0.47
1.4599609,8.63,0.51,-4.45,-0.08,0.63,0.19
1.532959,8.95,-0.48,-3.34,0.21,-0.3,-0.03
1.605957,7.73,-0.15,-2.97,0.07,-0.02,0.05
1.6789551,7.49,0.75,-2.71,0.62,-0.12,-0.27
1.7519531,8.92,2.12,-3.01,0.59,-0.17,-0.42
1.8249512,10.5,0.6,-1.48,0.15,0.01,0
1.8979492,11.1,-0.12,-1.09,0.08,0.45,0.26
1.9709473,12.7,0.59,-5.83,0.31,-0.21,0.05
2.0439453,7.35,-0.8,-4.37,-0.23,0.55,0.07
2.1169434,10,0.41,-3.95,0.28,-0.02,-0.07
2.1899414,7.55,0.87,-3.54,-0.06,0.08,-0.24
2.2629395,7.45,-0.11,-2.74,-0.61,0.09,0.21
2.3359375,9.06,-0.69,-2.18,-0.85,-0.1,0.3
2.4089355,9.14,-0.52,-1.2,-0.62,0.09,0.19
2.4819336,10.79,-0.44,-1.02,-0.48,0.01,0.02
2.5549316,12.36,-0.46,-2.57,-0.34,0.29,0
2.6279297,11.19,2.26,-7.06,-0.39,-0.01,0.03
2.7009277,8.01,1.6,-3.94,-0.72,0.32,-0.02
2.7739258,8.69,-0.03,-2.88,-0.74,-0.19,0
2.8469238,6.7,0.41,-2.27,-0.58,-0.05,0.04
2.9199219,9.17,1.16,-2.73,-0.08,-0.46,-0.18
2.99292,9.53,1.29,-2.73,-0.26,-0.27,0
3.065918,9.94,0.29,-1.63,-0.17,0.28,0.5
3.138916,12.24,0.59,-1.97,0.29,0.11,0.59
3.211914,12.58,1.06,-6.25,0.66,-0.17,0.12
