"Name:","walk_127_5_1"
"EXPERIMENT TIME:","15/03/2024 20:27"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","83"

"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"0.0","-0.94","2.39","-10.75","-0.02","0.03","0.02"
"0.05","-0.9","2.35","-10.67","-0.02","0.03","0.0"
"0.1","-0.9","2.35","-10.79","-0.05","0.04","-0.0"
"0.15","-0.82","2.35","-10.67","-0.03","0.04","-0.0"
"0.2","-0.86","2.24","-10.63","-0.04","0.06","-0.01"
"0.25","-0.9","2.24","-10.83","-0.01","0.08","-0.01"
"0.3","-0.82","2.31","-10.83","0.0","0.07","-0.02"
"0.35","-0.82","2.28","-10.71","0.01","0.06","-0.05"
"0.4","-0.94","2.2","-11.18","0.05","0.09","-0.05"
"0.45","-0.78","2.35","-10.87","-0.01","0.02","-0.07"
"0.5","-0.43","2.55","-10.55","-0.02","0.02","-0.16"
"0.55","-0.9","1.61","-10.83","0.13","0.08","-0.33"
"0.6","-0.82","1.84","-10.98","0.02","0.07","-0.16"
"0.65","-0.94","1.8","-10.98","0.07","0.09","-0.13"
"0.7","-1.14","1.69","-11.53","0.09","0.02","-0.09"
"0.75","-1.29","1.61","-10.43","0.07","-0.03","-0.11"
"0.8","-1.41","1.65","-10.83","0.12","0.01","-0.14"
"0.85","-1.61","1.29","-10.55","0.06","-0.03","-0.16"
"0.9","-1.41","1.88","-10.79","-0.02","0.06","-0.09"
"0.95","-1.26","1.69","-10.83","-0.0","0.07","-0.25"
"1.0","-1.53","1.33","-10.63","-0.04","0.08","-0.28"
"1.05","-1.49","1.49","-9.89","-0.11","0.11","-0.31"
"1.1","-1.37","0.98","-10.4","-0.01","0.24","-0.42"
"1.15","-1.53","1.1","-10.59","-0.19","0.19","-0.24"
"1.2","-1.73","1.53","-10.0","-0.31","0.23","-0.24"
"1.25","-1.88","1.33","-10.04","-0.34","0.52","-0.34"
"1.3","-2.08","0.59","-10.87","-0.28","0.31","-0.39"
"1.35","-1.73","0.98","-11.26","-0.31","0.24","-0.29"
"1.4","-1.69","-0.04","-12.0","-0.1","-0.05","-0.36"
"1.45","-0.9","2.28","-14.67","-0.28","-0.15","0.05"
"1.5","0.63","2.51","-15.81","-0.59","-0.32","0.23"
"1.55","0.27","4.28","-10.32","-0.27","-0.89","0.5"
"1.6","0.71","4.98","-6.2","0.54","-0.33","-0.05"
"1.65","-0.55","0.98","-8.94","0.47","0.27","-0.34"
"1.7","-0.04","3.41","-10.83","-0.41","0.03","0.57"
"1.75","0.39","5.37","-10.67","0.01","0.21","0.28"
"1.8","-0.47","1.69","-9.96","0.22","0.4","-0.07"
"1.85","-0.47","2.63","-10.12","-0.18","0.24","0.49"
"1.9","-1.14","3.22","-9.38","-0.41","0.24","0.52"
"1.95","-1.06","3.69","-11.26","-0.2","0.34","0.39"
"2.0","-0.9","2.51","-10.0","-0.09","0.25","0.19"
"2.05","-0.82","2.63","-10.55","0.02","0.27","0.36"
"2.1","-1.18","2.63","-10.2","-0.11","0.12","0.48"
"2.15","-1.06","3.49","-10.24","-0.08","0.05","0.52"
"2.2","-0.98","3.84","-10.87","-0.13","-0.0","0.52"
"2.25","-0.75","2.31","-11.77","0.07","-0.17","0.36"
"2.3","-0.82","3.1","-14.67","-0.13","-0.41","0.95"
"2.35","0.04","6.12","-11.06","-1.07","-0.68","0.99"
"2.4","2.47","6.67","-10.83","-0.61","-0.42","0.5"
"2.45","2.16","0.86","-8.9","0.84","-0.01","-1.2"
"2.5","1.18","1.96","-9.26","0.34","0.21","-0.12"
"2.55","0.31","2.12","-10.79","0.22","0.12","-0.16"
"2.6","0.0","1.73","-10.75","0.22","0.09","-0.05"
"2.65","0.24","2.75","-9.69","0.19","0.18","-0.04"
"2.7","-0.75","0.82","-11.1","-0.0","-0.01","-0.09"
"2.75","-0.59","1.73","-10.51","-0.02","-0.03","0.16"
"2.8","-0.67","2.28","-10.28","-0.06","0.01","0.0"
"2.85","-1.02","1.57","-10.55","0.04","0.03","-0.13"
"2.9","-1.45","1.37","-9.92","0.07","0.04","-0.21"
"2.95","-1.22","1.26","-11.41","0.06","0.04","-0.3"
"3.0","-1.88","0.2","-10.43","-0.15","-0.13","-0.44"
"3.15","-0.12","1.41","-14.0","0.28","-0.46","-0.01"
"3.2","1.57","4.82","-16.24","-0.77","-0.52","0.52"
"3.25","0.71","4.08","-8.16","-0.21","-0.74","0.1"
"3.3","-0.08","2.98","-6.32","-0.01","0.13","0.11"
"3.35","-0.75","2.79","-10.71","0.03","0.55","0.35"
"3.4","0.04","2.67","-8.67","-0.23","0.53","0.09"
"3.45","0.0","2.35","-10.0","-0.1","0.71","0.3"
"3.5","-0.43","2.55","-10.75","-0.43","0.45","0.62"
"3.55","-0.63","3.92","-10.59","-0.5","0.27","0.74"
"3.6","-0.43","3.3","-10.4","-0.06","0.44","0.42"
"3.75","-0.82","3.14","-10.75","-0.12","0.16","0.72"
"3.8","-0.86","3.3","-11.85","-0.16","-0.05","0.69"
"3.85","-0.9","3.3","-11.65","-0.05","-0.34","0.54"
"3.9","-1.65","1.61","-15.49","-0.03","-0.44","0.81"
"4.65","-0.08","2.2","-13.85","-0.0","-0.6","0.01"
"4.7","2.86","6.55","-11.65","-0.8","-0.46","0.37"
"7.264","-0.55","2.94","-9.61","0.18","0.34","-0.71"
"7.314","0.04","3.02","-9.92","0.14","0.5","-0.79"
"7.364","-0.82","2.82","-9.22","-0.27","0.4","-0.87"
"7.414","-0.67","2.86","-8.9","-0.22","0.7","-0.98"
"7.464","-0.86","1.06","-11.92","0.41","1.02","-1.31"
"7.514","-1.45","1.8","-12.16","-0.08","0.27","-1.0"
"7.664","0.24","6.32","-12.51","-1.47","-1.04","-0.02"
"7.714","2.47","8.04","-11.49","-0.04","-0.68","-0.63"
"7.764","2.08","3.3","-6.71","-0.32","-0.44","-1.03"
"7.814","0.67","3.18","-8.87","-0.11","0.51","-0.28"
"7.864","-0.35","2.75","-9.81","-0.26","0.49","-0.03"
"7.914","-0.71","2.08","-9.49","-0.06","0.5","0.26"
"7.964","-0.39","3.33","-9.65","-0.16","0.29","0.59"
"8.014","-0.98","3.37","-10.32","-0.11","0.36","0.81"
"8.064","-1.02","4.04","-10.67","-0.12","0.11","0.89"
"8.114","-1.14","3.33","-10.32","0.03","0.1","0.77"
"8.264","-1.65","2.86","-10.36","-0.17","-0.23","0.92"
"8.314","-2.16","3.73","-11.96","-0.08","-0.33","1.1"
