"NAME:","run_122_2_1.csv"
"EXPERIMENT TIME:","16/03/2024 00:09:17"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","166"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"7.75","4.71","-3.80","-2.98","1.19","-0.27","0.68"
"7.810","-3.30","0.63","3.80","0.57","0.33","0.84"
"7.869","-3.37","-4.82","-2.79","0.55","-0.61","-0.49"
"7.930","-2.94","20.0","20.0","-1.29","1.47","-1.23"
"8.0","-7.34","20.0","4.79","-3.33","2.82","-0.28"
"8.060","-2.31","11.6","3.77","-2.07","0.84","-2.09"
"8.119","-5.84","-5.77","-8.43","2.02","3.53","-0.09"
"8.189","-1.57","-2.47","-0.16","1.03","-0.38","-0.24"
"8.25","-1.69","2.43","-1.80","-0.47","-0.17","1.92"
"8.310","-10.9","16.5","19.8","-1.86","-0.53","3.23"
"8.380","-1.45","20.0","1.02","-0.57","-3.44","-0.03"
"8.439","-0.24","6.90","-1.96","0.47","-1.58","1.27"
"8.5","2.94","-7.53","0.67","-0.18","-1.43","0.14"
"8.560","-1.92","-5.02","-1.65","0.59","-0.49","0.46"
"8.630","-20.0","20.0","20.0","-4.52","1.31","-1.80"
"8.689","10.0","16.9","9.53","-0.28","0.35","-1.19"
"8.75","-5.61","11.4","0.35","-1.64","2.74","-1.87"
"8.82","-0.67","0.31","-7.61","1.58","2.11","-1.00"
"8.880","-6.24","-4.08","4.98","0.75","1.39","-0.48"
"8.939","0.43","3.26","-2.12","0.12","-1.02","1.78"
"9.009","-14.4","16.0","15.9","0.47","-0.49","4.68"
"9.07","-2.24","20.0","6.79","-0.74","-1.32","-0.76"
"9.130","0.47","10.2","-2.35","-0.15","-1.11","1.39"
"9.189","5.57","-8.08","-2.79","1.30","-0.31","-0.10"
"9.259","-6.98","2.04","3.02","0.59","0.62","1.68"
"9.32","-1.26","2.16","-0.67","0.39","-0.57","-1.22"
"9.380","4.82","15.2","-12.6","1.54","-2.71","-0.74"
"9.450","-3.96","18.4","0.08","-2.59","3.44","-1.24"
"9.509","1.45","20.0","-1.80","-1.23","0.02","-2.82"
"9.57","-12.2","-7.06","1.69","0.97","4.80","-0.21"
"9.639","1.96","-0.04","-2.67","0.62","-0.73","0.21"
"9.700","-2.82","-0.20","0.71","-1.41","-0.56","2.72"
"9.759","-10.9","6.94","2.47","1.47","-0.55","2.56"
"9.82","-1.80","20.0","3.45","0.25","-2.95","0.33"
"9.889","-0.67","4.35","-2.28","1.23","-1.31","1.31"
"9.950","3.88","0.31","0.75","0.87","-0.99","-0.16"
"10.00","-6.28","-4.98","3.88","0.06","0.80","0.99"
"10.07","-20.0","20.0","18.4","-3.86","1.36","-2.05"
"10.13","0.16","20.0","1.92","0.63","-0.97","-0.78"
"10.20","-4.28","16.9","0.47","-1.41","2.28","-1.92"
"10.25","1.49","3.45","-9.22","1.34","0.65","-1.46"
"11.02","-9.61","-7.26","1.02","0.55","4.69","-0.59"
"11.07","1.18","0.47","-0.82","0.54","-0.89","0.03"
"12.02","-2.12","14.5","3.18","0.48","-2.43","0.98"
"12.07","6.63","-1.10","-7.57","1.01","-2.36","0.96"
"12.52","-0.08","-1.02","-1.29","0.67","-0.60","0.57"
"12.57","-3.77","4.00","3.41","-1.51","-0.12","1.93"
"12.65","-11.8","16.0","-2.98","1.09","-0.97","0.51"
"12.70","-1.80","20.0","3.26","0.00","-2.82","0.47"
"12.77","1.18","2.71","-3.33","0.67","-2.21","0.48"
"12.84","-0.31","-1.61","4.35","0.67","0.62","0.75"
"12.90","-4.08","-4.43","0.59","0.24","-0.34","0.62"
"12.95","-14.5","20.0","20.0","-3.75","0.86","-1.80"
"13.02","0.59","20.0","1.84","-1.94","1.39","-1.07"
"13.15","2.39","3.53","-9.49","1.32","2.52","-0.74"
"13.20","-11.4","-5.41","5.88","0.29","0.44","-0.65"
"13.27","0.39","2.12","-2.59","-0.22","-0.78","1.52"
"13.34","-16.0","11.3","20.0","-2.02","0.76","3.31"
"13.40","-3.33","20.0","0.24","-0.33","-1.64","-1.45"
"13.47","-3.26","14.8","3.92","0.10","-1.93","0.75"
"13.52","8.51","-1.57","-5.53","1.85","-2.31","0.08"
"13.59","-7.45","-0.47","4.39","0.36","0.70","1.72"
"13.66","-1.22","4.16","-1.10","1.17","-0.68","-2.17"
"13.72","14.0","20.0","-12.6","3.99","-5.00","-2.34"
"13.77","-5.30","18.5","-1.18","-1.72","1.36","-0.41"
