NAME:,walk_111_2_1.csv,,,,,
EXPERIMENT TIME:,20/03/2024 18:35,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,80,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0.07299805,9.13,0.01,-2.93,0.24,0.26,-0.09
0.1459961,9.63,-0.76,-2.73,-0.14,0.14,0.06
0.21899414,9.39,-0.69,-2.84,-0.06,0.16,0.04
0.2919922,9.52,-0.04,-2.92,0.08,0.1,-0.07
0.36499023,9.83,-0.01,-2.8,-0.05,0.14,-0.14
0.43798828,8.92,-0.05,-2.78,-0.32,0.19,-0.15
0.51123047,9.3,0.54,-3.19,-0.39,-0.11,-0.22
0.5842285,9.65,1.04,-3.21,-0.62,-0.14,-0.13
0.65722656,9.42,0.61,-3.18,-1.04,0.11,0.19
0.7302246,9.19,0.33,-2.92,-1.16,0.03,0.18
0.80322266,9.56,0.31,-2.82,-1.1,-0.12,0.07
0.8762207,9.55,0.33,-3.01,-1,-0.04,0.18
0.94921875,9.3,0.22,-2.99,-0.79,0,0.21
1.0222168,9.44,0.18,-2.77,-0.56,-0.04,0.15
1.0952148,9.62,-0.01,-2.94,-0.43,-0.06,0.15
1.1682129,9.41,-0.03,-3.01,-0.28,0.03,0.17
1.2412109,9.66,-0.2,-2.96,-0.11,0,0.14
1.314209,9.89,-0.63,-2.57,-0.07,0.07,0.15
1.387207,9.68,-0.45,-2.31,0.07,0.16,0.07
1.4602051,9.34,-0.27,-2.41,0.07,0.13,0.06
1.5332031,8.72,-0.24,-2.07,-0.03,0.12,0.1
1.6062012,9.72,-0.34,-2.1,-0.05,-0.18,0.04
1.6791992,8.97,-0.16,-2.29,-0.13,-0.22,-0.05
1.7521973,8.92,-0.24,-1.63,-0.22,-0.2,-0.08
1.8251953,9.43,-0.42,-1.75,-0.43,-0.22,-0.07
1.8981934,10.59,-0.8,-1.24,-0.47,-0.06,0
1.9711914,12.62,-0.67,-2.75,-0.25,0.04,-0.05
2.0441895,12.14,-0.69,-4.43,-0.13,0.38,0.04
2.1171875,6.01,1.01,-5.23,0.11,0.31,-0.04
2.1901855,10.04,1.03,-3.81,0.58,-0.29,-0.31
2.2631836,7.88,0.06,-3.08,0.23,-0.09,-0.22
2.3361816,7,0.63,-3.14,0.48,0.05,-0.12
2.4091797,8.83,1.81,-2.95,0.72,-0.07,-0.27
2.4821777,9.37,1.18,-2.29,0.59,0.03,-0.13
2.5551758,11.28,0.93,-2.14,0.31,0.07,0.13
2.6281738,13.1,-0.15,-1.94,0.49,0.6,0.03
2.7011719,10.26,0.39,-7.22,0.28,0.13,-0.15
2.77417,8.19,-1.03,-3.94,-0.06,0.22,-0.15
2.847168,9.35,0.91,-4.54,0.34,-0.16,-0.29
2.920166,6.3,0.41,-2.97,-0.07,0.21,-0.07
2.993164,7.86,-0.31,-3.36,-0.42,-0.04,0.27
3.066162,9.22,-0.39,-2.87,-0.56,-0.11,0.1
3.1391602,9.82,-0.02,-1.95,-0.39,0.16,-0.11
3.2121582,10.6,-0.66,-1.38,-0.52,0.31,-0.07
3.2851562,11.75,-0.8,-1.85,-0.17,0.98,0.05
3.3581543,11.88,1.72,-7.07,-0.17,-0.14,0.09
3.4311523,7.73,1.14,-3.47,-0.04,0.17,-0.06
3.5041504,9.21,0.54,-3.84,0.1,-0.38,-0.05
3.5771484,6.06,0.4,-2.4,0.34,0.12,-0.05
3.6501465,9.17,2.11,-2.97,0.97,-0.21,-0.07
3.7231445,9.24,1.16,-1.44,0.3,0.25,0.2
3.7961426,9.02,-0.02,-1.24,0.25,0.38,0.53
3.8691406,10.45,0.58,-0.78,0.56,0.2,0.42
3.9421387,11.95,1.23,-3.88,0.88,-0.06,-0.01
4.0151367,11.7,2.19,-6.52,-0.2,-0.03,-0.23
4.088135,9.58,0.23,-4.1,-0.72,0.24,-0.25
4.161133,7.4,1.29,-4.22,-1.43,0.26,-0.02
4.234131,6.47,0.76,-3.92,-2.01,0.09,0.27
4.307129,9.09,-0.12,-4.64,-2.37,-0.39,0.35
4.380127,9.7,-0.73,-3.05,-2.35,-0.2,0.37
4.453125,9.5,-0.12,-1.91,-1.61,-0.24,0.12
