NAME:,run_125_3_1.csv,,,,,
EXPERIMENT TIME:,12/03/2024 6:08,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS: ,50,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0,9.45,-0.51,-0.2,0.31,-0.07,-0.11
0.05999756,9.38,-0.75,-0.59,-0.31,-0.1,-0.01
0.13000488,9.61,-1.53,-1.22,-0.59,-0.28,-0.1
0.19000244,10.71,-1.37,-1.29,0.1,0.11,-0.43
0.25,8.94,-0.78,-0.51,-0.03,0.18,-0.28
0.30999756,9.61,-2.12,-0.63,-1.01,-0.29,-0.2
0.36999512,9.18,-1.65,-0.67,0.16,-0.18,-0.49
0.44000244,9.92,-1.49,-0.63,-0.15,-0.15,-0.4
0.5,8.83,-0.78,-1.14,0.59,0.21,-0.18
0.55999756,7.02,-0.78,-0.35,0.32,0.29,0.01
0.6199951,11.38,-2.79,-1.73,-0.78,0,-0.17
0.6799927,12.94,-3.53,-1.06,-0.64,-0.19,-0.76
0.73999023,15.49,-2.08,-2.31,0.57,-0.84,-1.34
0.80999756,8,-2.24,-0.12,-1.07,0.9,-0.72
0.8699951,2.98,3.92,1.77,0.72,1.25,-0.49
0.9299927,5.49,1.73,-1.49,1.77,0.01,1.23
0.98999023,20.01,0.78,-8.43,5.04,-1.51,1.71
1.0599976,8.08,2.86,0.94,2.38,3.41,-1.08
1.1199951,20.01,1.73,1.1,-2.16,-1.04,0.67
1.1799927,12.32,-4.28,1.37,-4.52,2.24,1.25
1.2399902,0.82,-2.55,2.12,-1.57,2.9,0.5
1.2999878,-3.73,0.71,-1.37,2.26,3.14,0.18
1.3599854,-0.31,9.41,-0.67,3.03,0.31,1.76
1.4299927,20.01,18.51,-5.1,7.59,-12.33,5.95
1.4899902,5.84,-1.14,4.12,-10.16,2.3,-1.34
1.5499878,20.01,-12,15.81,-6.7,-5.67,-2.68
1.6099854,10.32,-3.84,3.3,0.06,0.48,-0.97
1.6799927,11.61,-3.02,0.78,1.14,-1.62,-1.48
1.7399902,1.29,-0.27,-0.63,1.65,1.78,-1.12
1.7999878,-2.43,1.65,-2.39,1.28,3.79,-0.4
1.8599854,0.24,8.39,0.24,3.92,4.69,0.73
1.9199829,15.3,4.39,-1.92,6.46,-10,7.14
1.9899902,16.4,-0.47,-2.39,-6.91,4.61,-0.76
2.0499878,13.89,-2.08,-0.08,-7.46,-1.8,-0.16
2.1099854,10.08,-3.18,1.29,-0.01,2.34,0.42
2.169983,-0.08,-1.06,2.12,1.3,1.56,1.24
2.2299805,-0.9,0.39,-1.73,2.9,2.95,0.84
2.289978,-1.65,1.92,0.2,3.41,1.71,0.64
2.3599854,20.01,12.51,7.88,5.7,-10.98,4.96
2.419983,5.18,-0.51,6.83,-9.29,2.37,-2.04
2.4799805,20.01,-10.04,12.12,-8.86,-6.49,-1.96
2.539978,7.96,-3.53,4.2,-0.65,2.15,-0.19
2.6099854,10.2,-3.22,-0.39,1.22,-2.45,-2.13
2.669983,3.14,0.12,-2.35,3.19,2.3,-1.1
2.7299805,-2.16,0.63,-0.24,1.97,5,-0.78
2.789978,3.49,2.28,-3.06,4.1,5.39,0.76
2.8499756,19.81,19.38,-8.79,6.92,-12.29,9.67
2.9099731,14.47,-0.98,3.06,-10.07,3.74,-0.36
2.9799805,17.34,-7.06,4.43,-7.4,-0.59,1.01
3.039978,3.1,-3.69,0.98,0.95,2.79,0.6
3.0999756,-2.35,0.04,-0.55,3.03,3.14,1.32
3.1599731,-4.39,2.24,-2.31,5.7,4.73,1.07
3.2199707,1.26,9.22,-5.73,0.14,-2.31,3.79
3.289978,20.01,17.77,-19.3,-7.02,-8.72,-0.66
3.3499756,12.47,-7.61,-5.41,-10.75,1.7,-1.15
3.4099731,14.55,-10.79,-2.82,-2.87,-0.26,-2.26
3.4699707,7.77,-4.75,-2.47,1.47,-1.08,-1.76
3.5299683,7.45,-1.96,-4.24,3.9,-0.92,-2.1
3.5999756,-3.69,0.08,-0.08,3.9,2.81,-1.29
3.6599731,0.75,1.88,-4.51,3.99,5.56,-1.1
3.7199707,12.63,14.87,14.32,7.14,2.72,2.75
3.7799683,20.01,5.49,-4.43,-4.39,0.19,1.44
3.8499756,16.87,-5.14,-9.73,-12.55,-1.22,0.21
3.9099731,8.24,-9.49,2.9,-1.81,4.77,1.6
3.9699707,-1.84,-1.88,-2.28,5.5,2.21,1.64
4.0299683,-4.08,3.22,-2.94,7.23,3.22,1.84
4.089966,-0.98,6.47,-8.36,1.52,-0.56,4.36
4.1499634,20.01,11.34,-3.92,-3.43,-14.57,1.92
4.2199707,9.41,-9.14,-1.96,-12.28,2.54,-1.4
4.2799683,14,-11.61,-3.14,0.72,0.83,-1.38
4.339966,6.75,-3.06,-2.24,5.7,-2.12,-1.07
4.3999634,11.81,1.49,-6.86,4.09,-3.37,-2.29
4.4699707,-3.37,0.08,1.26,1.08,2.92,-2.62
4.5299683,-1.18,1.65,-5.02,-0.01,5.85,-2.35
4.589966,7.57,7.69,10.55,2.15,1.46,2.29
4.6499634,20.01,17.5,-17.53,0.75,-4.91,3.84
4.709961,12.4,-4.2,-2.43,-9.39,3.32,0.3
4.7699585,7.88,-10.47,1.77,-4.63,2.2,1.41
4.839966,-1.1,-1.26,-1.37,3.07,1.9,1.33
4.8999634,-4.28,2.59,-1.69,6.1,3.85,0.69
4.959961,-4.28,3.49,-5.73,3.87,1.06,3.44
5.0199585,19.97,9.65,15.38,2.12,-11.03,6.13
5.089966,8.94,-6.32,2.16,-11.92,3.16,-1.51
5.1499634,20.01,-12.4,-6.9,-6.61,-1.03,-2.53
5.209961,5.1,-4.35,-0.94,2.74,-0.11,-0.76
5.2699585,12.71,-4.63,3.3,3.81,-3.84,-2.42
5.329956,1.41,0.2,-1.8,4.9,1.82,-2.29
5.3900146,-2.31,0.24,-1.69,3.1,5.3,-2.35
5.459961,10.12,4.24,3.26,5.24,6,0.46
5.5199585,20.01,19.97,-16.28,5.02,-7.98,6.11
5.579956,13.93,-2.16,6.51,-11.72,0.45,-0.32
5.6400146,19.5,-19.3,3.53,-7.68,2.64,3.16
5.700012,-1.26,-2.31,-1.41,1.71,3.38,2.56
5.7699585,-4.55,0.67,-3.02,6.87,4.05,1.81
5.829956,-1.8,1.49,-8.43,6.25,1.84,3.97
5.8900146,6.39,6.28,-7.61,-0.16,-4.62,4.91
5.950012,20.01,1.96,-10.71,-8.74,2.73,-1.34
6.01001,10.12,-7.61,-7.18,-12.32,3.07,-1.78
6.079956,9.49,-12.04,0.78,2.18,1.2,-0.77
