NAME:,walk_121_1_1.csv,,,,,
EXPERIMENT TIME:,18/03/2024 16:43,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,110,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0.078709,4.67,-3.53,6.67,-0.04,-0.02,0.01
0.131771,4.51,-3.41,6.67,-0.02,-0.03,0.02
0.226829,4.82,-3.37,6.98,-0.01,-0.01,0
0.322404,4.47,-3.41,6.71,0,-0.05,0.01
0.422534,4.9,-3.53,6.86,-0.03,-0.05,0.03
0.546268,4.79,-3.37,6.04,-0.05,-0.07,0.05
0.633549,5.3,-2.63,6.43,-0.12,-0.13,0.1
0.726398,5.84,-2.71,7.34,-0.14,-0.25,0.07
0.847436,5.33,-2.67,5.73,-0.32,-0.39,0.23
0.944882,4.47,-2.86,6.71,-0.14,-0.09,0.21
1.03613,5.45,-2.71,6.12,-0.07,-0.15,0.36
1.136987,7.37,-3.41,7.53,-0.08,-0.27,0.57
1.258438,7.69,-4.79,6.39,-0.95,-0.6,0.24
1.371024,4.94,-7.26,3.37,-0.98,0.9,-0.17
1.447759,4.59,-5.26,4.59,0.59,1.05,-0.3
1.560808,3.53,-3.88,4.51,0.4,0.96,-0.47
1.660335,2.35,-3.61,4.59,0.13,0.09,-0.29
1.759716,7.18,-2.67,8.55,-0.16,-0.24,-0.42
1.860112,5.92,-6.04,11.57,0.8,0.11,-0.4
1.954138,8.63,-10.08,4.98,-0.14,-0.84,0.07
2.080897,2.94,-1.37,4.43,-0.53,-0.12,0.16
2.17089,0.71,-2.28,1.88,-0.35,-0.41,0.02
2.273744,6.39,-1.37,7.06,0.11,0.3,0.55
2.398225,11.81,-3.61,14.98,-0.17,-0.92,0.85
2.480064,8.71,-8.28,2.28,-0.14,0.71,-0.23
2.575047,2.55,-7.26,5.22,-0.41,1.08,0.18
2.679804,3.45,-1.06,2,0.35,1.11,-0.68
2.778163,0.35,-3.88,4.86,-0.5,-0.04,-0.43
2.895156,7.77,-5.3,11.26,-0.07,-0.2,-0.24
2.992136,3.02,-7.06,7.3,0.93,0.24,-0.4
3.078234,8.63,-8.83,5.14,-0.42,0.08,0.14
3.192621,-0.16,-1.88,4.39,-0.18,-0.28,0.03
3.295812,4.28,-1.61,0.9,0.24,-0.55,0.78
3.40395,6.71,-3.37,12,-0.46,-0.22,0.9
3.496302,7.61,-7.45,8.32,0.75,-0.58,-0.04
3.588546,6,-9.89,4.35,0.3,0.62,0.15
3.754196,4.16,-1.96,3.18,0.18,0.32,-0.03
3.793472,2.67,-1.73,2,-0.21,0.47,-0.88
3.891269,2.94,-2.12,9.85,-1.1,-0.69,-0.12
4.006805,10.36,-6.55,11.85,0.21,0.55,0.09
4.101803,3.37,-10.98,4.86,0.51,0.19,-0.75
4.210462,5.96,-2.31,2.86,-0.84,-0.22,-0.2
4.325617,-0.67,-1.77,1.8,-0.36,-0.38,-0.04
4.414248,7.41,-0.63,6.28,0.08,-0.29,0.83
4.507121,12.24,-5.41,12.94,-0.9,-1.76,1.03
4.613385,7.73,-7.73,0.51,-0.32,0.36,-0.28
