NAME:,run_123_4_1.csv,,,,,
EXPERIMENT TIME:,12/03/2024 16:47:13,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,50,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
.0000,-8.94,-0.63,4.31,0.23,-0.63,-0.16
.0820,-9.22,-0.63,4.20,-0.12,-0.34,-0.21
.1640,-8.75,-0.39,4.31,-0.02,-0.49,-0.02
.2460,-8.98,-0.27,4.98,0.12,-0.58,0.09
.3280,-9.02,-1.41,3.49,0.23,-0.40,0.03
.4100,-8.83,-1.73,2.86,0.24,-0.35,-0.06
.4920,-9.02,-1.33,3.22,0.31,-0.17,-0.25
.5740,-10.83,-0.39,7.18,-0.16,0.02,-1.05
.6560,-13.30,-0.59,6.98,-0.18,0.44,0.27
.7380,-12.75,0.51,6.00,0.25,0.21,0.31
.8200,-9.45,-1.02,3.41,0.69,-0.23,0.68
.9020,-5.81,-1.53,0.16,0.23,-0.24,0.48
.9840,-1.53,-0.39,-0.78,-0.05,0.52,0.00
1.0660,-10.87,-1.96,4.43,-0.71,0.82,-0.43
1.1480,-14.32,0.71,9.06,-0.26,-0.30,0.21
1.2300,-17.85,-3.10,5.30,0.04,-1.37,-0.43
1.3120,-8.98,1.69,2.31,-0.28,-0.75,0.04
1.3940,0.16,-0.20,-0.67,-0.63,0.40,0.01
1.4760,-7.92,0.39,5.65,-1.91,1.58,0.28
1.5580,-17.53,-2.47,7.45,0.06,1.21,0.04
1.6400,-12.51,-0.98,5.18,0.73,0.33,0.90
1.7220,2.04,0.86,-3.26,0.58,0.30,0.20
1.8040,1.49,1.41,-1.53,0.28,0.88,-0.81
1.8860,-10.59,-2.31,7.45,-0.91,2.75,1.09
1.9680,-17.89,1.49,8.71,-0.25,-1.84,-0.16
2.0500,-12.83,-3.92,3.65,0.20,-1.04,-0.60
2.1320,-1.80,-0.98,1.45,-0.04,-0.07,0.43
2.2140,0.98,1.69,1.02,-0.83,1.09,-0.10
2.2960,-20.01,-1.06,11.45,-0.06,-0.34,-1.36
2.3780,-20.01,-7.34,6.00,0.73,0.56,0.58
2.4600,-3.33,-1.06,-1.29,1.05,-0.68,0.88
2.5420,0.43,1.41,-0.16,0.53,0.00,-0.75
2.6240,0.86,1.10,4.82,-0.30,0.87,-0.80
2.7060,-14.71,-6.16,4.90,-0.42,0.18,0.41
2.7880,-20.01,-0.63,8.87,0.02,-2.18,-0.17
2.8700,-6.28,-0.35,1.88,0.07,-0.13,-0.11
2.9520,0.12,1.10,0.47,-0.47,0.47,-0.03
