"Name:","walk_127_2_1"
"EXPERIMENT TIME:","15/03/2024 20:23"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","84"

"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"0.0","-1.1","1.8","-10.71","-0.06","0.05","-0.03"
"0.05","-0.98","1.88","-10.9","-0.01","0.06","0.0"
"0.1","-0.9","1.96","-10.94","-0.04","0.04","0.03"
"0.15","-1.06","1.77","-10.63","-0.01","0.05","-0.0"
"0.2","-1.06","2.08","-10.94","-0.03","0.02","0.03"
"0.25","-1.02","2.0","-10.75","-0.01","0.01","-0.01"
"0.3","-1.02","2.04","-10.75","-0.01","0.0","0.01"
"0.35","-0.9","2.04","-10.59","-0.0","0.01","-0.02"
"0.4","-0.9","2.16","-10.87","0.01","0.05","-0.03"
"0.45","-1.02","1.92","-10.51","0.03","0.0","-0.1"
"0.5","-0.78","2.16","-10.87","0.11","-0.0","-0.1"
"0.55","-1.02","1.14","-10.75","0.36","-0.01","-0.25"
"0.6","-1.02","1.33","-11.02","0.03","-0.0","0.04"
"0.65","-0.78","1.49","-9.73","0.11","-0.0","-0.08"
"0.7","-0.86","0.59","-11.02","0.41","0.39","-0.15"
"0.75","-2.24","-0.78","-13.65","0.31","0.39","0.01"
"0.8","-2.12","1.22","-11.22","-0.4","-0.06","0.5"
"0.85","-1.73","1.57","-9.65","-0.09","0.0","0.08"
"0.9","-1.8","0.2","-10.2","0.04","0.14","-0.06"
"0.95","-1.77","0.27","-10.2","-0.04","0.18","0.01"
"1.0","-1.8","0.39","-10.12","-0.1","0.23","0.1"
"1.05","-2.0","0.55","-10.75","-0.09","0.29","0.09"
"1.1","-1.92","0.71","-10.16","-0.11","0.18","0.01"
"1.15","-2.16","0.12","-10.51","0.05","0.16","-0.13"
"1.2","-2.08","0.55","-10.87","0.08","0.02","-0.13"
"1.25","-2.39","-0.35","-11.85","0.05","-0.06","-0.11"
"1.3","-1.88","-0.2","-12.2","0.15","-0.24","-0.31"
"1.35","-0.9","1.06","-12.83","-0.45","-0.4","0.19"
"1.4","1.02","2.28","-14.2","-0.01","-0.05","-0.08"
"1.45","1.53","2.24","-8.79","0.19","-0.28","-0.28"
"1.5","0.43","1.41","-8.24","0.17","0.29","-0.17"
"1.55","-0.75","0.82","-11.22","-0.22","0.44","0.2"
"1.6","-0.04","2.67","-11.06","-0.07","0.36","0.22"
"1.65","-0.35","1.73","-10.08","-0.1","0.29","-0.08"
"1.7","-0.43","1.06","-9.26","-0.29","0.33","0.06"
"1.75","-0.35","1.84","-10.51","-0.22","0.35","0.21"
"1.8","-0.47","0.94","-10.63","-0.25","0.34","0.15"
"1.85","-0.59","1.88","-11.81","-0.12","0.26","0.38"
"1.9","-1.1","1.49","-10.51","-0.13","0.11","0.32"
"1.95","-1.29","2.35","-10.55","-0.11","0.14","0.45"
"2.0","-1.29","2.63","-10.75","-0.13","0.07","0.39"
"2.05","-1.18","1.92","-10.67","0.06","0.02","0.05"
"2.1","-0.94","1.14","-12.04","0.26","-0.06","0.04"
"2.15","-1.14","1.37","-14.28","0.12","-0.06","0.29"
"2.2","1.1","5.02","-12.2","-0.36","-0.31","0.31"
"2.25","3.1","3.88","-10.9","0.19","-0.24","-0.97"
"2.3","2.0","-1.65","-11.41","0.69","-0.0","-1.43"
"2.35","-0.12","-1.26","-11.65","0.11","-0.23","-0.26"
"2.4","-0.75","1.18","-9.81","-0.35","-0.26","0.31"
"2.45","-0.51","1.92","-9.06","-0.1","-0.26","-0.12"
"2.5","-0.82","0.31","-9.14","0.13","-0.08","-0.33"
"2.55","-1.14","0.27","-9.61","-0.09","0.1","-0.18"
"4.482","-0.08","0.55","-8.43","0.18","0.57","-0.11"
"4.532","-0.27","0.98","-10.47","-0.21","0.44","0.53"
"6.028","-1.06","2.16","-10.75","-0.1","0.22","0.36"
"6.078","0.31","3.33","-10.28","-0.06","0.24","0.5"
"6.128","-0.12","1.65","-12.51","0.19","0.28","0.26"
"6.178","-0.78","0.12","-14.71","-0.16","-0.32","0.66"
"6.228","1.77","8.04","-13.73","-1.19","-0.44","1.38"
"6.278","5.41","6.32","-8.71","0.4","-0.63","-0.97"
"6.328","3.02","-5.45","-12.28","1.97","0.25","-1.95"
"6.378","1.26","-1.61","-13.61","0.25","-0.12","0.42"
"6.428","0.04","3.22","-8.71","-0.89","-0.5","1.07"
"6.478","-1.02","2.12","-8.9","-0.13","-0.37","0.23"
"6.528","-0.98","0.39","-7.53","0.11","-0.42","-0.11"
"6.578","-0.63","1.06","-8.51","-0.15","0.04","0.01"
"6.628","-0.67","1.45","-9.69","-0.17","0.3","-0.13"
"6.678","-0.59","2.12","-9.77","-0.15","0.38","-0.42"
"6.828","-2.16","-0.43","-13.77","0.06","-0.32","-0.49"
"6.878","-0.55","1.06","-13.45","0.23","-0.8","-0.28"
"6.928","4.04","6.28","-10.36","-1.02","-0.15","0.29"
"6.978","2.98","3.14","-12.08","1.18","0.12","-1.21"
"7.028","0.94","-0.71","-7.49","0.35","0.35","-0.68"
"7.078","0.08","1.65","-11.06","-0.04","0.8","0.31"
"7.128","0.59","2.43","-8.71","-0.13","0.55","-0.14"
"7.178","0.59","1.02","-9.73","0.07","0.58","-0.09"
"7.228","0.12","1.14","-10.83","-0.29","0.48","0.32"
"7.278","-0.39","2.31","-10.59","-0.54","0.15","0.71"
"7.428","0.08","2.79","-9.89","-0.11","0.21","0.48"
"7.478","-0.16","3.1","-12.4","-0.03","0.1","0.56"
"7.528","-0.98","0.35","-14.0","0.1","-0.33","0.34"
"7.578","0.67","3.41","-12.71","-0.66","-0.46","0.99"
"7.628","4.82","7.02","-12.87","-0.11","0.07","0.27"
"7.678","4.28","-0.75","-12.79","1.42","-0.25","-1.99"
"7.728","0.51","-2.47","-10.32","0.07","-0.43","0.04"
"7.778","-0.47","2.2","-8.67","-0.61","-0.36","0.71"
"7.828","-0.78","3.14","-8.87","-0.18","-0.32","0.16"
"7.878","-0.59","1.65","-9.53","0.07","-0.1","-0.47"
"7.928","0.24","1.33","-9.85","0.08","-0.03","-0.6"
"7.978","-0.12","0.94","-9.49","0.08","0.19","-0.71"
"8.128","-0.43","0.55","-11.49","0.2","0.65","-1.04"
"8.178","-1.84","-1.65","-16.4","0.55","0.02","-0.75"
"8.228","0.67","2.43","-11.61","-0.37","-0.81","-0.22"
"8.278","4.43","4.82","-13.14","-0.98","0.15","0.1"
"8.328","3.53","2.98","-8.24","0.42","-0.17","-1.1"
"8.378","0.35","-0.98","-8.12","0.25","0.54","-0.67"
"8.428","0.51","2.79","-10.9","-0.55","0.65","0.39"
"8.478","1.26","3.18","-8.36","-0.25","0.57","-0.19"
