NAME:,run_111_5_1.csv,,,,,
EXPERIMENT TIME:,20/03/2024 18:25,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,148,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0.07299805,9.92,-1.46,1.22,-0.54,-0.21,-0.02
0.1459961,9.96,-1.39,1.72,-0.2,-0.22,0.02
0.21899414,9.36,-0.69,0.52,0.3,-0.28,0.12
0.2919922,7.77,0.75,1.49,0,-0.24,0.1
0.36499023,10.3,-1.16,-2.23,-0.25,-0.5,0.05
0.43798828,8.45,-0.44,-2.17,0.13,-0.17,-0.1
0.5109863,9.15,0.11,-1.58,0.23,-0.49,-0.12
0.5839844,11.35,-1.07,-1.02,0.34,-0.23,-0.12
0.6569824,13.7,0.52,1.09,0.55,-0.31,-0.04
0.72998047,13.13,0.75,0.82,-0.41,-0.57,-0.08
0.8029785,9.95,-1.59,-2.06,-0.34,-0.34,-0.08
0.87597656,3.79,0.75,-2.33,0.65,1.09,0.23
0.9489746,0.82,-2.84,-2.51,0.26,0.74,0.35
1.0219727,13.69,-2.43,-2.05,0.67,0.14,-0.15
1.0949707,15.47,-2.43,-0.46,0.83,-0.11,0.03
1.1679688,15.15,-2.54,-0.53,0.89,-0.32,0.08
1.2409668,10.41,-1.9,0.22,0.83,0.52,0.07
1.3139648,0.54,-0.19,-2.11,0.34,0.96,0.06
1.3869629,1.1,1.23,-2.4,0.18,1,0.04
1.4599609,12.47,-1.6,-4.6,-0.2,0.68,0.1
1.532959,15.8,-0.42,3.5,-0.93,-0.41,0.03
1.605957,15.15,1.2,1.28,-2.04,-0.1,-0.13
1.6789551,10.7,-2.82,1.35,-2.48,-0.04,-0.09
1.7519531,3.07,-0.05,-2.25,-1.12,0.85,-0.06
1.8249512,-0.99,-1.13,-2.29,-0.75,0.54,-0.18
1.8979492,14.04,-0.61,-2.45,0.12,-0.13,-0.75
1.9709473,19.56,-1.76,0.96,-0.08,-0.74,0.12
2.0439453,13.53,-1.82,0.95,0.64,-0.48,0.19
2.1169434,7.28,0.48,-0.24,0.82,0.34,0.2
2.1899414,-1.5,-0.04,-4.5,0.3,1.04,0.21
2.2629395,2.8,1.12,-1.69,-0.64,0.78,0.03
