"NAME:","walk_126_2_1.csv"
"EXPERIMENT TIME:","24/03/2024 15:41"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","70"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"18.26","-0.27","-1.49","-5.81","1.85","-1.99","1.59"
"18.37","1.06","-5.14","-6.63","0.27","-0.93","-0.36"
"18.47","-0.12","-0.63","-10.20","0.30","-1.00","-1.03"
"18.57","3.26","-1.69","-16.24","0.75","-0.19","-0.17"
"18.67","4.71","-7.45","-16.32","-1.44","1.74","-0.71"
"18.77","3.45","-1.14","-6.32","-0.89","3.21","-4.41"
"18.88","0.51","0.20","-6.79","-0.33","1.01","1.22"
"18.98","-0.12","-2.39","-5.18","-2.00","-0.84","2.05"
"19.08","20.01","0.39","-20.01","0.31","-2.77","-0.10"
"19.18","7.96","-6.12","-19.73","-0.73","-1.16","0.51"
"19.28","-2.98","-4.90","-6.86","1.42","-2.43","-0.40"
"19.39","-2.28","0.78","-13.65","0.59","-0.97","-2.11"
"19.49","0.47","-4.75","-8.83","-0.23","-1.71","1.38"
"19.59","-0.31","-1.65","-8.59","1.48","-0.78","-0.57"
"19.69","-0.75","-3.88","-10.40","0.49","0.43","0.16"
"19.80","-2.31","-3.49","-14.40","-0.96","1.63","0.85"
"19.90","3.30","-16.48","-11.18","-1.95","3.02","2.57"
"20.00","2.86","1.53","-9.14","-0.62","1.05","0.80"
"20.10","-0.78","-2.12","-1.45","-0.92","0.53","2.11"
"20.20","-0.63","-6.12","-7.18","-0.60","-2.92","-0.43"
"20.31","1.37","0.00","-7.10","-1.17","3.45","-1.53"
"20.41","4.16","-12.83","-8.83","0.00","1.95","1.32"
"20.51","-0.67","-4.71","-10.00","2.73","-1.89","2.11"
"20.61","0.75","-0.51","-8.28","0.41","-1.77","-0.71"
"20.71","2.31","-6.75","-10.04","-0.36","-1.03","1.28"
"20.82","0.71","-0.63","-10.67","1.23","-0.33","-1.64"
"20.92","6.04","1.88","-14.95","0.88","-0.56","-0.44"
"21.02","-2.16","-5.57","-10.75","-2.44","3.70","-2.57"
"21.12","1.45","-6.47","-8.08","-1.72","1.29","-1.53"
"21.22","2.28","-0.24","-9.49","-1.14","1.39","1.63"
"21.33","-0.67","-3.57","-2.79","-0.31","-0.90","2.20"
"21.43","8.32","-3.02","-13.65","0.79","-1.44","-0.12"
"21.53","8.04","4.90","-10.55","-0.53","-0.05","-3.32"
"21.63","-3.02","-12.63","-5.84","-0.62","-1.26","-2.50"
"21.73","5.61","1.22","-10.12","1.81","-0.97","-2.01"
"21.83","-0.71","-1.65","-6.94","0.14","-1.13","0.61"
"21.94","-0.08","-2.31","-7.41","0.31","-1.88","-0.80"
"22.04","-0.04","-1.92","-12.08","0.48","0.54","-2.75"
"22.14","10.55","6.67","-17.57","1.51","1.07","-4.97"
"22.24","0.43","-16.20","-19.02","-5.91","1.64","6.67"
"22.34","-1.02","1.84","-10.00","-0.10","-0.75","-2.20"
"22.45","-3.37","2.00","-3.96","-2.72","4.17","3.39"
"22.55","-0.82","-3.06","-5.18","1.83","-1.64","-1.63"
"22.65","10.36","4.43","-15.61","-1.22","2.48","1.99"
"22.75","8.63","-1.92","-9.34","0.12","0.60","0.14"
"22.85","0.16","-2.20","-16.63","2.04","-1.65","0.25"
"22.96","1.41","-2.94","-11.06","0.70","-2.05","0.11"
"23.06","0.59","-4.94","-8.43","-0.26","-1.84","-0.29"
"23.16","-0.59","-3.73","-10.36","1.05","-0.59","-0.88"
"23.26","-1.33","1.53","-12.79","0.96","0.63","0.15"
"23.36","3.65","-0.04","-14.98","-1.01","1.36","2.76"
"23.47","-1.29","-10.55","-13.02","-2.60","1.62","-1.97"
"23.57","0.04","-1.53","-5.96","-0.97","2.07","1.78"
"23.67","-1.88","-0.12","-4.43","-0.98","0.60","2.64"
"23.77","6.67","-3.88","-10.32","0.12","-2.27","-0.69"
"23.87","3.49","-2.67","-11.49","-1.12","1.46","0.99"
"23.98","-3.10","-7.53","-6.16","0.07","-0.94","-3.11"
"24.08","13.77","-1.18","-10.00","3.35","-2.09","2.19"
"24.18","-0.39","-0.51","-5.92","0.80","-2.19","-0.76"
"24.28","0.59","-3.41","-9.02","0.10","-0.99","-1.71"
"24.39","-0.35","-2.39","-9.81","0.89","-0.87","-0.41"
"24.49","2.90","1.29","-19.57","0.97","-0.17","-1.02"
"24.59","5.14","-13.38","-14.75","-1.61","3.23","2.33"
"24.69","0.75","6.39","-13.49","0.20","2.48","-5.55"
"24.79","0.08","1.06","-5.30","-0.70","1.08","1.47"
"24.90","-1.61","-3.57","-3.18","-1.47","-1.35","1.56"
"25.00","13.38","1.33","-10.63","1.06","-0.55","0.41"
"25.10","5.88","-10.63","-13.96","-0.60","-0.46","0.24"
"25.20","-1.49","-1.37","-14.79","1.26","-2.03","-2.49"
"25.30","-0.82","-1.73","-7.57","2.01","-1.51","-0.94"
"25.41","-1.02","-1.10","-8.16","-0.33","-1.72","-1.51"
"25.51","-0.04","-2.55","-8.79","0.88","-0.88","-0.16"
"25.61","-0.27","1.69","-12.20","1.01","0.12","-1.83"
"25.71","1.84","-0.24","-14.83","-0.76","0.96","1.87"
"25.81","-0.08","-13.96","-11.81","-2.78","4.28","-1.40"
"25.92","1.22","0.24","-9.53","-0.59","1.67","0.83"
"26.02","-1.88","-1.49","-0.55","-0.81","0.49","2.91"
"26.12","-0.78","-6.24","-6.00","0.11","-2.94","0.77"
"26.22","-0.35","3.84","-7.41","-1.71","2.20","-0.57"
"26.32","-10.67","-12.59","2.55","-0.08","1.94","-2.74"
"26.42","4.82","-3.61","-8.83","2.79","-1.76","2.93"
"26.53","-0.24","-0.67","-7.26","1.05","-2.54","-1.36"
"26.63","2.86","-3.88","-6.75","0.33","-1.03","-1.54"
"26.73","-0.67","-2.28","-9.77","0.37","-0.80","-0.90"
"26.83","2.86","-0.39","-17.30","0.64","0.42","-0.38"
"26.93","-16.91","-16.08","-18.91","-2.23","3.35","7.01"
"27.04","0.39","-0.78","-13.42","-1.06","-0.30","-2.04"
"27.14","2.16","0.04","-5.49","-0.23","3.98","-1.11"
"27.24","-2.51","-2.63","-2.12","-0.91","-0.14","-1.21"
"27.34","5.77","-2.59","-10.28","0.23","5.01","-2.13"
"27.44","6.08","2.47","-8.83","0.50","-0.51","-2.08"
"27.55","-2.24","-2.75","-13.49","1.42","-1.86","-1.22"
"27.65","1.49","-4.16","-6.28","0.85","-1.76","2.75"
"27.75","1.14","-0.67","-8.47","0.03","-1.62","-0.26"
"27.85","-0.75","-3.73","-9.89","0.81","-0.70","0.26"
"27.95","-1.73","1.06","-10.98","1.19","0.90","-1.45"
"28.06","-4.82","-5.77","-9.65","-1.10","2.57","2.53"
"28.16","5.61","-12.36","-11.69","-2.45","2.51","0.28"
"28.26","-0.71","2.47","-9.26","-0.04","1.50","0.83"
"28.36","-1.37","-2.63","-3.06","-0.98","-0.02","3.04"
"28.47","3.69","-2.86","-10.67","0.14","-3.54","-0.19"
"28.57","0.04","-5.88","-10.94","-0.61","1.30","4.51"
"28.67","-10.40","-5.14","-3.61","0.11","1.96","-2.21"
"28.77","8.90","-3.14","-8.87","2.62","-1.74","1.34"
"28.87","0.24","-1.65","-5.22","0.67","-2.36","-1.06"
"28.98","1.73","-5.84","-8.51","0.36","-1.24","0.85"
"29.08","-0.86","-2.47","-11.49","0.97","-0.41","-0.52"
"29.18","1.69","4.47","-18.28","0.22","0.33","-1.09"
"29.28","2.20","-11.10","-17.69","-4.10","3.47","-4.64"
"29.38","-1.37","-1.65","-11.41","-1.32","1.88","-1.42"
"29.49","0.51","-1.53","-2.24","-0.23","3.63","0.09"
"29.59","-2.08","-1.18","-3.45","0.58","-1.31","-1.26"
"29.69","20.01","2.94","-20.01","0.02","0.95","-0.64"
"29.79","-4.04","3.96","-4.75","0.88","0.99","-2.98"
"29.89","-1.92","-2.12","-14.00","1.81","-1.62","-1.78"
"30.00","1.80","-2.20","-7.88","0.98","-1.86","1.00"
"30.10","-0.98","-1.45","-7.96","0.07","-1.94","-0.85"
"30.20","-0.59","-3.84","-8.94","0.70","-0.44","1.07"
"30.30","2.24","-2.16","-11.73","0.56","-0.22","-0.21"
"30.40","0.39","-0.24","-15.81","0.18","1.15","3.58"
"30.50","-6.20","-10.71","-3.77","-2.80","3.66","-2.44"
"30.61","0.16","-2.28","-6.35","-0.75","1.64","-0.36"
"30.71","0.35","0.90","-3.96","-0.72","0.43","2.05"
"30.81","0.24","-5.02","-3.84","-1.09","-2.26","0.22"
"30.91","7.65","6.55","-9.45","-0.85","2.57","-2.23"
"31.01","-0.20","-6.63","-8.75","0.51","-0.81","-0.34"
"31.12","-4.04","-2.08","-12.47","1.55","-1.60","-0.97"
"31.22","0.24","-2.86","-10.12","1.98","-1.63","-1.73"
"31.32","-0.55","-1.77","-9.18","-0.22","-1.75","-0.56"
"31.42","-0.51","-3.06","-9.26","0.71","-0.75","0.41"
"31.52","-1.41","-0.59","-10.79","0.80","0.45","-0.98"
"31.63","1.69","-2.24","-14.87","-0.19","1.12","2.65"
"31.73","0.90","-14.44","-10.63","-2.54","2.99","-1.56"
"31.83","0.35","-0.27","-8.71","-0.62","1.82","1.19"
"31.93","-1.77","0.63","-2.67","-0.83","0.28","2.38"
"32.03","-1.06","-4.98","-6.39","0.23","-2.75","0.19"
"32.14","-0.12","0.24","-2.39","-1.07","3.08","-2.04"
"32.24","18.48","-3.80","-6.35","-0.02","-0.98","0.78"
"32.34","-2.47","-3.61","-17.22","2.02","-1.84","0.57"
"32.44","0.27","-2.20","-9.57","0.48","-2.28","-1.85"
"32.54","2.82","-0.51","-8.67","0.51","-1.96","-0.40"
"32.65","-0.63","-3.57","-10.75","0.68","-0.79","-0.33"
"32.75","-0.59","-1.80","-14.40","0.74","0.26","-0.46"
"32.85","8.24","1.45","-14.91","-1.64","1.90","1.15"
"32.95","-14.98","-2.94","8.55","-1.52","3.03","-0.31"
"33.06","-1.06","-0.51","-4.43","-0.15","3.17","-1.07"
"33.16","-1.14","-1.84","-1.61","0.02","-0.01","2.43"
"33.26","15.69","2.59","-20.01","0.35","-4.00","-2.05"
"33.36","-0.98","-3.37","-13.38","0.29","1.35","3.82"
"33.46","-3.88","-2.04","-4.79","-0.43","-2.06","-3.79"
"33.56","4.43","1.18","-7.69","2.43","-1.44","-1.28"
"33.67","-0.78","-0.90","-5.92","0.50","-1.81","-0.61"
"33.77","0.35","-1.65","-8.63","0.27","-1.10","-1.69"
"33.87","3.37","-2.55","-10.87","0.95","-0.36","-0.10"
"33.97","5.53","5.96","-19.89","0.33","-0.01","-2.44"
"34.08","-0.24","-17.02","-14.36","-1.95","3.86","1.28"
"34.18","1.73","2.35","-11.57","-0.55","1.62","-2.90"
"34.28","-0.43","2.08","-5.96","-0.18","0.54","1.48"
"34.38","-1.33","-4.79","-3.14","-0.86","-2.33","0.52"
"34.48","10.98","-3.14","-20.01","-0.21","3.43","0.63"
"34.58","0.94","-9.45","-10.36","-0.50","-1.31","-0.81"
"34.69","-3.49","-1.14","-11.89","1.64","-1.84","-2.40"
"34.79","-2.16","1.88","-9.38","1.18","-1.30","-1.39"
"34.89","-0.94","-2.12","-8.47","-0.24","-1.84","-0.50"
"34.99","-0.24","-4.39","-9.77","1.01","-0.54","1.29"
"35.10","1.29","1.88","-11.18","1.14","0.15","-0.89"
"35.20","1.88","-1.33","-14.91","-0.90","1.50","2.55"
"35.30","-0.24","-15.30","-13.45","-2.21","2.79","1.13"
"35.40","-1.41","4.51","-8.59","-0.55","2.06","-0.75"
"35.50","-1.45","-0.90","-1.57","-0.78","0.37","2.89"
"35.60","-0.31","-5.73","-6.71","-0.27","-3.05","-0.25"
"35.71","-1.49","-0.90","-4.51","-1.29","1.93","0.10"
"35.81","1.80","-12.79","-6.67","0.53","0.33","0.11"
"35.91","-1.41","-3.73","-12.24","2.97","-1.71","1.31"
"36.01","1.61","-2.98","-11.38","0.12","-1.85","-1.21"
"36.12","3.80","0.24","-8.59","0.15","-2.00","-0.47"
"36.22","-0.71","-2.67","-9.85","0.67","-0.79","-1.10"
"36.32","-2.12","-1.53","-12.59","1.20","0.61","0.82"
"36.42","-0.82","-2.20","-10.79","-1.76","2.69","-0.05"
"36.52","2.12","-6.94","-4.47","-1.83","3.33","-0.81"
"36.63","0.47","1.33","-9.10","-0.58","1.48","0.62"
"36.73","-2.31","-2.63","-2.75","-0.89","0.44","2.48"
"36.83","9.22","-1.88","-7.37","-0.55","-2.99","0.19"
"36.93","-2.59","-3.02","-8.67","-1.70","2.30","0.17"
"37.03","-8.59","-7.26","-6.43","0.19","1.22","-1.18"
"37.13","1.10","-1.29","-7.53","3.14","-2.05","2.24"
"37.24","1.22","-2.47","-9.53","0.44","-2.30","-0.87"
"37.34","2.04","-5.61","-9.65","0.11","-1.54","-0.46"
"37.44","-0.75","-2.16","-10.55","1.29","-0.65","-1.11"
"37.54","-0.08","-3.96","-15.18","0.92","0.13","2.53"
"37.65","9.81","-6.71","-11.26","-0.60","1.15","0.78"
"37.75","4.00","-10.24","-7.57","-1.94","3.20","-0.88"
"37.85","1.96","-2.24","-6.75","-0.52","1.36","1.01"
"37.95","-1.84","-1.57","1.37","-0.95","0.08","2.32"
"38.05","7.61","-6.16","-9.89","-0.51","-2.47","1.05"
