NAME:,walk_121_5_1.csv,,,,,
EXPERIMENT TIME:,18/03/2024 16:52,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,109,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0.017111,1.18,-8.59,3.22,0.03,0.19,-0.15
0.120206,1.26,-8.28,3.53,0,0.11,-0.14
0.195239,1.26,-8.43,3.53,0,0.05,-0.12
0.308727,1.02,-8.43,3.61,0,0.01,-0.09
0.425756,1.18,-8.24,3.69,0,0.06,-0.07
0.49886,0.86,-8.36,3.33,0.02,0,-0.06
0.600732,1.22,-8.28,3.92,0.08,-0.01,-0.02
0.739394,1.29,-8.59,3.65,0.06,-0.07,0.02
0.798421,1.96,-7.69,3.96,0.02,-0.16,0
0.905724,1.73,-8.2,4.79,0.09,-0.24,0.03
1.033369,2.35,-7.85,4.39,0.21,-0.54,-0.08
1.125911,1.53,-7.37,4.39,0.16,-0.23,-0.11
1.230937,2.35,-6.94,5.02,0,-0.23,-0.06
1.343723,2.08,-7.02,4.75,-0.23,-0.19,-0.07
1.415036,1.77,-6.9,5.81,-0.12,-0.31,0.14
1.524903,1.18,-7.3,8.55,0.22,-0.54,0.43
1.628913,5.33,-10.2,4.9,-0.12,-0.75,-0.53
1.757423,1.49,-11.96,2.28,-1.16,2.57,0.18
1.826935,1.49,-8.32,1.45,-0.21,1.24,0.38
1.922957,0.86,-5.53,2.82,0.16,1.23,-0.06
2.055977,-1.22,-6.2,2.31,0.02,0.35,-0.35
2.133391,-0.27,-8.55,9.18,-0.2,0.15,-0.39
2.246896,-0.2,-11.65,6.55,0.59,0.33,0.19
2.337194,4.71,-13.34,-1.02,-0.36,-1.41,-1.14
2.447781,0.63,-5.45,5.3,0.33,-0.92,0.09
2.551215,1.14,-4.51,0.27,0.49,-1.32,0.26
2.654051,2.31,-5.1,4,-0.36,0.36,0.48
2.748688,3.88,-11.77,8.36,0.63,-0.79,0.25
2.862375,5.81,-9.22,1.18,-0.43,0.25,-0.25
2.949408,1.06,-14.36,2.35,-1.37,2.79,0.15
3.058602,1.88,-5.1,1.69,-0.17,1.74,-0.03
3.160961,-0.82,-5.14,2,-0.07,0.67,-0.56
3.261673,-2.2,-7.61,7.34,-0.59,-0.36,-0.58
3.361159,0.78,-11.69,10.63,-0.19,0.26,0.21
3.461733,0.59,-10.12,-1.26,0.44,0.4,-0.96
3.559423,1.92,-5.22,5.14,-0.21,-0.16,-0.35
3.675425,-1.22,-4.47,-0.51,1.09,-1.76,0.4
3.76716,3.96,-3.61,2.82,-0.3,-0.3,0.48
3.879436,3.22,-12.2,9.77,0.79,-0.04,0.27
3.984575,6.39,-9.06,-0.86,-0.14,0.22,-0.19
4.072988,1.29,-15.73,0.86,-1.64,3.19,0.48
4.180472,1.18,-4.31,1.61,-0.08,1.74,-0.14
4.282505,-1.96,-5.06,3.3,-0.05,0.46,-0.45
4.385239,-2.39,-8.55,6.86,-0.5,-0.3,-0.41
4.487747,1.02,-11.73,9.81,0.4,0.44,0.18
4.590258,2.08,-13.18,0.59,0,-0.35,-0.71
4.683869,3.37,-3.69,2.79,0.07,0.32,-0.22
4.785195,0.47,-3.96,0.16,0.32,-2.23,0.86
4.920307,0.35,-4.82,6.16,-0.08,-0.15,0.39
5.001506,3.77,-12.67,10.87,0.47,-0.68,0.35
5.087465,3.18,-10.63,0.35,-0.57,0.25,-0.34
5.204018,0.31,-12.2,2.39,0.37,1.15,0.41
5.338282,0.08,-3.14,3.22,-0.32,0.66,-0.49
5.440697,0.82,-4.39,1.57,-0.2,0.46,-0.65
5.496574,1.1,-8.79,7.41,0.2,-1.16,-0.33
5.612694,0.35,-10.36,12.4,0.51,0.7,-0.07
5.70971,3.18,-17.06,3.26,0.52,-2.09,0.95
5.823161,2.47,-3.77,0.24,-0.55,0.83,-0.37
5.931692,2.63,-3.33,0.35,-0.03,-1.79,1.01
6.020973,-0.16,-5.69,8.39,-0.69,0.67,-0.06
6.127333,3.14,-13.38,12.16,0.4,-2.36,-0.51
6.210421,4.55,-8.39,0.08,-0.31,1.85,-0.21
6.328928,0.63,-6.51,2,-0.53,0.08,0.4
6.443154,1.53,-3.26,2.47,-0.14,1.31,-0.32
6.528778,-2.39,-6.75,2.75,-0.29,-0.34,-0.49
6.614335,-0.59,-13.18,7.3,0.16,0.22,0.22
6.745146,1.33,-11.3,5.22,1.79,1.63,-0.19
6.842377,5.88,-9.85,2.39,-0.73,-0.48,-0.66
6.929366,-3.45,-3.8,1.49,1.38,-1.74,0.27
7.029465,2.71,-3.96,1.49,-0.05,-0.78,0.34
7.146312,-1.18,-10.55,11.22,0.29,0.13,0.39
7.251857,5.26,-11.41,0.31,1.19,-0.46,-0.37
7.356354,2,-13.3,1.57,-1.3,2.65,0.35
7.437701,1.02,-5.14,1.61,-0.26,1.36,0.12
7.550524,-1.73,-5.14,2.79,0.09,0.33,-0.31
7.636605,-2.82,-7.73,8.08,-0.6,-0.54,-0.37
7.745234,1.69,-12.83,10.51,0.3,0.17,0.34
7.869755,7.53,-15.06,-1.41,-0.31,-0.64,-1.29
7.954745,-0.75,-4.86,6.47,0.16,-0.9,0
8.045548,-0.35,-4,-0.55,0.53,-1.37,0.4
8.155699,1.88,-6.32,6.71,-0.9,0.18,0.61
8.278485,1.57,-11.53,11.85,0.63,-1.77,-0.04
8.35508,6.28,-6.47,1.22,-0.13,1.03,-0.02
8.458814,0.59,-11.41,1.96,-0.68,1,0.84
8.575594,1.37,-2.98,2.79,-0.26,1.72,-0.61
8.676215,-2.98,-5.92,1.37,-0.09,-0.11,-0.46
8.782143,-0.27,-10.43,8.51,-0.3,-0.17,-0.22
8.883768,-0.59,-10.67,2.75,1.43,0.72,0.23
9.031215,7.1,-11.26,1.53,-0.49,-0.18,-0.34
