NAME:,walk_124_5_2,,,,,
EXPERIMENT TIME:,20/03/2024 10:35,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,98,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0,0.24,10.28,-1.22,0.06,0,0.03
0.310059,0.08,10.24,-1.18,0.06,-0.07,-0.01
0.610107,0.55,8.2,-0.55,-0.17,-0.28,-0.06
1.230103,-1.02,10.12,-2.79,-0.04,0.35,-0.17
1.330078,-0.75,14.04,-1.92,0.41,0.58,-0.06
1.430054,1.8,8.51,-1.02,0.03,0.39,-0.69
3.160034,-1.29,10.4,2.43,0.37,-0.04,0.21
3.27002,-1.02,14.16,3.02,0.04,0.06,0.18
3.369995,-0.2,10.79,-2.86,-0.39,0.24,-0.16
3.470093,1.53,7.96,-0.75,0.51,-0.25,0.14
3.570068,0.24,9.41,-0.71,0.51,0.43,0.65
3.670044,-0.98,9.69,-0.47,1.12,0.64,0.16
3.780029,-1.02,10.36,-0.71,0.13,0.01,0.14
3.880005,-1.49,10.71,1.02,0.08,0.21,0.24
3.980103,-0.39,12.87,-2.79,0.55,0.66,0.11
4.080078,0.47,12.67,-2.47,-0.48,-1.05,-0.38
4.180054,-0.16,9.96,-2.08,-0.72,-0.85,-0.45
4.290039,-0.59,8.79,-0.98,-0.44,-1.59,-0.45
4.390015,0.08,8.04,0.94,0.32,-1.72,0.24
4.490112,-0.47,9.85,0.24,-0.07,-1.26,-0.2
4.590088,-0.24,12.63,3.37,-0.39,-0.13,-0.03
4.690063,0.43,8.04,-3.3,-0.52,-0.82,-0.73
4.800049,1.22,8.79,-0.78,0.69,-0.85,-0.31
4.900024,-0.16,7.73,-0.16,0.4,-0.14,0.13
5,-0.98,9.34,-0.43,0.63,-0.13,0.08
5.100098,-0.94,9.77,-0.86,0.39,0.19,0.13
5.200073,-0.78,10.9,-1.06,-0.3,-0.49,-0.14
5.310059,-0.2,14.55,-2.04,0,-0.25,0.34
5.410034,2.86,6.12,-4.16,-0.72,-1.53,-0.27
5.51001,0.16,12.12,-2.51,-0.26,-1.37,-0.51
5.610107,0.12,8.75,-0.71,-0.62,-1.62,-0.57
5.710083,0.27,8.87,1.88,-0.17,-1.94,-0.2
5.820068,-0.43,9.65,1.65,0.13,-1.64,0.17
5.920044,-1.45,9.06,2.31,-0.19,-1.12,-0.55
6.02002,3.02,18.01,-0.86,0.4,-1.11,-0.67
6.119995,2.43,7.1,0.47,-0.47,-1.4,-0.64
6.220093,0.27,8.67,-0.31,1.24,-0.96,-0.15
6.330078,-1.65,9.65,-0.86,0.69,-0.52,0.03
6.430054,-0.82,9.65,-1.1,0.36,-0.93,0.22
6.530029,0.16,10.71,-1.02,-0.31,-0.94,0.07
6.630005,-1.45,12.4,0.43,0.11,0.02,0.26
6.730103,0.82,11.92,-4.67,-0.21,-0.4,-0.06
6.840088,-0.63,15.22,-4.04,-0.5,-1.24,-0.59
6.940063,-0.31,8.16,0.27,-1.68,-2.18,-0.66
7.040039,-0.71,7.81,0.51,-0.49,-1.71,-0.6
7.140015,-1.49,7.37,2.9,0.2,-1.55,0.01
7.240112,-3.3,8.83,2.71,0.65,-0.32,0
7.350098,2.86,18.01,-1.73,0.77,-1.07,0.16
7.450073,1.61,4.51,1.49,-0.71,-0.49,-0.41
7.550049,1.69,8,-0.35,0.77,-0.01,-0.2
7.650024,-1.37,9.41,-0.24,0.89,0.55,-0.05
7.75,-0.9,8.83,-0.63,0.5,0.23,-0.15
7.860107,-0.67,6.63,0.63,0.66,0.24,0.3
7.960083,-1.02,10.79,-3.96,-0.23,-0.44,-0.04
8.060059,0.67,15.06,-2.86,0.4,-0.06,0.29
8.160034,0.24,8.98,-1.29,-0.58,-0.8,-0.34
