NAME:,run_125_1_2.csv,,,,,
EXPERIMENT TIME:,12/03/2024 7:21,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS: ,40,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0,8.87,2.63,-1.77,0.85,0.85,-0.35
0.060001373,8.63,2.71,-1.1,0,1.07,-0.45
0.12000275,6.39,2.82,-0.39,0.22,2.13,-0.65
0.19000244,6.79,2.24,4.35,-0.68,1.94,-0.53
0.25,13.06,0.04,8.43,-2,0.46,-0.58
0.31000137,11.81,0.2,10.75,0.3,0.53,-0.38
0.37000275,7.26,1.37,6.08,1.98,-0.71,0.41
0.4300003,1.65,5.61,-16.04,1.32,-0.9,0.11
0.5,20.01,14.36,1.02,6.54,-0.51,3.13
0.5600014,2.51,0.35,-0.98,-4.33,1.93,-3.35
0.62000275,7.49,2.98,8.67,-5.14,-3.23,-0.89
0.6800003,19.42,-1.61,-0.67,1.69,-7.51,1.03
0.7400017,20.01,-0.82,-6.79,0.59,-0.74,0.96
0.8100014,5.84,1.41,-2.59,1.49,0.51,-1.29
0.87000275,-0.51,0.2,-1.26,-1.17,5.7,-0.86
0.9300003,5.33,6.24,-9.3,-2.44,6.03,0
0.9900017,4.08,10.4,17.38,-2.13,-0.24,2.92
1.050003,20.01,6.24,6.43,3.39,-7.46,3.59
1.1200027,4.08,0.43,4.94,-0.98,5.92,-3.49
1.1800003,2.16,-3.57,-2.59,-0.85,2.2,-2.33
1.2400017,-1.22,-0.24,-3.22,-3.22,2.38,-2.66
1.300003,-6.59,0.55,5.49,0.51,3.23,1.63
1.3600006,8.9,0.47,-2.86,7,-1.12,6.46
1.4300003,20.01,13.45,-4.24,6.92,-7.13,3.52
1.4900017,14.4,-0.75,1.96,-7.38,-1.92,-1.23
1.550003,15.77,-4,-5.37,-12.1,-5.46,-2.3
1.6100006,20.01,-4.59,-8.2,3.12,-3.28,-0.99
1.670002,-0.35,1.18,-2.67,5.61,8.11,-0.87
1.7400017,2.24,6.63,-9.3,0.27,9.56,-1.35
1.800003,2.86,16.59,20.01,-2.55,3.02,1.29
1.8600006,20.01,14.36,-15.42,0.63,-16.02,5.76
1.920002,3.3,0.16,3.57,0.48,7.24,-1.67
1.9799995,-5.06,3.57,3.22,2.4,5.05,-2.85
2.050003,-2.82,2.82,-6.51,-1.52,2.02,1.19
2.1100006,4,6.51,0.51,-0.96,-3.68,-0.33
2.170002,20.01,9.49,-20.01,5.27,-15.5,3.72
2.2299995,13.45,-2.16,-3.37,-5.4,-0.82,-0.87
2.290001,17.26,-9.49,-3.18,-6.97,-5.78,0.45
2.3600006,12.67,-1.1,-9.02,5.4,1.99,-2.91
2.420002,-0.39,-0.16,-4.24,3.89,8.38,-1.21
2.4799995,6.12,7.34,-6.75,0.99,9.23,0.05
2.540001,7.49,6.47,14.98,-5.91,-0.26,1.38
2.6000023,20.01,-19.93,-20.01,-2.58,-12.27,1.92
2.670002,1.18,0.71,2,5.04,6.97,-2.13
2.7299995,-8.63,2.16,-5.3,2.24,4.62,-1.56
2.790001,-5.41,3.06,-4.08,-0.72,0.68,1.02
2.8500023,4.67,7.61,-0.47,-3.14,-4.9,-1.13
2.9099998,20.01,7.57,-20.01,4.88,-14.02,-0.61
2.9799995,9.02,-1.84,-5.69,-5.36,0.85,0.19
3.040001,15.69,-6.79,2.82,-7.25,-5.98,-0.11
3.1000023,9.96,-2.59,-8.12,7.37,1.12,-3.14
3.1599998,-0.98,0.55,-4.16,2.09,7.49,-1.75
3.2200012,4.79,4.43,-6.94,-0.88,8.64,-0.11
3.290001,2.16,7.1,20.01,-5.93,0.23,1.85
3.3500023,20.01,-13.02,-20.01,1.06,-5.62,2.02
3.4099998,1.92,1.14,0.82,5.36,7.91,-1.58
3.4700012,1.41,9.34,-19.34,1.77,3.28,-0.44
3.5300026,-2.71,4.79,-6.67,-3.87,-3.94,-0.8
3.6000023,2.98,9.96,-20.01,-5.72,-6.65,-2.28
3.6599998,20.01,10.51,11.3,3.98,-4.4,-1.63
3.7200012,18.28,-2.47,-14.4,-13.56,-2.38,0.37
3.7800026,19.46,-7.65,0.16,-2.16,-4.59,-1.16
3.8400002,1.73,-0.98,-5.65,8.51,5.06,-1.86
3.9099998,-2.08,2.79,-2.86,-2.55,7.29,-2.27
3.9700012,15.53,-6.35,-13.38,-1.13,5.27,3.05
4.0300026,20.01,2.39,-0.2,-1.8,-19.48,4.52
4.09,4.31,-5.3,-3.73,2.98,9.01,-2.41
4.1500015,-5.77,1.41,-6.08,-1.72,6.07,-3.9
4.220001,-7.45,1.29,-5.06,1.15,0.45,2.47
4.2800026,-3.18,4.94,13.57,-1.92,-7.34,0.71
4.34,20.01,-20.01,-18.91,7.97,-12.28,5.92
4.4000015,7.34,-11.3,4.16,-3.48,5.95,-3.15
4.460003,11.81,-4.08,19.97,-11.99,-7.36,0.1
4.5300026,8.59,-3.33,-6.2,10.16,0.37,-3.7
4.59,0,-0.27,-4.94,-1.21,7,-2.06
4.6500015,4.71,8.04,-6.71,-1.6,7.14,2.18
4.710003,8.9,1.45,20.01,-2.83,-1.26,3.05
4.7700005,20.01,-8.16,-16.51,6.46,-0.19,-0.24
4.84,-0.75,-0.78,-3.69,2.36,6.12,-2.16
4.9000015,-4.94,5.14,-15.77,-1.45,5.48,-2.85
4.960003,-3.8,-0.35,-4.71,-0.25,-3.51,-0.04
5.1500015,17.85,1.8,2.08,-9.33,-0.05,-0.82
5.210003,12.4,-1.57,-1.53,-1.62,-5.82,0.13
5.2700043,5.18,2.04,-4,6.55,1.81,-1.82
5.330002,0.47,1.53,-4.67,-1.78,4.65,-1.81
5.3899994,7.06,1.73,-14.12,-2.36,6.06,1.08
5.459999,9.45,-1.57,1.18,-3.67,-15.91,2.84
5.5200043,6.12,-2.24,3.77,3.6,5.46,-1.32
5.580002,0.51,-2.35,-8.67,-0.26,2.1,-1.47
5.6399994,-7.73,0.98,5.96,0.76,7.84,-2.67
5.7000046,1.37,5.3,-12.36,2.54,-0.17,1.28
5.7700043,6.51,3.18,-20.01,11.86,-16.83,10.12
5.830002,15.77,-2.16,-13.42,-11.17,-3.85,0.5
5.8899994,20.01,-9.85,1.18,-10.44,-6.1,-0.28
5.9500046,4.67,-0.9,-3.73,9.23,5.53,0.51
6.010002,-1.77,0.67,-7.14,7.23,7.4,-0.48
6.080002,11.61,0.39,-13.65,2.38,8.34,-2.35
6.1399994,7.26,16.24,-4.04,-5.84,-12.94,2.69
6.2000046,9.81,-1.57,4.35,-2.02,8,-1.51
6.260002,2.35,-2.98,-7.18,1.09,6.25,-2.68
6.3199997,-16.16,2.55,-4.71,0.32,6.79,-3.34
6.3899994,-2.47,-3.8,-5.22,0.42,-4.97,-0.25
6.4500046,19.22,3.57,3.06,8.47,-12.44,6.6
6.510002,15.65,-5.57,-8.08,-8.84,-0.53,0.7
6.5699997,14.4,-4.08,9.3,-8.83,-2.91,1.18
6.630005,7.14,-1.61,-4.08,8.84,2.45,-2.05
6.7000046,-1.53,2.35,-2.35,4,5.35,-1.91
6.760002,4.59,4.28,-13.14,-1.02,6.67,0.65
6.8199997,12.08,0.51,6.24,-7.02,-11.05,2.84
6.880005,5.53,0.47,-2.59,6.16,8.15,-2.33
6.9400024,-0.86,0.98,-1.41,1.46,4.02,-2.07
7.010002,-4.31,2.63,-7.96,-0.46,5.23,-0.25
7.0699997,-3.22,-0.82,2,-2.54,-4.04,-1.48
7.130005,6.59,9.73,-16.71,2.98,-2.54,0.61
7.1900024,17.61,-10.71,10.16,2.38,-0.52,-1.52
7.25,17.14,-2.82,10.55,-8.46,-3.64,2.86
7.3199997,8.39,-2.2,-9.02,11.61,0.79,-1.82
7.380005,-1.65,0.71,0.24,1.63,5.1,-4.69
7.4400024,15.73,-11.38,-14.71,-4.21,5.26,-0.08
7.5,10.24,-8.12,-12.4,-4.45,-12.88,3.56
7.5599976,7.34,0.86,0.2,5.3,7.71,-3.11
7.630005,0.27,-1.02,-0.98,2.81,4.75,-1.05
7.6900024,0.08,0.16,-13.26,-0.15,4.45,-0.96
7.75,-2.47,-1.8,-4.04,-2.5,-1.6,-1.85
7.8099976,20.01,4,20.01,3.7,-10.1,2.34
7.8700027,19.02,-5.69,-4.79,-2.16,-0.71,0.29
7.9400024,14.28,-6.67,-4.71,-3.3,-4.52,1.86
8,4.82,1.18,-6.47,5.78,0.32,-1.47
8.059998,-1.8,2.94,-2.55,3.95,3.98,-2.09
8.120003,4.67,0.98,-12.94,-1.44,5.9,-1.03
8.309998,1.29,-0.31,1.02,3.16,5.53,-1.39
8.370003,-0.35,2.47,-10.47,2.02,4.51,-1.69
8.43,-2.24,2.79,-6.63,-0.29,0.29,0.45
8.489998,4.51,10.32,-3.37,0.12,-4.73,1.93
8.559998,20.01,10.59,9.92,1.63,-2.32,1
8.620003,17.3,-4.43,-6,-12.89,-1.94,-0.66
8.68,12.16,-5.61,0.43,-4.45,-3.51,-0.26
8.739998,4.16,-2.43,-8.2,7.4,3.76,-1.19
8.800003,-0.75,3.8,-6.94,1.86,6.84,-0.45
8.870003,7.53,8.12,20.01,-3.48,2.67,-0.54
8.93,20.01,-12.47,-9.96,-4.07,-10.1,3.38
8.989998,2.43,-1.33,2.63,1.9,7.69,-1.37
9.050003,-4.39,2.51,-12.71,2.94,5.9,-2.47
9.110001,-2.31,2.08,-6.47,-0.65,-2.19,1.24
9.18,8.67,12.63,-14.32,0.49,-5.54,0.76
9.239998,20.01,4.51,4.98,1.87,-3.87,-0.78
9.300003,15.1,-4.98,3.02,-9.91,-1.06,1.04
9.360001,9.38,-1.18,-3.61,3.27,-2.46,-1.24
9.419998,2.43,1.37,-2.35,6.5,4.65,-1.84
9.489998,1.61,2.86,-6.63,1.53,6.79,-1.47
9.550003,14.55,7.96,20.01,-8.27,0.03,-0.42
9.610001,20.01,-14.24,-11.73,-0.69,-7.97,-0.1
9.669998,2.59,1.53,-3.26,2.8,7.36,-1.8
9.730003,-12.36,4.9,-7.34,0.29,4.27,-2.3
9.800003,-3.49,2.39,-2.39,-3.49,-0.86,-1.19
9.860001,5.41,14.59,-15.57,-0.93,-4.69,-0.04
9.919998,20.01,15.22,-6.08,8.96,-10.16,-1.04
9.980003,16.4,-2.24,0.59,-7.98,-2.6,3.17
10.040001,10.36,-1.45,1.29,-5.95,-3.01,0.28
10.110001,3.61,-1.06,-4.79,5.64,1.52,-1.77
10.169998,2.28,1.37,-3.65,-1.07,5.45,0.08
10.230003,18.55,-16.67,-13.96,0.81,6.33,2.08
10.290001,20.01,-16.04,13.89,-1.19,-13.36,0.35
10.349998,5.49,-0.55,-4.04,2.46,7.22,-2.83
10.419998,-1.37,1.53,1.57,2.08,3.59,-2.07
10.480003,-0.31,1.22,-8.63,-1,3.76,0.58
10.540001,-7.06,-0.82,1.26,-2.98,-1.7,-1.21
10.599998,4.98,7.26,-7.77,-0.61,-9.68,-0.17
10.660004,20.01,5.02,-6.9,4.78,-0.9,-0.07
10.730003,11.53,-7.69,-5.65,-5.83,-2.99,2.99
