NAME:,run_121_3_1.csv,,,,,
EXPERIMENT TIME:,18/03/2024 16:56,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,130,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0.056694,-1.88,-7.81,4.63,-0.03,-0.02,0
0.229746,-1.77,-7.61,4.31,-0.02,0,-0.04
0.318159,-1.8,-7.85,4.55,-0.01,-0.01,-0.05
0.45572,-1.84,-7.88,4.71,-0.03,-0.03,-0.07
0.548806,-1.57,-7.85,4.55,-0.04,-0.09,-0.08
0.657829,-1.49,-7.69,4.51,-0.01,-0.05,-0.08
0.730383,-1.26,-7.73,4.67,-0.02,-0.06,-0.09
0.826714,-1.45,-7.69,4.59,-0.01,-0.05,-0.04
0.897388,-1.57,-7.85,4.71,-0.01,-0.05,-0.02
0.994421,-1.41,-7.85,4.59,-0.01,-0.08,-0.01
1.064458,-1.14,-7.92,4.35,-0.05,-0.12,0.02
1.173471,-1.02,-7.61,4.47,-0.04,-0.11,-0.02
1.276753,-0.9,-7.53,4.2,-0.03,-0.08,-0.01
1.375764,-0.47,-8,5.53,-0.09,0.03,-0.14
1.474385,-2.94,-7.53,5.53,-0.08,-0.65,-0.03
1.57826,0.39,-7.18,4.35,0.29,-0.5,-0.31
1.680862,0.75,-7.14,5.22,0.05,-0.84,-0.31
1.796536,0.86,-7.92,7.61,0.04,-0.92,-0.2
1.895719,1.06,-5.81,6.98,-0.02,-0.79,-0.03
1.993382,-1.41,-3.06,4.55,-0.11,-0.22,0.25
2.068563,3.49,-5.02,-0.47,-1.26,0.87,0
2.195573,4,-20.01,10.43,-2.8,1.85,0.71
2.288069,-3.14,-8.08,11.34,0.72,2.1,0.57
2.382249,-1.1,0.08,-0.94,-0.22,-0.29,-0.39
2.457009,0.2,0.75,-2.47,0.04,-0.58,-0.49
2.563328,-3.57,-20.01,13.73,3.26,-0.06,1.47
2.681016,-4.98,-14.2,11.22,1.65,-0.83,-0.46
2.780418,-1.37,0,0.63,-0.26,0.33,-0.3
2.8732,1.41,1.53,-3.92,-0.81,1.15,-0.34
2.972225,-0.08,-16.4,5.14,0.05,-1.19,0.02
3.078104,-10,-15.46,12.12,0.38,0.5,2.16
3.195957,-3.45,0.63,2.12,1.06,-0.58,0.34
3.292949,-0.59,1.73,-3.06,-0.2,-0.35,-0.72
3.368576,0,-3.41,-2.28,-0.13,-0.69,0.44
3.477278,-5.26,-14.28,14.24,0.74,-0.73,0.5
3.574352,1.61,-3.3,-0.75,0.04,-0.92,-0.21
3.673895,-0.98,1.77,-2.59,0.7,1.33,0.35
3.786163,-1.1,-5.1,4.51,-0.48,1.26,-0.46
3.892507,-3.53,-20.01,13.38,-1.98,1.49,2
3.997813,-3.77,-1.33,8.87,-0.05,1.83,-1.05
4.099141,-0.24,0.27,-3.18,-1.84,-0.77,-0.69
