"NAME:","walk_122_2_2.csv"
"EXPERIMENT TIME:","15/03/2024 23:35:59"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","120"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"9.110","8.71","2.47","-1.45","0.91","0.57","-0.70"
"9.180","12.5","3.96","-4.63","-0.10","-0.23","0.15"
"9.240","6.35","6.90","0.12","-0.75","0.20","1.52"
"9.300","10.2","-0.47","3.30","-0.09","0.12","0.25"
"9.370","9.02","7.73","-1.41","0.11","0.66","-0.88"
"9.430","5.49","3.06","-2.16","-0.53","0.27","-0.28"
"9.490","6.63","1.41","-1.61","-0.58","0.41","-0.29"
"9.559","8.08","5.14","-1.96","-0.67","0.22","-0.55"
"9.620","8.24","2.39","-0.67","-0.76","0.68","-0.32"
"9.680","8.00","0.39","0.55","-1.12","0.07","-0.16"
"9.740","8.83","4.43","3.80","0.67","-2.41","-0.25"
"9.809","16.4","9.61","2.98","0.99","-1.94","0.06"
"9.870","10.0","2.20","0.71","0.32","-0.08","0.01"
"9.930","7.92","1.77","-1.57","1.01","0.07","0.41"
"10.0","6.75","2.63","-2.63","0.37","-0.12","0.76"
"10.05","6.94","0.71","-2.59","0.62","1.05","0.01"
"10.12","8.20","2.75","-1.49","1.03","0.75","-0.63"
"10.19","11.2","3.53","-5.26","0.02","-0.66","0.12"
"10.25","16.0","13.8","3.30","-0.43","0.12","0.85"
"10.30","11.1","-3.06","1.61","0.06","0.67","0.88"
"10.37","9.22","7.34","-2.04","0.32","0.68","-0.92"
"10.44","5.57","4.00","-1.77","-0.68","0.15","-0.36"
"10.5","6.63","0.27","-1.61","-0.56","0.20","-0.25"
"10.55","7.49","4.31","-1.14","-0.69","0.25","-0.55"
"10.63","7.92","2.79","-0.08","-0.58","0.72","-0.27"
"10.69","9.30","0.00","-0.39","-1.17","0.28","-0.20"
"10.75","7.81","2.12","5.45","0.21","-1.07","-0.21"
"10.82","12.9","9.34","3.06","-0.01","-2.38","-0.14"
"10.88","12.0","2.08","-1.22","0.84","-0.93","-0.22"
"10.94","7.57","1.73","-1.53","0.71","0.32","0.25"
"11.01","6.39","2.71","-2.79","0.56","-0.23","0.75"
"11.07","7.34","0.78","-2.28","0.51","0.87","0.12"
"11.13","8.16","2.08","-1.61","1.18","0.73","-0.68"
"11.19","11.2","4.75","-4.71","-0.07","-0.76","0.09"
"11.26","12.3","8.90","-0.39","-0.60","-0.27","1.10"
"11.32","9.85","1.06","3.14","-0.02","0.35","0.51"
"11.38","8.59","6.08","0.20","-0.19","0.87","-0.70"
"11.44","6.16","3.14","-1.77","-0.46","0.27","-0.48"
"11.51","6.24","1.69","-1.02","-0.50","0.35","-0.29"
"11.57","7.81","4.47","-0.67","-1.06","0.63","-0.41"
