"NAME:","walk_126_5_1.csv"
"EXPERIMENT TIME:","24/03/2024 15:46"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","120"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"221.76","-1.29","-1.88","-10.32","0.21","-0.24","-0.06"
"221.86","-1.33","0.04","-12.08","0.08","0.30","-0.91"
"221.96","2.16","-1.80","-14.55","-0.65","0.86","-0.83"
"222.06","0.59","-7.10","-8.32","-2.97","2.85","-1.99"
"222.16","1.29","-0.51","-3.77","-1.11","0.96","-0.50"
"222.26","0.04","-0.71","-6.47","-0.67","0.22","5.01"
"222.37","4.31","-4.47","-7.53","0.25","-0.90","1.06"
"222.47","3.92","7.49","-15.10","0.62","-0.36","-1.34"
"222.57","2.08","-4.08","-8.39","-0.94","0.44","-0.33"
"222.67","2.82","-8.71","-5.92","-0.78","2.04","1.99"
"222.77","-0.98","-0.75","-13.02","1.82","-0.94","-0.07"
"222.88","-0.39","-2.67","-8.43","1.37","-1.09","-0.18"
"222.98","4.51","-1.10","-10.40","0.28","-1.61","0.06"
"223.08","-1.06","-1.77","-10.28","0.71","-1.02","-0.89"
"223.18","-2.39","-4.20","-13.06","0.64","0.97","2.12"
"223.29","2.98","-6.98","-15.53","-1.42","2.21","1.65"
"223.39","3.73","-9.61","-7.85","-3.39","1.24","-3.69"
"223.49","-0.78","0.75","-9.65","-1.58","0.48","-1.81"
"223.59","-0.51","3.30","-4.16","-1.59","-1.44","4.25"
"223.69","0.31","-5.84","-3.57","0.88","-0.98","1.52"
"223.79","8.90","10.04","-7.81","-0.88","0.56","0.92"
"223.90","-2.63","-1.49","-6.71","0.03","0.79","1.87"
"224.00","-4.55","-5.65","-14.63","1.32","-0.68","1.37"
"224.10","0.12","-2.98","-9.73","1.01","-2.31","0.82"
"224.20","0.86","2.59","-7.69","1.08","-0.42","-0.14"
"224.30","-1.41","-1.10","-9.18","0.30","-1.23","-0.61"
"224.41","-2.31","-3.45","-14.95","0.79","1.12","1.70"
"224.51","11.30","-0.24","-18.44","-0.39","0.80","0.75"
"224.61","-0.43","-4.55","-6.75","-3.20","2.46","-3.22"
"224.71","-2.31","2.59","-4.90","-0.80","1.36","1.43"
"224.82","-0.43","-4.51","-2.47","-0.24","-1.06","3.91"
"224.92","9.14","3.30","-20.01","1.27","-3.98","-0.57"
"225.02","0.63","-2.20","-17.38","-0.59","1.76","2.39"
"225.12","-9.53","-9.92","-3.02","-1.23","1.16","-0.09"
