NAME:,walk_123_1_1,,,,,
EXPERIMENT TIME:,08/03/2024 09:32:12,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,80,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
.0000,-11.69,4.31,3.88,0.14,0.43,-0.48
.0820,-12.87,5.96,5.81,-0.60,0.28,-0.99
.1640,-10.24,2.43,2.94,-0.18,0.37,0.14
.2460,-7.37,2.31,1.29,-0.37,0.09,0.43
.3280,-7.61,1.69,1.18,-0.49,-0.16,0.30
.4100,-8.59,1.22,0.71,-0.68,-0.25,0.21
.4920,-11.34,4.94,3.33,-0.50,-0.15,-0.04
.5740,-13.14,0.43,3.61,0.14,0.37,0.00
.6560,-5.92,3.96,2.04,0.74,1.37,0.34
.7380,-9.10,5.26,5.57,-0.73,-0.35,0.29
.8200,-7.81,2.55,2.55,0.16,-0.23,-0.28
.9020,-7.14,1.92,2.39,0.01,-0.22,0.17
.9840,-7.92,2.16,1.88,0.24,-0.18,0.28
1.0660,-9.61,2.82,1.84,0.59,0.10,0.24
1.1480,-12.08,4.55,2.16,0.07,0.22,-0.31
1.2300,-8.51,5.81,6.94,-0.75,0.41,-1.03
1.3120,-13.49,4.43,3.88,0.46,-0.08,-0.45
1.3940,-6.75,2.39,1.65,-0.14,0.31,0.32
1.4760,-6.24,1.69,0.78,-0.03,-0.05,0.38
1.5580,-7.02,1.65,0.43,-0.57,-0.05,0.21
1.6400,-11.89,4.31,2.98,-0.85,-0.10,-0.13
1.7220,-12.55,-0.24,-2.31,0.50,0.41,0.08
1.8040,-13.89,8.59,6.35,0.72,-0.96,0.64
1.8860,-7.88,2.90,4.51,-0.65,0.29,0.03
1.9680,-9.30,4.47,4.39,0.15,-0.58,-0.10
2.0500,-6.39,1.41,1.92,-0.13,-0.11,0.17
2.1320,-7.10,2.71,2.24,0.05,-0.24,0.41
2.2140,-9.38,2.63,1.88,0.66,0.04,0.36
2.2960,-10.71,1.65,0.63,0.39,0.11,-0.18
2.3780,-8.94,5.18,7.92,-0.79,0.59,-0.95
2.4600,-13.30,6.00,5.41,0.15,-0.06,-0.77
2.5420,-8.32,2.39,2.51,-0.23,0.51,0.04
2.6240,-7.22,2.04,1.33,-0.23,0.13,0.31
2.7060,-5.96,0.82,0.39,-0.56,-0.03,0.29
2.7880,-8.75,2.20,1.45,-0.89,0.15,0.06
2.8700,-12.83,2.28,-0.59,0.07,0.15,0.07
2.9520,-17.53,10.67,8.32,0.18,-1.11,0.43
3.0340,-8.43,3.06,4.86,-0.52,0.30,-0.13
3.1160,-8.90,5.22,4.35,0.08,-0.49,0.00
3.1980,-6.24,1.22,2.39,0.32,-0.37,-0.00
3.2800,-7.22,2.79,2.00,0.35,-0.28,0.37
3.3620,-9.10,1.26,1.84,0.72,-0.11,0.24
3.4440,-10.83,1.73,0.59,0.38,0.05,-0.14
3.5260,-10.08,6.08,5.65,0.05,0.34,-0.66
3.6080,-12.79,6.67,5.65,-0.01,0.13,-0.91
3.6900,-8.71,2.31,2.94,0.07,0.28,0.05
3.7720,-7.26,1.80,1.45,-0.02,0.08,0.39
3.8540,-5.65,1.37,0.78,-0.47,-0.18,0.46
3.9360,-10.36,3.37,0.90,-0.86,-0.21,0.04
4.0180,-13.18,1.41,-0.27,0.27,-0.12,-0.10
4.1000,-16.55,10.51,10.04,0.15,-1.12,0.48
4.1820,-9.02,3.92,5.65,-0.02,0.33,0.03
4.2640,-9.06,4.75,4.16,0.39,-0.52,-0.31
4.3460,-6.20,1.26,2.67,0.31,-0.30,-0.06
4.4280,-7.41,2.39,2.16,0.20,-0.27,0.27
4.5100,-9.30,2.39,2.24,0.58,0.02,0.21
4.5920,-11.02,1.65,0.59,0.49,0.15,-0.18
4.6740,-9.34,5.18,6.71,-0.18,0.42,-0.73
4.7560,-13.18,6.79,5.53,-0.15,0.24,-0.70
4.8380,-8.36,2.35,2.55,0.07,0.50,0.19
4.9200,-6.59,2.24,1.41,-0.07,-0.04,0.34
5.0020,-6.75,1.73,0.51,-0.19,-0.21,0.18
5.0840,-9.06,1.96,0.08,-0.44,0.08,-0.21
5.1660,-12.75,2.39,-0.86,0.12,-0.03,0.02
5.2480,-17.18,8.36,8.12,0.45,-0.93,0.29
5.3300,-8.36,3.37,4.82,0.09,0.20,0.04
5.4120,-8.71,4.43,3.96,-0.03,-0.47,-0.09
5.4940,-6.83,1.53,2.08,0.37,-0.31,-0.06
5.5760,-7.26,1.92,1.96,0.14,-0.22,0.35
5.6580,-8.59,3.10,1.80,0.42,-0.15,0.47
5.7400,-11.30,1.06,1.06,0.41,0.08,-0.19
5.8220,-10.16,6.47,7.53,-0.75,0.34,-0.92
5.9040,-12.79,6.28,4.86,0.10,0.05,-0.78
5.9860,-7.85,2.04,2.20,-0.03,0.32,0.12
6.0680,-6.20,2.12,0.82,0.02,0.06,0.36
6.1500,-6.20,1.37,0.35,-0.33,-0.20,0.22
6.2320,-9.41,2.79,0.55,-0.70,0.16,-0.20
6.3140,-12.91,2.16,-0.55,0.44,0.07,0.06
6.3960,-12.40,7.49,4.04,1.13,-0.09,0.35
6.4780,-8.55,4.79,5.37,-0.58,0.07,0.18
6.5600,-9.22,3.84,3.69,0.31,-0.45,-0.14
6.6420,-6.32,1.45,2.08,0.08,-0.24,0.10
6.7240,-6.71,2.79,2.12,0.18,-0.27,0.50
6.8060,-9.73,2.04,1.37,0.84,-0.02,0.17
6.8880,-10.98,3.49,1.22,0.02,0.15,-0.26
6.9700,-8.04,5.92,7.77,-0.93,0.58,-1.03
7.0520,-12.36,5.37,4.59,0.32,0.06,-0.46
7.1340,-8.00,2.12,2.00,-0.27,0.39,0.18
7.2160,-6.04,2.39,0.75,-0.33,0.17,0.41
7.2980,-6.32,0.90,-0.31,-0.56,-0.09,0.18
7.3800,-10.87,3.30,2.79,-0.72,-0.17,-0.13
7.4620,-14.32,4.28,6.20,0.58,0.02,0.12
7.5440,-5.57,1.84,1.84,0.83,1.07,-0.07
7.6260,-7.88,6.12,5.30,-0.47,-0.58,0.16
7.7080,-7.18,2.90,2.79,0.25,-0.39,-0.09
7.7900,-7.14,1.92,2.12,0.17,-0.32,0.22
7.8720,-8.04,2.59,1.73,0.31,-0.13,0.47
7.9540,-10.59,1.45,1.84,0.55,0.02,0.00
8.0360,-10.90,7.73,5.61,-0.54,0.51,-0.54
8.1180,-12.28,7.92,6.20,-0.43,0.35,-1.01
8.2000,-9.18,2.31,3.22,0.39,0.26,0.06
8.2820,-6.55,2.00,0.86,0.05,0.02,0.18
8.3640,-6.24,1.22,0.20,-0.19,-0.11,0.19
8.4460,-9.02,2.16,0.35,-0.60,0.06,0.01
8.5280,-12.94,2.28,-1.22,0.22,0.06,-0.01
8.6100,-16.95,8.51,11.38,0.07,-0.48,0.16
8.6920,-7.57,2.79,2.71,-0.07,0.65,-0.10
8.7740,-8.63,5.92,3.92,-0.32,-0.41,-0.00
8.8560,-6.43,1.22,1.96,0.28,-0.29,-0.14
8.9380,-6.71,2.12,1.77,0.37,-0.27,0.50
