NAME:,walk_125_3_2.csv,,,,,
EXPERIMENT TIME:,12/03/2024 7:32,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS: ,120,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0,8.59,-1.14,-4.67,0.11,-0.26,-0.06
0.05999756,8.98,-0.82,-5.1,0.34,-0.27,-0.13
0.11999512,8.67,-2.35,-4.04,-0.49,-0.11,-0.09
0.17999268,9.26,-2.51,-3.57,0.02,-0.12,-0.15
0.25,9.73,-2.24,-5.45,0.92,0.07,-0.38
0.30999756,8.59,-1.18,-4.47,0.73,0.15,-0.47
0.36999512,9.61,-0.55,-4.75,1.13,0.09,-0.62
0.42999268,9.26,0.04,-4.16,0.94,0.3,-0.68
0.4900055,8.83,-0.67,-4.63,0.62,0.3,-0.65
0.55999756,8.12,-0.39,-4.08,0.84,0.13,-0.58
0.6199951,8.87,-0.55,-3.84,0.83,0.05,-0.4
0.6799927,8.75,-0.31,-3.33,1.01,0.21,-0.36
0.7400055,8.36,0.2,-2.94,0.83,-0.19,-0.33
0.80000305,9.85,0,-2.9,0.65,-0.5,-0.05
0.8699951,9.73,-0.75,-2.47,0.55,-0.17,-0.23
0.9299927,9.61,-1.45,-2.39,0.88,0.03,-0.27
0.9900055,12.63,-0.71,-7.61,1.91,-0.22,-0.49
1.050003,11.34,1.77,-7.41,3.08,-0.4,-0.58
1.1100006,5.26,-0.75,-4.82,-2.41,0.64,-0.37
1.1799927,8.63,-1.84,-3.77,-0.9,-1.1,0.97
1.2400055,10.47,-1.69,-5.22,0.86,-0.3,0.38
1.300003,7.37,-1.06,-4.67,0.54,0.89,-0.03
1.3600006,5.3,-1.49,-3.84,-0.29,0.83,0.26
1.4199982,8.04,-0.67,-4.12,-0.08,-0.55,0.51
1.4900055,9.34,0,-2.63,-1,0.23,0.2
1.550003,8.83,-0.82,-4,-1.14,0.64,0.08
1.6100006,9.18,-1.45,-2.63,-1.46,-0.09,0.35
1.6699982,12.79,-7.49,-12.12,-1.6,0.07,1.26
1.7299957,9.65,-1.69,-1.8,-2.13,0.7,1.75
1.800003,9.61,-1.49,-8.43,5.62,-0.1,0.43
1.8600006,8.28,-0.43,-5.57,-1.43,0.08,-1.97
1.9199982,4.9,-2.16,-2.9,-2.37,0.77,-0.15
1.9799957,6.08,-1.29,-1.84,0.32,-0.03,-0.57
2.0399933,6.55,-0.71,-3.37,2.65,-1.26,-0.34
2.1100006,9.61,-0.43,-4.28,1.34,-1.06,0.16
2.1699982,10.24,1.14,-3.02,1.36,0.25,-0.44
2.2299957,13.49,-2.12,-7.37,-0.27,-0.15,-0.52
2.2899933,11.77,-1.49,-9.77,0.17,-0.35,-0.97
2.3600006,5.53,-4.55,-6.83,-1.96,1.35,-1.57
2.4199982,8.36,0.51,-0.43,-1.75,0.17,0.03
2.4799957,15.02,-0.59,-6.86,4.48,-1.47,0.7
2.5399933,3.96,1.61,-3.8,1.01,2.53,-0.49
2.600006,4.55,-0.12,-2.79,-0.63,0.63,1.39
2.6699982,8.24,-0.59,-3.18,-2.05,-2.02,0.35
2.7299957,13.96,-5.1,-5.49,-2.87,-0.48,0.91
2.7899933,10.71,-3.49,-3.57,-2.35,1.35,0.32
2.850006,10.67,-5.45,-11.61,1.5,0.24,0.42
2.9100037,10.28,0.47,-5.49,1.91,-0.29,0.92
2.9700012,11.02,-0.51,-7.65,4.88,-0.14,-0.48
3.0399933,6.86,-0.86,-4.51,-3.05,0.13,-1.59
3.100006,5.18,-2.31,-1.77,-2.29,1.08,-0.01
3.1600037,5.73,-0.9,-1.49,2.26,-0.8,-0.42
3.2200012,7.1,-0.08,-2,3.33,-1.85,-0.32
3.2899933,12.59,-1.45,-7.92,1.02,-0.57,0.36
3.350006,10.75,-0.27,-5.26,1.31,-0.23,-0.43
3.4100037,14,-2.28,-11.77,-0.52,-0.59,-0.69
3.4700012,7.53,-1.88,-5.77,-0.14,0.91,-1.28
3.5299988,7.41,-2.86,-5.77,-3.46,1.28,-0.58
3.5899963,9.02,-1.29,-1.77,2.42,-1.18,2.11
3.6600037,3.73,1.77,-4.2,2.3,1.89,-1.54
3.7200012,4.67,0.86,-2.59,0.07,0.85,1.19
3.7799988,8,-0.04,-3.8,-2.53,-1.97,0.59
3.8399963,13.65,-4.43,-6.2,-4.1,-0.54,1.34
3.899994,10.47,-4.94,-4.04,-3.95,1.33,0.59
