NAME:,walk_123_2_1.csv,,,,,
EXPERIMENT TIME:,08/03/2024 09:46:38,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,112,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
.0000,-9.57,6.32,6.24,-1.40,0.34,-0.60
.0820,-9.89,3.73,3.73,0.40,0.31,-0.01
.1640,-7.77,2.20,2.04,-0.41,0.31,0.28
.2460,-7.77,3.14,2.39,-0.34,0.24,0.39
.3280,-6.90,2.28,1.10,-0.33,0.03,0.14
.4100,-10.90,4.00,2.12,-0.67,-0.28,0.09
.4920,-13.18,0.08,-0.39,0.05,0.20,-0.24
.5740,-14.40,9.57,7.73,0.80,-0.43,0.43
.6560,-8.71,3.41,4.00,0.30,-0.01,-0.01
.7380,-7.92,4.39,3.41,-0.21,-0.53,0.05
.8200,-6.35,2.86,3.37,0.34,-0.60,-0.33
.9020,-8.24,2.04,3.26,0.24,-0.37,-0.02
.9840,-9.02,2.43,2.20,0.38,0.07,-0.01
1.0660,-10.63,3.14,2.39,0.54,-0.20,0.20
1.1480,-12.40,3.53,2.28,0.56,-0.08,-0.31
1.2300,-8.94,3.30,5.73,-0.76,0.17,-0.85
1.3120,-11.45,5.61,5.33,-0.50,0.15,-0.51
1.3940,-6.75,1.69,2.55,0.39,0.48,0.36
1.4760,-6.75,2.47,1.96,-0.24,0.20,0.68
1.5580,-6.39,2.82,1.10,-0.42,0.17,0.16
1.6400,-10.12,1.65,0.86,-0.28,0.01,-0.06
1.7220,-14.16,2.43,0.31,-0.32,-0.05,0.06
1.8040,-16.28,7.06,7.10,0.63,-0.28,0.37
1.8860,-8.94,3.73,3.92,0.23,0.12,0.08
1.9680,-7.61,4.16,3.61,-0.35,-0.71,0.05
2.0500,-6.32,3.14,3.69,0.35,-0.80,-0.25
2.1320,-7.26,2.28,3.45,0.32,-0.43,0.02
2.2140,-10.32,3.06,3.26,0.76,0.18,-0.03
2.2960,-12.55,1.80,1.02,0.42,-0.08,-0.03
2.3780,-13.06,3.37,3.49,0.53,-0.10,-0.23
2.4600,-9.85,4.39,5.49,-1.41,-0.03,-0.92
2.5420,-10.71,5.84,4.86,0.13,0.25,-0.02
2.6240,-6.86,2.28,1.96,0.18,0.36,0.34
2.7060,-7.37,2.16,2.16,-0.05,-0.01,0.46
2.7880,-7.96,2.75,1.33,-0.19,0.04,0.07
2.8700,-13.26,2.75,1.37,-0.33,0.10,0.01
2.9520,-10.20,2.82,3.45,-0.21,0.34,0.02
3.0340,-5.84,3.18,2.35,0.57,0.27,-0.12
3.1160,-9.45,3.65,4.51,-0.14,-0.51,0.14
3.1980,-7.18,3.77,3.69,-0.18,-0.65,-0.16
3.2800,-6.12,1.65,3.06,0.22,-0.41,-0.06
3.3620,-7.57,2.67,2.79,0.21,-0.03,0.11
3.4440,-10.87,2.43,1.37,0.57,-0.01,0.21
3.5260,-14.04,3.37,3.14,0.37,-0.14,-0.39
3.6080,-9.41,3.77,6.24,-1.13,0.27,-1.15
3.6900,-12.24,6.43,5.41,-0.38,0.29,-0.04
3.7720,-5.41,1.73,1.84,0.37,0.40,0.27
3.8540,-5.81,1.77,1.14,0.26,0.17,0.39
3.9360,-7.57,3.41,1.41,-0.25,0.02,0.14
4.0180,-12.55,3.53,1.14,-0.29,-0.04,-0.01
4.1000,-10.08,1.06,-0.63,0.13,0.28,-0.04
4.1820,-11.85,5.88,2.98,1.05,-0.16,-0.05
4.2640,-9.85,3.73,4.71,0.14,-0.54,-0.06
4.3460,-7.49,3.41,3.49,0.14,-0.76,-0.11
4.4280,-6.28,1.92,3.06,0.41,-0.80,-0.24
4.5100,-7.88,2.39,3.10,0.33,0.00,0.08
4.5920,-10.20,2.55,1.77,0.50,0.12,0.04
4.6740,-13.45,4.35,2.39,0.38,-0.24,-0.25
4.7560,-8.43,6.55,4.94,-0.60,0.31,-0.34
4.8380,-11.06,5.26,6.47,-0.46,-0.05,-0.38
4.9200,-7.49,2.28,3.18,0.23,0.60,0.38
5.0020,-6.04,2.51,1.77,-0.25,0.30,0.54
5.0840,-5.45,2.20,0.94,-0.24,0.02,0.17
5.1660,-11.18,3.06,1.41,-0.69,0.09,0.08
5.2480,-13.65,-0.24,-0.98,-0.06,0.39,0.05
5.3300,-13.02,13.14,5.92,0.65,-0.68,0.76
5.4120,-7.65,1.57,3.41,0.17,-0.04,-0.33
5.4940,-7.18,4.31,3.92,-0.08,-1.06,-0.06
5.5760,-6.59,2.20,3.49,0.49,-0.87,-0.31
5.6580,-8.32,2.82,3.69,0.55,-0.31,0.02
5.7400,-9.92,1.22,1.41,0.60,0.29,-0.03
5.8220,-12.43,3.37,1.49,0.25,-0.10,-0.20
5.9040,-8.51,6.39,7.10,-0.91,0.29,-0.73
5.9860,-11.06,6.00,5.65,-0.43,0.28,-0.41
6.0680,-7.30,0.47,4.47,0.22,0.69,0.35
6.1500,-6.12,2.16,1.88,-0.09,0.31,0.59
6.2320,-6.75,2.75,0.71,-0.48,0.23,0.11
6.3140,-13.06,2.47,1.61,-0.51,0.04,-0.17
6.3960,-13.89,-0.35,-0.12,0.08,0.12,-0.01
6.4780,-10.67,6.98,1.33,0.67,0.51,0.38
6.5600,-9.38,4.31,4.79,-0.19,-0.54,-0.06
6.6420,-7.69,4.24,3.77,0.25,-0.83,-0.22
6.7240,-6.35,1.53,3.10,0.40,-0.66,-0.15
6.8060,-8.00,3.14,3.18,0.47,-0.25,0.15
6.8880,-11.02,1.06,1.77,0.68,0.05,0.02
6.9700,-12.71,3.22,1.69,0.25,-0.19,-0.17
7.0520,-8.36,5.45,5.53,-0.58,0.42,-0.57
7.1340,-10.90,5.84,5.88,-0.53,0.18,-0.42
7.2160,-7.77,2.47,2.75,0.38,0.57,0.29
7.2980,-6.59,1.77,1.37,0.07,0.18,0.61
7.3800,-6.00,1.61,0.00,-0.46,0.05,0.22
7.4620,-11.06,2.71,1.69,-0.61,0.07,-0.15
7.5440,-14.28,-0.20,-0.63,0.11,0.11,0.04
7.6260,-12.67,9.06,3.30,0.71,-0.31,0.54
7.7080,-9.49,3.10,5.14,-0.11,-0.30,-0.10
7.7900,-7.96,4.55,4.16,0.02,-0.80,-0.19
7.8720,-5.88,1.88,3.22,0.46,-0.49,-0.25
7.9540,-8.20,2.82,2.94,0.78,-0.42,0.14
8.0360,-11.53,1.14,1.33,0.78,-0.06,0.09
8.1180,-13.22,2.82,1.77,0.16,-0.11,-0.21
8.2000,-8.43,3.06,6.00,-1.13,0.23,-1.12
8.2820,-12.63,6.59,5.02,-0.75,0.34,-0.15
8.3640,-6.83,0.51,3.57,0.10,0.57,0.40
8.4460,-5.65,2.00,1.33,-0.17,0.17,0.57
8.5280,-7.02,3.02,0.59,-0.49,0.01,0.18
8.6100,-14.91,2.43,1.02,-0.21,-0.05,-0.17
8.6920,-12.59,8.47,8.75,0.08,0.42,0.05
8.7740,-4.63,3.77,2.79,0.43,0.96,0.01
8.8560,-7.65,4.47,3.73,-0.08,-0.68,-0.09
8.9380,-5.26,1.84,2.82,0.32,-0.63,-0.31
9.0200,-7.14,1.96,3.30,0.14,-0.57,0.22
9.1020,-9.41,2.90,2.04,0.50,0.23,0.11
9.1840,-13.89,2.31,0.86,0.48,-0.22,-0.01
9.2660,-10.51,7.96,5.22,-0.60,0.37,-0.32
9.3480,-11.02,5.02,6.90,-0.77,0.04,-0.76
9.4300,-7.53,2.67,3.61,0.52,0.50,0.31
9.5120,-6.00,1.33,0.90,0.19,0.17,0.38
9.5940,-5.69,1.88,0.82,-0.48,-0.11,0.27
9.6760,-12.55,2.71,1.65,-0.41,0.10,-0.40
9.7580,-14.67,0.67,-2.00,0.07,0.11,0.09
9.8400,-14.67,11.92,7.96,0.79,-0.84,0.71
9.9220,-7.30,2.31,4.55,0.21,-0.00,-0.17
10.0040,-8.32,4.43,4.00,-0.11,-0.94,-0.20
10.0860,-5.88,1.80,2.75,0.36,-0.58,-0.18
10.1680,-7.92,2.75,3.22,0.37,-0.31,0.17
10.2500,-10.24,2.00,2.08,0.57,0.25,0.07
10.3320,-12.71,2.47,1.41,0.39,-0.03,-0.07
10.4140,-9.10,6.39,5.92,-0.61,0.40,-0.57
10.4960,-11.18,5.92,6.16,-0.54,0.07,-0.50
10.5780,-7.77,2.20,2.86,0.50,0.54,0.24
10.6600,-6.59,2.00,1.10,0.08,0.25,0.42
10.7420,-6.24,2.16,0.59,-0.50,0.11,0.29
10.8240,-10.67,1.92,0.78,-0.47,0.10,-0.24
10.9060,-13.73,3.10,-1.77,-0.01,0.06,0.21
10.9880,-12.47,11.45,8.59,0.12,-0.78,0.33
11.0700,-8.04,2.75,4.08,0.29,0.04,-0.04
11.1520,-7.65,3.96,3.88,-0.03,-0.95,-0.23
11.2340,-5.92,2.08,2.86,0.44,-0.63,-0.23
11.3160,-7.69,2.39,3.30,0.39,-0.16,0.19
11.3980,-9.10,2.12,1.41,0.53,0.43,0.06
11.4800,-13.85,2.90,1.65,0.57,-0.14,-0.05
11.5620,-9.61,5.49,3.96,-0.47,0.31,-0.41
11.6440,-11.10,5.33,6.12,-0.80,-0.01,-0.72
11.7260,-7.96,2.55,3.49,0.41,0.62,0.18
11.8080,-6.16,1.69,1.61,-0.12,0.26,0.36
11.8900,-6.79,2.08,0.63,-0.44,-0.03,0.30
11.9720,-10.47,2.67,1.18,-0.64,0.28,-0.14
12.0540,-13.53,3.10,-0.27,-0.04,-0.03,0.28
12.1360,-14.20,6.79,9.92,-1.06,0.63,0.48
12.2180,-4.86,2.47,1.26,0.61,0.17,-0.29
12.3000,-9.65,3.45,4.51,-0.32,-0.92,-0.19
12.3820,-5.81,2.55,2.59,0.04,-0.48,-0.13
12.4640,-7.30,2.75,3.57,0.08,-0.40,0.14
12.5460,-9.45,3.10,2.35,0.59,0.39,0.06
12.6280,-13.53,2.31,1.22,0.43,-0.14,-0.01
12.7100,-11.92,4.59,4.59,0.64,-0.12,-0.40
12.7920,-10.98,3.37,6.43,-1.10,-0.04,-1.00
12.8740,-11.06,5.22,4.39,0.25,0.42,0.12
12.9560,-7.02,1.88,1.73,-0.04,0.34,0.32
13.0380,-6.20,2.31,1.53,-0.26,0.13,0.48
13.1200,-7.73,2.67,0.86,-0.41,0.14,0.06
13.2020,-14.98,3.06,1.57,-0.19,-0.20,0.01
13.2840,-7.88,4.79,5.88,-0.19,0.55,-0.15
13.3660,-7.53,4.79,2.04,0.89,0.29,0.05
13.4480,-9.85,4.16,4.75,-0.07,-0.70,-0.12
13.5300,-6.94,3.45,3.45,0.35,-0.70,-0.28
13.6120,-6.98,1.61,3.14,0.47,-0.61,-0.07
13.6940,-8.32,2.43,3.22,0.46,-0.23,0.14
13.7760,-10.75,1.10,0.90,0.53,-0.05,0.02
13.8580,-12.83,3.96,2.12,0.19,-0.14,-0.23
13.9400,-7.41,5.45,7.26,-0.69,0.33,-0.65
14.0220,-10.87,6.71,5.61,-0.18,0.22,-0.44
14.1040,-7.34,1.65,2.39,0.28,0.53,0.33
14.1860,-5.81,2.00,1.49,-0.10,0.33,0.58
14.2680,-6.28,2.55,0.71,-0.52,0.14,0.26
14.3500,-11.22,2.55,1.92,-0.46,0.19,-0.23
14.4320,-13.85,1.18,-1.41,0.09,0.06,0.12
14.5140,-13.61,9.45,4.47,0.47,-0.59,0.25
14.5960,-9.65,3.49,4.98,0.28,0.01,-0.03
14.6780,-7.73,3.96,3.65,-0.09,-0.77,-0.16
14.7600,-6.16,2.16,3.14,0.44,-0.74,-0.28
14.8420,-7.61,2.24,3.18,0.28,-0.28,0.11
14.9240,-9.73,3.02,2.28,0.58,0.40,0.13
15.0060,-12.94,2.39,1.22,0.37,-0.10,-0.08
15.0880,-11.65,4.39,4.04,0.51,-0.00,-0.36
15.1700,-11.65,4.31,6.98,-0.82,-0.21,-0.94
15.2520,-9.77,3.65,3.88,0.39,0.59,0.20
15.3340,-6.47,1.96,1.84,-0.07,0.41,0.41
15.4160,-6.59,2.31,1.53,-0.29,0.08,0.43
15.4980,-8.59,2.39,1.18,-0.39,0.06,-0.15
15.5800,-14.79,4.00,1.96,-0.56,-0.29,0.21
15.6620,-9.34,1.14,4.12,0.01,0.31,-0.03
15.7440,-10.83,7.61,3.45,0.52,0.27,0.30
15.8260,-9.22,2.90,4.04,-0.04,-0.17,-0.18
15.9080,-7.88,4.12,4.00,0.06,-0.84,-0.12
15.9900,-6.63,2.20,3.65,0.33,-0.61,-0.10
16.0720,-8.32,2.71,3.69,0.47,-0.36,0.06
16.1540,-9.65,1.10,0.78,0.61,0.08,-0.09
16.2360,-12.91,4.00,1.49,0.38,-0.20,-0.14
16.3180,-9.30,6.16,6.71,-0.68,0.33,-0.59
16.4000,-10.63,5.61,5.84,-0.40,0.22,-0.28
16.4820,-7.49,2.31,2.67,0.38,0.61,0.26
16.5640,-6.16,2.24,1.69,-0.05,0.35,0.52
16.6460,-6.86,3.45,1.53,-0.28,0.10,0.22
16.7280,-11.49,2.16,1.18,-0.20,-0.00,-0.17
16.8100,-12.98,1.69,-1.18,-0.12,0.25,0.09
16.8920,-13.10,11.45,8.90,0.30,-0.64,0.49
16.9740,-7.06,2.51,3.53,0.54,0.09,-0.32
17.0560,-7.85,3.30,3.53,0.07,-0.83,-0.19
17.1380,-6.43,2.28,3.22,0.43,-0.78,-0.28
17.2200,-8.47,2.43,3.73,0.37,-0.18,0.06
17.3020,-9.26,2.86,2.55,0.46,0.23,0.02
17.3840,-12.28,2.12,1.26,0.49,-0.12,0.19
17.4660,-12.51,2.94,2.28,0.50,-0.07,-0.25
17.5480,-9.22,3.33,6.32,-1.33,0.02,-0.69
17.6300,-9.77,5.26,4.16,-0.08,0.47,-0.16
17.7120,-6.39,1.88,1.88,0.11,0.49,0.33
17.7940,-7.06,2.94,2.24,-0.42,0.30,0.62
17.8760,-7.06,2.35,1.14,-0.15,0.24,0.02
17.9580,-10.55,2.63,1.37,-0.51,0.10,0.02
18.0400,-13.22,0.67,-0.59,-0.08,0.04,0.06
18.1220,-14.16,9.45,7.37,-0.02,-0.03,0.63
18.2040,-7.41,2.79,3.53,0.16,0.20,-0.01
18.2860,-7.22,3.80,3.57,-0.41,-0.72,-0.03
18.3680,-6.59,2.75,3.26,0.16,-0.58,-0.16
18.4500,-7.18,2.55,3.10,0.12,-0.15,0.15
18.5320,-10.16,3.41,2.98,0.56,0.02,0.11
18.6140,-12.75,1.92,1.80,0.38,-0.15,0.05
18.6960,-12.87,5.22,4.35,0.44,-0.06,-0.15
18.7780,-9.69,4.16,5.92,-1.03,-0.08,-0.86
18.8600,-10.51,5.10,4.00,-0.08,0.39,0.13
18.9420,-6.24,2.31,1.77,-0.02,0.41,0.33
19.0240,-6.47,2.59,1.96,-0.25,0.15,0.42
19.1060,-8.16,2.28,1.33,-0.33,0.07,0.10
19.1880,-14.08,3.41,1.69,-0.45,-0.01,-0.06
19.2700,-11.30,4.47,6.75,-0.05,0.42,-0.03
19.3520,-3.96,4.79,2.20,0.51,0.88,-0.12
19.4340,-8.94,3.84,4.12,0.14,-0.55,-0.11
19.5160,-6.59,3.41,3.41,0.25,-0.67,-0.27
19.5980,-6.94,1.80,3.69,0.39,-0.80,-0.08
19.6800,-8.08,3.30,2.94,0.36,0.10,0.08
19.7620,-10.47,1.96,2.00,0.50,-0.11,0.13
19.8440,-12.79,3.45,2.20,0.50,-0.12,-0.12
19.9260,-7.96,6.63,4.82,-0.98,0.55,-0.33
20.0080,-10.59,6.63,5.41,-0.52,0.08,-0.54
20.0900,-7.14,2.04,2.71,0.43,0.58,0.24
20.1720,-6.67,2.20,1.84,-0.17,0.26,0.44
20.2540,-6.86,2.63,1.02,-0.40,-0.11,0.26
20.3360,-10.71,2.20,0.71,-0.35,0.13,-0.19
20.4180,-13.57,1.69,-0.71,-0.02,-0.05,0.10
20.5000,-16.24,9.61,12.20,-0.29,0.26,0.69
20.5820,-5.30,2.94,2.94,0.42,0.33,-0.16
20.6640,-7.61,4.04,3.80,-0.10,-0.78,-0.07
20.7460,-6.12,2.63,3.26,0.52,-0.69,-0.39
20.8280,-8.20,2.47,3.53,0.31,-0.44,0.09
20.9100,-8.79,2.71,2.00,0.51,0.24,-0.12
20.9920,-12.24,2.75,2.08,0.66,-0.30,0.25
21.0740,-12.51,2.55,1.10,0.57,-0.01,-0.29
21.1560,-9.45,4.00,5.53,-1.28,0.12,-0.69
21.2380,-9.61,6.20,4.08,-0.03,0.14,-0.31
21.3200,-6.35,2.20,2.24,0.30,0.42,0.39
21.4020,-5.81,2.90,1.73,-0.14,0.13,0.53
21.4840,-7.69,2.82,1.26,-0.03,-0.17,0.13
21.5660,-11.30,2.08,1.29,-0.38,0.06,-0.08
21.6480,-14.00,1.26,-0.71,-0.00,-0.02,-0.01
21.7300,-13.53,13.10,6.43,0.19,-0.38,0.61
21.8120,-7.69,2.35,4.12,0.42,0.13,-0.09
21.8940,-7.34,3.57,3.33,-0.20,-0.72,-0.03
21.9760,-5.88,2.31,3.10,0.26,-0.65,-0.29
22.0580,-8.04,2.86,3.49,0.21,-0.31,0.06
22.1400,-9.02,3.02,2.16,0.49,0.30,-0.09
22.2220,-12.59,2.59,1.18,0.61,-0.14,-0.01
22.3040,-11.41,5.37,4.20,0.80,-0.27,-0.49
22.3860,-10.90,5.53,7.02,-0.96,0.05,-0.80
22.4680,-9.81,3.77,3.45,0.51,0.54,0.19
22.5500,-5.53,1.80,1.41,-0.11,0.37,0.44
22.6320,-5.84,2.51,1.29,-0.44,0.10,0.39
22.7140,-9.14,2.55,1.02,-0.41,0.21,-0.28
22.7960,-13.45,3.73,0.59,-0.25,0.03,0.12
22.8780,-10.67,8.59,7.81,-0.91,0.51,-0.04
22.9600,-7.06,4.24,2.67,1.12,0.26,0.02
23.0420,-8.67,3.22,4.04,-0.05,-0.95,-0.42
23.1240,-5.88,2.94,3.45,0.35,-0.60,-0.17
23.2060,-7.61,2.75,3.69,0.46,-0.42,-0.03
23.2880,-9.73,2.43,2.43,0.96,0.26,-0.10
23.3700,-12.75,1.92,0.51,0.67,-0.25,0.12
23.4520,-11.81,3.14,1.29,0.35,-0.13,-0.17
23.5340,-9.65,3.49,5.96,-1.42,0.01,-0.83
23.6160,-11.10,5.49,4.51,-0.26,0.58,-0.21
23.6980,-6.86,1.96,1.73,0.09,0.56,0.44
23.7800,-6.67,1.80,1.53,-0.40,0.41,0.59
23.8620,-6.98,2.08,0.63,-0.72,0.32,0.30
23.9440,-12.79,3.61,1.69,-0.65,-0.08,-0.06
24.0260,-11.96,1.69,4.71,0.03,0.18,-0.02
24.1080,-5.53,5.96,0.51,0.20,0.38,0.23
24.1900,-10.00,3.53,4.67,0.00,-0.53,-0.06
24.2720,-6.75,3.53,3.53,-0.03,-0.80,-0.14
24.3540,-6.39,1.88,3.30,0.12,-0.39,0.06
24.4360,-8.24,2.82,2.24,0.45,0.13,0.07
24.5180,-12.71,2.24,2.12,0.46,-0.24,0.22
24.6000,-13.85,4.31,3.69,0.44,-0.06,-0.25
24.6820,-9.89,3.88,6.35,-1.15,-0.01,-0.95
24.7640,-12.47,6.47,4.67,-0.15,0.19,-0.11
24.8460,-6.39,1.88,1.92,0.22,0.59,0.34
24.9280,-5.61,2.35,1.10,-0.14,0.31,0.45
25.0100,-6.79,2.35,0.59,-0.50,0.09,0.16
25.0920,-12.87,2.51,1.69,-0.38,-0.01,-0.31
25.1740,-13.69,1.61,-2.16,0.00,0.19,0.08
25.2560,-11.30,6.67,2.00,0.75,-0.62,0.24
25.3380,-10.00,2.79,4.71,0.25,-0.26,-0.05
25.4200,-7.37,3.41,3.61,-0.42,-0.80,-0.07
25.5020,-6.59,2.39,2.90,0.17,-0.62,-0.10
25.5840,-7.22,2.28,2.86,0.13,-0.05,0.18
25.6660,-10.28,3.69,2.98,0.48,0.30,0.14
25.7480,-12.71,2.59,1.18,0.47,-0.03,0.01
25.8300,-12.83,4.82,4.79,0.28,-0.16,-0.18
25.9120,-11.18,4.20,6.90,-1.04,-0.08,-0.80
25.9940,-10.20,3.61,4.04,0.24,0.36,0.07
26.0760,-6.47,1.96,1.96,-0.07,0.36,0.34
26.1580,-7.30,2.31,1.96,-0.32,0.16,0.53
26.2400,-8.51,2.35,1.14,-0.50,0.10,0.22
26.3220,-12.94,3.53,1.73,-0.57,0.13,0.08
26.4040,-10.08,1.96,4.51,-0.01,0.76,-0.05
26.4860,-7.45,4.08,2.79,0.02,0.63,0.29
26.5680,-8.16,2.94,4.28,-0.92,-0.25,0.19
26.6500,-7.45,2.71,3.69,-0.70,-0.21,0.20
26.7320,-6.67,2.51,3.57,-0.79,-0.11,0.34
26.8140,-8.12,3.06,3.22,-0.29,0.16,0.33
26.8960,-11.10,4.04,3.33,0.43,0.03,0.31
26.9780,-12.36,1.61,2.20,0.54,0.20,-0.12
27.0600,-8.83,3.65,6.55,-1.43,0.43,-0.38
27.1420,-9.89,6.00,5.18,-1.18,0.50,-0.11
27.2240,-7.45,1.41,2.51,-0.57,0.99,0.48
