NAME:,walk_121_3_1.csv,,,,,
EXPERIMENT TIME:,18/03/2024 16:47,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,112,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0.017102,1.69,-8.28,3.96,0.04,0,-0.02
0.138494,1.88,-8.04,3.77,0.03,-0.01,-0.03
0.244001,1.73,-7.96,3.77,0.01,0,-0.06
0.313653,1.8,-7.96,3.88,0.01,0.03,-0.04
0.410823,1.69,-8.28,3.77,0.01,0,-0.03
0.508178,2.04,-8,3.88,0,-0.04,0
0.616547,1.65,-7.73,4.2,0.03,-0.19,0.01
0.754123,2.16,-7.88,4.28,0.03,-0.07,0.01
0.834231,1.57,-7.53,4.9,0.06,-0.27,0.03
0.921774,1.73,-8.04,4.79,0.23,-0.43,-0.04
1.019263,2.47,-7.3,4.67,0.32,-0.57,-0.05
1.204475,2.79,-6.9,4.86,0.42,-0.67,-0.02
1.303952,3.1,-6.32,4.63,0.27,-0.54,-0.01
1.417383,3.18,-5.69,4.98,0.32,-0.65,0.05
1.497141,2.98,-5.22,5.3,-0.28,-0.02,0.38
1.573448,2.79,-6.43,8.71,-0.29,0.01,0.59
1.654847,5.14,-9.81,4.55,0.38,-0.95,-1.03
1.73645,3.26,-14.12,1.26,-2.45,2.84,0.61
1.836736,2.9,-7.34,3.73,-0.33,1.65,0.35
1.936087,0.08,-6.28,1.84,0.52,1.16,0.18
2.070286,-1.61,-6,2.59,0.13,0.17,-0.14
2.164392,0.31,-7.14,8.9,-0.28,-0.17,-0.16
2.268107,-0.16,-9.92,11.41,1.36,1.29,-0.07
2.367947,-0.75,-14.28,-0.31,0.03,-1.9,-0.23
2.456204,3.8,-4.39,2.67,-0.86,0.52,-0.66
2.555707,0.12,-4.75,0.47,0.88,-1.74,0.31
2.702092,3.77,-3.37,3.61,-0.37,0.07,0.21
2.790297,1.41,-11.34,9.89,0.19,-0.16,0.2
2.865508,7.73,-9.89,-0.9,0.28,0.42,-0.31
2.959803,-0.63,-16.24,2.08,-1.13,3.19,0.54
3.079301,1.49,-3.92,0.63,-0.57,1.23,-0.02
3.176178,-0.86,-4.08,3.92,0.19,0.58,-0.23
3.315844,-2,-7.77,7.37,-0.61,-0.4,-0.39
3.387395,0.71,-12.08,12.12,0.25,0.21,0.32
3.485448,2.98,-12.98,-1.26,-0.34,-0.97,-1.01
3.578717,3.06,-4.43,2.75,-0.39,0.58,-0.34
3.759005,-2.16,-3.02,0,0.7,-1.37,0.37
3.856848,4.39,-4.43,4.2,-0.32,0.07,0.48
3.925256,3.06,-13.49,11.38,0.29,-0.45,0.33
3.997621,5.3,-13.1,3.65,-1,1.49,0.12
4.088531,0.04,-13.02,0.63,0.46,1.06,0.56
4.198694,2.16,-1.92,2.39,-0.33,1.59,-0.83
4.300035,-2.71,-6.94,0.35,-0.01,0.22,-0.53
4.399064,-1.29,-9.38,11.18,-0.97,-0.55,-0.23
4.497084,-0.86,-11.73,7.1,1.71,1.22,0.1
4.599012,6.08,-15.18,2.2,-0.51,-1.42,0.04
4.711758,-1.61,-4.08,3.8,-0.4,-0.43,0.13
4.80925,1.37,-5.57,0.24,0.07,-1.6,0.46
4.90738,-2.59,-11.18,14.04,-0.07,0.07,0.86
5.074152,6.32,-10.71,2.51,1.42,-1.33,-0.11
5.152455,1.77,-12.75,1.33,-0.91,2.24,0.28
5.223301,1.37,-4,0.31,-0.57,0.22,0.67
5.318556,0.75,-2.82,4.47,0.11,0.46,-0.27
5.41649,-3.22,-9.41,6.94,-0.79,-0.71,-0.35
5.53043,2.16,-12.71,12.67,0.57,0.44,0.35
5.62828,3.8,-16.4,-0.78,-0.51,-1.15,-0.93
5.721214,1.06,-2.98,5.06,-0.3,-0.33,-0.14
5.822182,-0.75,-3.41,-2.24,0.72,-1.8,0.66
5.934359,2.2,-5.02,6.83,-0.93,-0.28,0.73
6.033591,3.02,-12.12,10.83,0.75,-1.99,0.12
6.121344,7.06,-8.24,4.2,0.29,0.63,0.14
6.242105,-0.04,-6.12,1.84,0.12,0.37,0.65
6.339076,2.39,-2,3.65,0.03,1.7,-0.32
6.451126,-4.12,-6.86,1.22,-0.24,0.01,-0.63
6.550348,-2.67,-13.02,7.92,0.34,0.5,0.16
6.63821,-0.12,-11.49,-0.47,1.42,0.77,-0.44
6.728899,6.2,-6.67,2.04,-1.07,-0.48,-0.6
6.859523,-2.16,-2.94,-0.08,1.45,-2.42,0.55
6.954996,4.75,-2.43,2.9,-0.28,-0.25,0.44
7.071711,3.26,-13.38,10.43,0.58,0.04,0.36
7.158361,8.43,-10.43,-3.02,-1.25,1.32,-0.25
7.342167,-0.31,-14.4,1.33,-1.17,2.76,0.53
7.40899,1.49,-2.94,1.77,-0.34,1.63,-0.21
7.47713,-3.33,-5.53,1.29,-0.06,0.4,-0.5
7.568906,0.2,-9.92,10.63,-0.68,-0.54,-0.24
7.657022,1.37,-11.49,10.24,1.34,0.57,0.29
7.809415,6.39,-16.55,1.45,-0.68,-0.92,-0.8
7.90126,-0.47,-3.77,4.24,0.31,-1.16,0.16
7.978641,0.94,-4.2,-0.12,0.63,-1.52,0.53
8.063263,1.22,-8.39,10.9,-0.72,0.76,0.79
8.179577,1.73,-12.16,13.02,1.49,-1.9,0.02
8.279276,4.24,-10.94,1.37,0.59,1.21,0.34
8.379037,0.9,-4.12,1.18,0.06,0.52,0.45
8.472497,1.65,-2.43,3.96,0.01,1.19,-0.34
8.570112,-3.61,-7.57,3.73,-0.35,-0.32,-0.58
8.67482,-1.06,-13.57,8.04,0.41,0.46,0.32
8.776054,-0.78,-11.18,0.2,0.88,0.55,-0.62
8.88527,6,-4.31,2.35,-0.47,0.13,-0.44
8.996222,-3.18,-5.37,1.41,1.39,-2.07,0.5
9.132697,4.47,-2.79,2.55,-0.19,-0.33,0.45
9.210339,1.06,-10.28,13.3,0.67,-0.35,0.56
