"Name:","run_127_1_1"
"EXPERIMENT TIME:","15/03/2024 20:33"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","159"

"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"8.23","2.71","0.0","-9.1","0.21","-0.3","0.57"
"8.28","3.02","-0.24","-6.28","-0.46","-1.16","0.77"
"8.33","5.41","9.41","-20.01","1.18","-0.31","1.43"
"8.38","1.29","-1.22","-16.95","-0.71","-0.55","-0.33"
"8.43","-5.02","-2.98","-13.57","-0.04","-0.07","0.49"
"8.48","-3.37","3.41","-9.3","-0.82","0.26","1.9"
"8.53","1.1","6.51","-3.3","-0.68","-0.66","1.01"
"8.58","0.35","-0.47","5.37","-0.25","-0.8","-0.6"
"8.63","2.43","0.59","-12.12","0.76","0.26","-0.68"
"9.98","-6.2","0.2","-16.2","0.4","-0.39","1.07"
"12.53","7.85","10.67","-18.63","-1.67","1.38","1.73"
"12.58","-6.0","-2.63","-15.57","0.32","1.08","-1.62"
"12.63","-0.2","2.82","-11.73","-0.3","1.6","0.67"
"12.68","3.61","5.92","-10.83","0.02","1.46","-0.14"
"12.73","-3.06","-2.79","-4.63","0.36","0.16","-1.29"
"12.78","1.53","1.14","-3.22","-0.15","-0.33","0.45"
"12.83","3.37","0.08","-8.79","0.93","-1.61","-0.45"
"13.03","-6.86","-3.88","-15.02","0.33","0.18","0.92"
"13.08","-2.71","5.02","-8.75","-1.63","-0.05","2.34"
"13.13","2.51","4.94","3.18","-0.12","-1.25","0.12"
"13.18","1.92","-1.96","4.9","0.3","-0.0","-0.74"
"13.23","2.67","-1.57","-14.83","0.77","0.39","-0.8"
"13.28","5.22","6.86","-17.65","-1.56","1.51","1.71"
"13.33","-7.69","-1.73","-20.01","0.17","0.33","-1.55"
"13.38","-3.61","0.82","-9.69","-0.47","1.01","-0.08"
"13.43","2.86","6.59","-11.92","-0.91","1.87","0.37"
"13.48","-1.41","-1.26","-15.69","-0.18","0.78","-0.5"
"13.53","3.37","0.78","0.78","-0.53","-0.38","-0.39"
"13.58","0.67","-1.37","-7.69","0.87","-0.76","-0.04"
"13.63","6.39","4.47","-0.16","-0.08","-1.24","0.28"
"13.68","4.55","6.32","-20.01","2.0","0.17","-1.02"
"13.73","-0.86","-3.77","-20.01","-0.23","-0.45","-0.87"
"13.78","-3.06","2.43","-17.22","-0.06","-0.14","0.8"
"13.83","-5.14","2.51","-11.65","-0.62","-0.82","0.95"
"14.08","-7.92","-1.73","-20.01","1.34","-0.26","-1.11"
"14.13","-2.47","4.94","-12.24","0.17","1.07","-0.23"
"14.18","0.35","3.22","-11.45","-0.6","1.05","-0.1"
"14.33","-0.47","-3.77","-5.33","0.64","-0.84","-0.04"
"14.38","3.1","0.39","-3.57","0.33","-0.92","0.37"
"14.43","7.88","7.53","3.18","-0.24","-1.13","0.3"
"14.48","-0.24","4.24","-20.01","2.61","0.42","-1.39"
"14.53","0.2","-6.43","-6.12","-0.82","-1.17","-1.09"
"14.58","-6.39","1.96","-19.61","0.28","0.1","1.28"
"14.63","-2.2","4.08","-6.04","-0.51","-1.07","1.01"
"14.68","-0.94","-1.92","2.79","-0.11","-0.87","-0.27"
"14.73","3.33","0.24","3.22","-0.11","0.19","-0.1"
"14.78","-2.51","-3.37","-14.32","0.39","0.27","-0.56"
"15.23","7.06","7.26","-1.69","-0.85","-0.1","0.1"
"15.28","-1.14","-1.77","-20.01","2.13","0.24","-1.85"
"15.33","-0.08","-4.47","-9.06","-0.28","-1.08","-0.47"
"15.38","-5.73","2.24","-19.81","0.38","-0.03","1.47"
"15.43","-1.8","4.28","-9.22","0.16","-1.09","0.53"
"15.48","-1.45","0.55","-1.45","0.4","-0.3","-0.49"
"15.53","-1.22","0.86","1.69","-0.14","-0.25","-0.14"
"15.58","-3.3","1.33","-10.12","0.69","-0.34","-0.99"
"15.78","-1.41","1.41","-12.28","0.4","0.95","-2.64"
"15.83","-2.08","0.04","-11.22","0.07","1.41","-2.13"
"15.88","-0.27","4.79","-9.57","0.05","1.11","-1.95"
"15.93","-1.96","3.88","-8.36","0.68","0.56","-2.13"
"15.98","2.9","5.26","-5.69","0.97","-0.59","-2.64"
"16.03","3.53","4.75","-6.0","0.99","-0.75","-2.92"
"16.08","7.26","4.98","-8.9","1.29","-0.27","-3.7"
"16.13","0.94","-4.71","-20.01","1.12","0.37","-4.19"
"16.48","-3.92","0.35","-12.71","-0.36","-0.26","-1.79"
"16.53","3.41","8.43","-6.0","-1.27","-0.3","-1.99"
"16.58","1.06","5.88","-14.24","-0.96","-0.75","-2.55"
