NAME:,run1_123_3_1.csv,,,,,
EXPERIMENT TIME:,12/03/2024 16:46:15,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,90,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
32.8820,-18.36,-0.08,4.82,-0.22,-1.67,-0.26
32.9640,-9.41,-2.51,2.43,0.28,-1.20,-0.49
33.0460,-1.14,-3.57,0.90,0.53,0.05,0.28
33.1280,0.67,0.47,2.16,-0.98,0.74,-0.55
33.2100,-20.01,1.53,14.24,-0.25,-0.20,-0.67
33.2920,-17.69,-5.33,3.77,0.50,0.09,1.09
33.3740,-10.83,-3.84,0.82,1.24,-0.05,0.52
33.4560,0.78,5.22,-0.12,0.12,-0.26,-0.13
33.5380,-1.61,-0.35,0.86,0.05,0.35,-0.92
33.6200,-18.28,-4.63,3.73,-0.09,-0.19,0.90
33.7020,-19.81,-1.65,5.96,-0.00,-1.67,0.12
33.7840,-10.20,-1.22,3.84,0.26,-1.50,-0.09
33.8660,-0.55,-0.55,0.08,-0.20,-0.16,0.38
33.9480,0.67,2.43,10.90,-0.94,0.68,-0.63
34.0300,-20.01,1.02,16.75,0.44,-0.50,-0.51
34.1120,-17.53,-1.22,4.55,0.34,0.11,1.10
34.1940,-0.39,-4.35,-2.24,1.20,-0.27,0.47
34.2760,-0.98,4.08,0.35,0.03,0.45,-0.85
34.3580,-20.01,-4.43,2.55,-0.27,0.77,-0.58
34.4400,-10.08,0.39,4.71,-0.27,-0.34,0.34
34.5220,-17.93,-2.71,4.94,0.36,-1.39,-0.22
34.6040,-7.06,1.14,-0.59,0.25,-0.87,0.03
34.6860,0.71,0.39,0.31,-0.31,0.07,0.13
34.7680,0.98,1.57,11.38,-1.12,0.93,-0.71
34.8500,-20.01,1.69,10.43,0.57,-0.12,-0.61
34.9320,-19.53,-3.22,4.43,0.32,0.04,1.37
35.0140,-0.94,-3.41,-1.06,0.71,-0.12,0.44
35.0960,-0.24,3.88,-0.94,0.23,0.31,-0.33
35.1780,-3.88,7.37,20.01,-0.16,-0.14,-0.92
35.2600,-14.20,-3.77,3.92,-0.26,0.05,0.62
35.3420,-19.06,-4.20,5.14,0.50,-1.62,0.07
35.4240,-8.43,0.08,2.08,0.03,-0.97,-0.04
35.5060,0.47,-0.39,-0.08,-0.38,0.06,0.15
35.5880,-1.10,2.67,14.04,-0.99,0.89,-0.77
35.6700,-20.01,0.12,14.83,0.57,-0.22,-0.73
35.7520,-20.01,-4.75,4.71,0.21,-0.19,1.52
35.8340,-2.35,-3.22,-0.75,0.70,-0.02,0.48
35.9160,-0.27,5.22,0.51,0.46,-0.04,-0.15
35.9980,-0.12,0.31,7.30,0.30,0.36,-1.03
36.0800,-16.04,-4.04,4.55,-0.20,-0.14,0.71
36.1620,-20.01,-0.71,5.96,0.13,-1.59,0.12
36.2440,-9.14,-1.73,2.75,0.22,-0.82,-0.42
36.3260,0.67,-2.71,0.39,-0.11,-0.06,0.31
36.4080,-0.98,2.39,2.04,-0.69,0.62,-0.36
36.4900,-20.01,-3.14,13.10,-0.78,-0.53,-1.03
36.5720,-10.51,-6.86,3.22,0.31,1.79,-0.50
36.6540,-14.95,-0.51,4.59,0.28,-0.26,0.57
36.7360,-6.24,-2.75,-2.98,0.43,-0.08,0.14
36.8180,-2.28,-2.47,0.00,-0.53,0.02,-0.03
36.9000,-2.98,4.51,12.51,-1.01,-0.36,-0.08
36.9820,-11.18,-5.41,9.10,-0.39,0.64,0.01
37.0640,-12.98,0.63,7.92,-0.10,-1.07,-0.13
37.1460,-5.57,-2.08,3.30,0.08,-0.62,-0.01
37.2280,-5.37,0.04,4.16,-0.05,-0.63,0.02
37.3100,-11.41,-1.61,7.18,0.18,-0.21,0.03
37.3920,-7.49,-0.98,5.26,0.02,0.02,-0.03
37.4740,-8.63,-0.51,5.26,0.18,0.03,-0.07
37.5560,-8.39,-1.22,5.45,0.48,0.18,-0.12
37.6380,-8.94,-0.98,5.37,0.27,0.19,-0.01
37.7200,-8.04,-1.10,4.79,0.18,0.14,-0.03
37.8020,-8.20,-0.94,4.35,0.19,0.04,-0.11
37.8840,-10.08,-1.22,4.71,0.13,0.12,-0.00
37.9660,-9.22,-0.71,4.12,0.16,0.00,-0.07
38.0480,-9.69,-0.78,4.20,0.38,0.09,-0.06
38.1300,-9.30,-1.10,3.73,0.26,0.13,-0.12
38.2120,-9.26,-0.82,4.12,0.20,0.05,-0.08
38.2940,-9.38,-0.86,4.35,0.18,0.02,-0.08
38.3760,-9.38,-1.02,4.28,0.12,0.02,-0.06
38.4580,-9.22,-1.02,4.12,0.11,0.03,-0.05
38.5400,-9.45,-0.82,4.16,0.09,0.01,-0.02
38.6220,-9.45,-1.02,4.20,0.10,0.03,-0.02
38.7040,-9.41,-1.06,4.04,0.06,0.07,-0.02
38.7860,-9.34,-0.75,4.04,0.02,0.05,-0.01
38.8680,-9.41,-0.82,4.24,-0.05,0.06,0.03
38.9500,-9.34,-0.67,4.20,-0.02,0.01,0.02
39.0320,-9.45,-0.90,3.73,0.03,0.03,0.01
39.1140,-9.45,-0.82,3.77,-0.01,-0.01,0.02
39.1960,-9.65,-0.82,3.77,0.00,0.04,0.02
39.2780,-9.53,-0.78,3.69,0.02,0.08,0.00
