NAME:,run1_123_3_1.csv,,,,,
EXPERIMENT TIME:,12/03/2024 16:46:15,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,90,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
7.7900,1.10,0.27,0.31,-0.91,0.57,-0.34
7.8720,-20.01,2.67,11.18,-1.35,0.47,-0.80
7.9540,-17.30,-5.73,4.90,1.06,0.55,0.64
8.0360,-9.53,-4.47,4.08,1.45,0.09,0.44
8.1180,2.31,4.20,-1.02,0.05,-0.06,-0.15
8.2000,-4.04,0.59,7.69,0.05,0.69,-0.83
8.2820,-15.77,-6.28,2.43,-0.32,0.32,0.46
8.3640,-19.02,-0.86,7.10,-0.10,-1.86,0.21
8.4460,-8.28,0.00,2.67,0.11,-0.84,-0.10
8.5280,0.55,-0.43,1.14,-0.13,-0.03,0.21
8.6100,-4.98,6.20,12.83,-1.88,0.46,-0.41
8.6920,-20.01,-1.06,8.94,0.40,1.39,-0.32
8.7740,-15.34,-1.77,4.39,0.42,0.30,1.19
8.8560,0.12,-3.14,-2.55,0.80,-0.27,0.71
8.9380,0.75,3.14,-0.51,0.41,0.47,-0.80
9.0200,-20.01,-10.40,-8.39,-0.33,1.90,-0.04
9.1020,-13.26,1.06,4.20,-1.19,-1.27,-0.01
9.1840,-13.06,-1.73,5.06,0.10,-1.50,-0.23
9.2660,-3.30,-1.26,1.18,0.23,-0.02,0.31
9.3480,1.33,-0.27,0.63,-0.85,0.69,-0.18
9.4300,-20.01,2.51,10.20,-1.53,0.05,-1.16
9.5120,-18.08,-6.86,4.55,1.01,0.76,0.54
9.5940,-10.16,-3.33,1.57,1.26,-0.19,0.70
9.6760,2.43,3.84,-0.75,0.23,-0.07,-0.28
9.7580,-2.12,-0.90,0.12,-0.21,0.77,-0.87
9.8400,-18.75,-2.75,8.94,-0.33,-0.23,1.13
9.9220,-19.57,-0.94,6.79,-0.02,-1.85,-0.03
10.0040,-11.57,-2.82,3.57,0.54,-1.30,-0.23
10.0860,0.12,0.00,-0.35,-0.28,0.06,0.32
10.1680,1.41,0.67,8.36,-0.67,0.86,-0.62
10.2500,-20.01,0.59,16.91,0.30,-0.35,-0.39
10.3320,-17.14,-2.86,4.47,0.31,0.19,1.33
10.4140,-1.88,-3.45,-1.49,1.08,-0.54,0.66
10.4960,0.27,4.82,0.39,0.26,0.14,-0.69
10.5780,-12.75,2.67,16.95,-0.55,0.54,-0.59
10.6600,-13.57,-0.78,5.37,-0.29,-0.39,0.36
10.7420,-18.08,-3.73,5.30,0.49,-1.50,-0.32
10.8240,-6.98,0.43,0.90,-0.22,-0.87,0.01
10.9060,0.24,0.27,0.39,-0.52,0.27,-0.03
