"NAME:","walk_122_4_2.csv"
"EXPERIMENT TIME:","15/03/2024 23:48:43"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","126"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"0.0","0.00","10.1","-0.20","-0.08","0.03","-0.02"
"0.059","-0.24","10.3","-0.24","-0.07","0.03","-0.02"
"0.130","0.08","10.2","-0.43","-0.14","0.04","-0.02"
"0.190","-0.08","10.0","-0.59","-0.07","0.04","0.02"
"0.25","0.16","9.96","-0.67","0.05","0.05","0.03"
"0.690","1.33","8.67","-2.20","-0.31","0.15","0.04"
"1.510","2.16","8.16","3.06","1.63","-0.09","-0.51"
"1.570","-6.83","20.0","4.28","1.50","-0.10","-0.66"
"2.380","6.86","8.47","-1.49","1.42","-0.36","-0.18"
"2.450","-1.88","10.9","4.82","1.15","-0.56","-0.81"
"2.510","-6.39","20.0","-3.06","4.31","1.02","-0.89"
"2.570","4.82","6.20","1.18","-0.46","0.82","0.19"
"2.640","0.78","6.43","-2.55","-0.51","1.40","0.41"
"2.700","-1.49","9.26","-3.53","0.49","1.02","0.53"
"2.760","-0.04","7.73","-5.33","-1.46","1.72","-0.10"
"2.830","-1.49","13.8","-4.59","1.15","1.08","-0.16"
"2.890","-11.1","20.0","7.69","0.10","-0.29","0.71"
"2.950","2.43","10.1","2.51","-0.99","0.06","1.14"
"3.020","-4.12","8.90","-1.77","-0.21","0.25","-0.65"
"3.080","-4.43","6.83","0.12","-0.63","-0.81","-0.59"
"3.140","1.14","5.73","-1.96","-0.04","-1.04","-0.22"
"3.200","-1.26","11.1","-0.39","-0.73","-1.42","-0.41"
"3.270","1.73","7.96","-2.63","-1.63","-1.21","-0.26"
"3.330","11.9","10.5","1.96","1.07","-0.43","-0.21"
"3.390","-5.45","15.4","5.10","0.85","-0.46","-0.92"
"3.460","-2.20","17.5","0.08","1.53","1.42","-0.42"
"3.520","2.04","4.86","-1.14","1.15","1.04","0.03"
"3.580","-1.53","6.51","-0.75","-0.48","0.44","0.56"
"3.640","0.55","8.00","-2.28","-0.43","0.40","0.45"
"3.710","2.20","6.67","-4.98","-0.76","1.07","-0.08"
"3.770","-2.63","12.3","-3.53","1.42","0.09","-0.27"
"3.830","-10.9","13.5","4.86","0.67","-0.61","1.20"
"3.899","4.28","16.8","2.04","0.09","0.08","0.67"
"3.960","-5.30","12.5","0.67","-0.91","-0.17","-0.79"
"4.020","-1.06","5.26","-2.67","-0.42","-1.18","-0.20"
"4.089","1.92","6.35","-1.69","-0.19","-0.91","-0.52"
"4.149","-1.37","9.92","-1.53","-0.91","-1.30","0.04"
"4.210","2.43","8.87","-1.84","-0.28","-0.29","0.16"
"4.279","5.88","10.4","-1.69","0.14","-0.80","-0.43"
"4.339","-2.71","11.5","3.80","1.77","0.14","-1.15"
