NAME:,run_111_4_1.csv,,,,,
EXPERIMENT TIME:,20/03/2024 18:22:51,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,132,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0.07299805,9.94,0.03,-0.59,0.14,0.13,-0.1
0.1459961,8.6,-0.34,-0.84,0.04,-0.03,-0.1
0.21899414,9.4,0.13,-0.73,0.34,0.03,-0.06
0.2919922,9.62,0.05,-0.45,0.31,0.06,-0.06
0.36499023,9.27,-0.18,-0.34,0.37,0.05,-0.05
0.43798828,9.39,0.05,0.42,0.47,0.02,-0.05
0.5109863,9.61,-0.34,0.59,0.44,0.02,-0.03
0.5839844,9.28,-0.75,1.08,0.45,0.06,0.03
0.6569824,9.13,-1.89,1.46,0.59,-0.02,0.1
0.72998047,8.6,-0.84,2.14,0.83,0.09,0.04
0.8029785,8.38,-0.38,0.18,0.92,0.02,0.04
0.87597656,7.79,0.45,0.26,0.77,0,0.1
0.9489746,9.51,0.1,1.02,0.43,-0.15,0.2
1.0219727,8.89,-0.84,1.75,0.4,-0.43,0.26
1.0949707,10.49,-0.25,2.69,0.47,-0.55,0.11
1.1679688,10.92,-0.68,2.31,0.46,-0.97,0.05
1.2409668,12.69,-1.01,3.78,0.27,-1.14,0
1.3139648,9.09,0.6,1.58,0.25,0.26,0.23
1.3869629,7.52,-2.1,-1.54,0.23,0.41,0.18
1.4599609,11.12,-1.31,-0.82,0.14,0.39,-0.08
1.532959,13.52,-2.39,1.44,0.09,0.04,-0.11
1.605957,12.66,-4.52,1.27,0.48,0.04,-0.02
1.6789551,4.37,-1.07,-2.36,1.04,0.64,0.25
1.7519531,1.1,1.23,-2.71,0.46,0.68,0.14
1.8249512,12.13,-1.46,-0.78,0.15,0.32,-0.13
1.8979492,17.54,-2.22,3.77,-0.26,0.24,0.03
1.9709473,11.64,-1.2,3.13,-0.62,-0.09,-0.08
2.0439453,5.13,0.17,-0.92,-0.41,0.23,0.29
2.1169434,-0.31,-1.54,-2.13,0.23,0.22,0.35
2.1899414,9.52,-4.11,-2.43,0.88,0.23,-0.14
2.2629395,15.52,-3.58,3.47,0.49,-0.61,-0.03
2.3359375,13.63,-2.47,2.43,0.81,-0.6,-0.1
2.4089355,10,-4.19,1.76,0.17,-0.2,-0.1
2.4819336,-0.4,-0.01,-3.63,0.33,0.27,0.35
2.5549316,9.49,-1.75,-5.06,0.33,0.38,-0.21
2.6279297,15.47,-2.86,2.42,-0.06,-0.41,0.54
2.7009277,14.82,-2.64,3.76,-0.13,0.22,-0.03
2.7739258,9.76,-1.8,2.83,-0.53,0.17,0.06
2.8469238,-2.8,-0.07,-6.86,0.38,1.05,0.78
2.9199219,8.09,-4.56,-2.28,1.24,0.45,-0.54
2.99292,13.19,-4.31,4.11,0.76,-0.51,0.29
3.065918,13.55,-2.69,1.5,1.13,-0.13,-0.14
3.138916,6.2,-2.28,0.27,0.12,0.15,-0.05
3.211914,-1.58,0.83,-3.19,-0.02,0.81,0.24
3.284912,16.22,-3.14,-0.68,0.18,0.62,-0.52
3.3579102,14.58,-3.34,4.82,-1.13,0.73,0.21
3.4309082,9.24,-2.88,1.95,-1.39,0.61,0.15
3.5039062,1.77,0.6,-3.07,-0.42,0.87,0.87
3.5769043,6.22,-3.94,-3.88,0.41,0.09,-0.2
3.6499023,17.48,-6.56,4.18,-0.86,0.1,-0.2
3.7229004,3.79,-0.03,0.25,-1.74,0.55,0
3.7958984,5.56,-2.5,-3.09,-2.61,0.77,-0.51
3.8688965,3.12,-1.97,-5.11,-3.73,1.12,0.21
3.9418945,17.78,0.9,-0.68,-1.75,0.77,-0.38
4.0148926,7.9,0.87,-3.35,-3.99,-0.44,-0.08
4.0878906,10.04,-2.88,-0.25,-1.65,0.21,-0.92
4.1610107,10.13,-1.14,-3.03,-1,-0.17,-0.26
4.234009,14.45,0.59,0.05,-0.42,0.34,0.17
4.307007,14.23,0.65,0.27,-1.84,0.8,0.01
4.380005,15.77,1.39,0.91,-2.38,1.11,0.09
4.453003,6.67,1.99,-1.86,-2.15,0.93,0.41
4.526001,0.7,-1.57,-5.87,-2.22,0.82,0.41
4.598999,11.5,-7.02,-1.4,-1.22,0.15,-0.28
4.671997,14.25,-4.67,1.36,-0.41,0.46,0.36
4.744995,13.07,-1.95,-0.01,0.7,0.53,-0.01
4.817993,0.93,1.61,-1.92,-0.8,0.37,0.26
4.890991,2.96,-1.9,-5.22,-1.7,1.9,-0.02
4.9639893,17.1,-2.97,-0.42,-1.01,1.29,-0.44
5.0369873,15.98,-3.19,2.43,-1.96,0.82,-0.24
5.1099854,11.11,-2.97,1.88,-1.41,0.72,0.04
5.1829834,0.31,0.38,-3.8,-0.5,0.72,0.83
5.2559814,-0.35,-1.28,-1.28,0,0.56,0.45
5.3289795,14.38,-6.28,-0.3,0.75,0.46,-0.49
5.4019775,16.91,-7.35,3.16,0.12,-0.17,-0.05
5.4749756,11.31,-4.94,2.29,0.46,-0.3,-0.24
5.5479736,3.01,-0.33,-0.68,0.18,0.1,0.1
5.6209717,-0.82,0.33,-3.46,0.11,0.33,-0.12
5.6939697,9.13,-3.98,-4.35,0.03,0.62,-0.71
5.766968,19.84,-4.73,5.57,-0.11,-0.32,-0.18
5.839966,12.33,-5.22,2.75,-1.42,0.15,-0.17
5.912964,7.32,-2.77,1.95,-0.64,0.46,0.19
5.985962,-3.24,0.51,-6.26,-0.03,0.66,0.68
6.05896,3.33,-1.79,-0.83,0.62,-0.17,0.1
