NAME:,walk_125_1_1.csv,,,,,
EXPERIMENT TIME:,12/03/2024 6:00,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS: ,50,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0,9.26,0.71,-0.67,0.08,0.05,0.01
0.060001373,9.26,0.71,-0.71,-0.01,0.04,0.03
0.12000275,9.26,0.67,-0.63,0.06,0.06,-0.01
0.19000244,9.38,0.67,-0.51,0.02,0.04,0
0.25,9.1,0.9,-0.39,0.2,0.05,-0.08
0.31000137,9.34,0.94,-0.59,0.13,-0.05,0
0.37000275,8.59,0,0.55,-0.34,0.03,0.21
0.4300003,10.47,-0.51,-0.75,-0.05,-0.14,0.25
0.5,9.73,-0.08,-0.08,0.14,0.13,-0.08
0.5600014,8.47,0.27,-1.06,0.33,0.11,-0.27
0.62000275,10.16,0.9,-2.51,0.38,-0.29,-0.36
0.6800003,8.28,0.39,-1.88,0.23,0.03,-0.33
0.7400017,9.02,0.9,-2.55,0.32,-0.28,-0.43
0.8100014,9.06,0.47,-1.77,-0.36,-0.28,-0.22
0.87000275,9.73,0.86,-2.16,0.08,-0.17,-0.17
0.9300003,9.22,0.43,-0.67,-0.36,0.43,0.31
0.9900017,7.73,1.06,0.39,1.21,0.68,0.23
1.050003,12.79,2.39,-3.69,1.12,0.69,0.57
1.1200027,9.73,-0.86,1.8,-2.19,0.73,1.09
1.1800003,10.08,-3.77,-0.27,-1.62,0.62,0.57
1.2400017,4.59,-2.55,3.26,1.3,1.06,-0.4
1.300003,6.04,0.43,1.37,2.16,-0.13,-0.49
1.3600006,8.36,0.31,0.55,-1.14,-0.81,0.3
1.4300003,12.51,-3.69,-0.31,-1.87,-0.76,0.83
1.4900017,8.08,-3.8,1.77,0.85,0.69,0.05
1.550003,19.14,-2.39,-4.47,1.71,-1.53,0.19
1.6100006,-6.71,6.59,6.51,2.47,2.13,-0.42
1.670002,12.47,2.75,-3.02,-1.24,-0.91,-0.64
1.7400017,7.88,0.63,0.47,-1,0.71,-0.67
1.800003,8,1.73,-0.47,0.47,-0.67,-0.87
1.8600006,7.85,0.9,-1.65,-0.37,-0.57,0.14
1.920002,8.08,-1.53,-1.53,-2.32,-0.59,0.2
1.9800034,10.08,-2.35,-2,-0.44,0,0.01
2.050003,8.2,0.35,-1.45,2.48,0.31,-1.05
2.1100006,7.02,2.55,-2.55,1.42,0.48,-0.92
2.170002,8.71,1.33,-3.06,-1.51,-0.6,0.03
2.2300034,10.83,-1.22,-2.51,-1.93,0.07,0.02
2.290001,10.79,-0.71,-3.37,0.98,-0.75,0.24
2.3600006,11.14,4.24,-4.2,3.59,-0.11,-0.35
2.420002,9.81,8.08,-1.57,3.48,2.33,-0.66
2.4800034,8.2,4.16,1.06,-2.12,-0.19,1.92
2.540001,10.75,-2.82,-5.77,-4.29,-0.55,2.74
2.6000023,4.86,-2.39,4,1.18,2.31,0.51
2.670002,6.63,0.04,0.75,3.02,-0.2,-0.69
2.7300034,6.28,-0.82,0.47,-1.2,0.33,0.31
2.790001,5.92,-2.67,0.75,-2.49,-0.95,0.9
2.8500023,14.55,-4.63,-2.63,1.27,-0.95,-0.26
2.9099998,11.77,-1.29,9.77,-0.5,1.14,0.86
