"NAME:","run_122_4_1.csv"
"EXPERIMENT TIME:","15/03/2024 23:42:12"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","164"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"0.0","-1.06","-10.5","-1.77","0.48","0.29","0.18"
"0.060","-2.24","-12.5","-4.04","0.20","0.19","0.20"
"0.119","-2.86","-9.49","-2.55","0.74","0.64","0.13"
"0.189","3.53","-6.67","3.69","0.31","0.26","-0.18"
"0.25","1.73","-10.7","1.92","0.64","0.76","-0.24"
"0.310","-1.65","-16.2","-1.41","0.30","0.49","-1.29"
"0.380","-3.18","-17.8","-2.79","-0.07","-0.08","-1.49"
"0.439","-0.43","-6.24","-2.24","-0.52","-0.22","-1.13"
"0.5","-0.98","2.04","0.31","-0.34","0.12","0.23"
"0.560","3.65","4.28","-3.37","-0.29","-0.23","1.09"
"0.630","18.0","-20.0","-5.26","-4.59","-1.52","-0.55"
"0.689","-8.20","-19.6","-4.90","0.76","0.07","0.49"
"0.75","4.24","-17.5","-7.26","0.70","0.47","2.01"
"0.819","-0.63","-2.47","-3.73","1.30","1.38","1.69"
"0.880","1.84","4.98","0.31","-0.66","0.02","-1.14"
"0.939","5.14","-16.1","2.59","-0.77","1.68","1.11"
"1.009","-6.75","-16.7","3.14","1.33","-0.37","0.43"
"1.069","5.69","-17.7","-5.45","0.36","-0.69","-1.05"
"1.130","-5.14","-12.0","-2.28","0.12","-0.35","-1.35"
"1.189","1.65","2.20","-0.27","0.29","-0.75","-1.17"
"2.450","-8.94","-14.4","2.63","1.23","-0.15","-0.67"
"2.509","1.77","-18.4","-6.16","0.99","0.02","-1.14"
"3.389","-4.31","8.24","1.06","0.15","-0.60","0.49"
"3.450","1.57","-0.31","-4.16","-1.32","-1.16","1.13"
"3.509","14.4","-20.0","-8.00","-3.84","-3.15","-0.14"
"3.580","-6.24","-19.3","-4.00","1.32","0.35","0.24"
"3.639","2.20","-13.1","-3.06","1.47","0.82","1.77"
"3.700","0.51","3.06","0.04","2.52","1.14","0.17"
"3.760","0.12","5.06","0.55","-0.90","0.45","-1.01"
"3.830","-7.41","-11.0","20.0","-0.36","0.76","1.11"
"4.010","-4.20","-8.04","-0.27","0.29","0.22","-1.98"
"4.080","-0.75","-1.06","-1.73","-0.26","-0.14","-1.27"
"4.139","-6.67","9.49","-0.04","0.37","-1.41","1.06"
"4.199","11.0","-5.37","4.28","-2.54","-0.80","0.86"
"4.269","8.43","-11.6","-8.20","-0.88","-0.64","-1.06"
"4.330","-7.69","-20.0","-4.75","-1.02","1.43","1.68"
"4.389","2.24","-1.26","-2.24","2.41","0.89","1.41"
"4.449","0.55","12.9","-0.86","0.07","0.68","-1.25"
"4.519","1.33","-3.33","-2.82","-2.16","1.56","0.25"
"4.580","1.65","-20.0","-5.14","-1.29","1.45","1.62"
"4.639","2.47","-18.8","-4.86","1.46","-1.30","-0.95"
"4.709","-1.18","-12.7","-3.77","0.50","-0.24","-1.39"
"4.769","-0.94","-3.30","-0.31","0.27","-0.94","-1.77"
"4.830","-2.43","9.30","0.63","1.07","-1.19","0.61"
"5.019","-9.06","-20.0","-12.3","-0.66","0.34","0.71"
"5.080","2.51","-4.55","-6.55","1.14","0.79","1.56"
"5.150","0.00","12.7","0.27","0.81","-0.01","-0.74"
"5.209","5.06","1.61","0.59","-1.64","0.33","-0.33"
"5.269","20.0","-20.0","-5.69","0.10","1.83","1.50"
"5.330","-3.73","-14.1","0.59","1.30","-0.18","-0.64"
"5.400","-2.16","-20.0","-8.12","0.78","0.43","-1.65"
"5.459","-5.02","-2.75","1.77","0.59","-0.97","-1.88"
"5.519","-0.39","5.61","0.31","0.07","-0.24","0.06"
"5.589","-2.90","5.41","-2.71","-0.66","-0.85","1.60"
"5.650","6.79","-20.0","5.53","-3.64","-3.31","0.33"
"5.709","-6.90","-20.0","-4.04","1.37","0.08","-0.06"
"5.769","1.65","-12.0","-4.67","1.76","0.80","1.57"
"5.839","-1.10","4.59","-0.43","2.65","0.36","0.68"
"5.959","-0.78","-6.51","-3.65","-0.71","1.54","1.04"
"6.029","-10.9","-20.0","-1.84","1.84","1.13","1.13"
"6.089","8.98","-19.3","-7.65","0.60","-0.85","-1.30"
"6.150","-7.22","-9.89","-0.35","0.37","0.56","-1.84"
"6.220","2.71","-1.33","1.22","0.09","-0.48","-1.56"
"6.279","-5.14","7.73","-1.22","1.30","-0.99","0.70"
"6.339","7.02","-0.12","2.82","-2.45","-0.50","1.47"
"6.400","8.79","-12.8","-0.39","-0.88","0.25","-0.90"
"6.470","-7.02","-19.8","-6.83","-1.48","0.48","1.03"
"6.529","4.08","-3.69","-2.67","1.36","1.16","1.67"
"6.589","1.33","10.6","-0.31","0.96","0.43","-0.74"
"6.660","1.18","0.75","-3.57","-1.78","0.43","-0.62"
"6.720","3.06","-19.1","-2.28","-0.18","1.35","1.33"
"6.779","5.37","-19.2","-3.45","1.31","-1.14","-0.72"
"6.839","-5.22","-13.0","-5.37","0.66","0.20","-1.12"
"6.910","1.57","-2.04","2.16","0.62","-0.73","-1.59"
"6.970","-4.31","9.92","0.71","0.99","-0.84","-0.04"
"7.029","6.20","0.39","0.47","-2.51","-0.58","1.87"
"7.099","20.0","-15.4","-5.57","-2.58","0.33","-0.57"
"7.160","-8.20","-20.0","-9.57","-0.52","0.19","0.43"
"7.220","4.24","-6.47","-4.90","1.20","1.33","1.49"
"7.279","-3.61","11.9","3.30","1.53","0.67","-0.19"
"7.349","2.86","1.88","-3.57","-1.65","0.57","-0.38"
"7.410","0.08","-20.0","-16.1","-3.85","1.06","1.28"
"7.470","-5.81","-12.0","-3.30","1.80","-1.58","-0.53"
"7.540","1.14","-14.7","-6.00","0.81","-0.73","-0.99"
"7.599","2.86","-1.65","2.86","0.92","-0.46","-1.38"
"7.660","-10.1","10.7","1.84","0.26","0.25","0.03"
"7.730","-5.61","-3.96","3.73","-2.33","-1.35","1.77"
"7.790","9.49","-8.24","-1.37","0.40","1.17","-0.55"
"7.849","-6.32","-20.0","-9.73","-0.71","0.47","0.41"
"7.910","2.94","-6.00","-5.18","1.61","1.20","0.88"
"7.980","-2.31","13.0","1.96","0.95","0.03","-0.35"
"8.040","-1.77","-3.84","7.77","-1.26","-0.32","-0.08"
"8.099","-5.22","-20.0","-0.51","0.46","0.87","0.91"
"8.169","6.00","-16.5","-3.92","1.44","-1.61","-0.89"
"8.230","-0.16","-15.3","-5.96","0.55","0.26","-1.76"
"8.290","0.71","0.78","0.75","0.48","-0.64","-1.52"
"8.349","-8.20","9.45","-0.59","0.52","-0.98","0.56"
"8.419","-1.10","-11.5","5.22","-3.18","-0.61","1.98"
"8.480","8.04","-16.3","0.31","0.56","0.96","-0.58"
"8.540","-6.08","-20.0","-9.57","-0.69","1.10","1.11"
"8.610","3.80","-6.16","-4.67","1.82","1.49","1.54"
"9.860","20.0","-20.0","-15.3","-4.01","-1.51","0.18"
"9.919","-5.14","-15.4","-3.88","1.09","-0.38","-0.04"
"9.980","2.47","-10.0","-3.69","1.27","2.11","1.88"
"10.04","-2.39","3.96","-1.53","1.96","1.73","0.59"
"10.86","-1.84","-11.3","12.7","-0.52","0.23","0.80"
"10.91","-7.37","-14.0","1.57","1.14","-1.33","-0.38"
"10.98","4.67","-13.7","-6.04","0.59","-1.40","-1.12"
"11.05","-0.39","-7.57","-0.71","0.54","-0.17","-1.66"
