NAME:,run_125_2_1.csv,,,,,
EXPERIMENT TIME:,12/03/2024 6:07,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS: ,200,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0,9.65,-1.02,0.9,0.15,-0.02,-0.05
0.05999756,9.69,-1.22,0.9,-0.04,-0.01,0
0.11999512,9.26,-0.75,0.75,0.36,-0.06,-0.05
0.19000244,9.49,-0.63,0.31,0.11,-0.15,-0.05
0.25,8.98,-1.33,0.08,-0.33,-0.13,-0.08
0.30999756,10.36,-2.16,-0.12,-0.3,-0.22,-0.2
0.36999512,9.38,-1.49,0.31,0.44,0,-0.15
0.44000244,9.34,-1.02,0.08,-0.05,-0.17,-0.03
0.5,9.1,-2.59,-0.12,-0.87,-0.2,-0.01
0.55999756,9.1,-3.26,0.08,-0.49,-0.05,-0.1
0.6199951,9.38,-2.16,-0.2,1,-0.36,-0.25
0.6799927,9.3,-0.75,-0.78,0.82,0.05,-0.37
0.73999023,9.1,-1.18,-0.82,-0.36,0.01,-0.31
0.80999756,9.89,-2.12,-1.1,-0.73,0.12,-0.46
0.8699951,9.77,-2.2,-0.86,-0.66,0.02,-0.63
0.9299927,11.3,-2.31,-2.28,-1.01,0.05,-0.51
0.98999023,11.61,-3.06,1.02,-0.02,0.08,0.55
1.0499878,13.02,1.26,-3.53,5.38,-1.82,0.69
1.1199951,16.79,5.18,-2.43,3.89,1.95,-0.35
1.1799927,8.39,-1.14,-5.61,-2.14,0.86,0.51
1.2399902,7.18,-2.35,0.55,-2.05,0.5,1.38
1.2999878,6.16,-2.79,1.18,1.33,1.94,0.84
1.3699951,3.33,-1.22,1.1,2.15,1.35,0.56
1.4299927,5.92,-1.26,4.04,1.06,-0.88,0.36
1.4899902,10.28,-1.49,0.71,-0.3,-0.75,-0.21
1.5499878,15.85,-3.84,3.69,0.58,-0.8,0.01
1.6099854,20.01,-0.27,6.55,1.75,0.83,1.23
1.6799927,2.04,3.41,5.26,1.24,2.66,-1.14
1.7399902,7.1,0.71,0.67,1.8,0.16,0.48
1.7999878,12.67,2.51,-1.73,-3.24,-3.49,-0.97
1.8599854,5.14,-2,-0.67,-5.44,-0.36,0.47
1.9199829,6.9,-3.57,-0.59,-5.04,-0.35,-0.34
1.9799805,10.75,-4.39,-1.02,0.17,0.73,-0.08
2.0499878,6.71,-2.16,0,1.44,0.2,-0.8
2.1099854,9.3,-1.29,0.39,0.33,-0.45,-0.72
2.169983,11.41,-4.12,-1.1,-0.78,-0.32,-0.53
2.2299805,9.45,-3.26,1.26,-2.78,0.16,0.51
2.2999878,14.47,-2.82,-3.73,3.73,-2.78,0.83
2.3599854,20.01,5.65,-4.9,9.28,-0.57,-1.13
2.419983,5.84,2.31,-0.2,3.1,4.63,-2.95
2.4799805,4.47,0.67,0.2,-2.34,-0.68,-0.91
2.5400085,7.22,-1.22,0.75,-1.23,-0.02,1.26
2.6099854,2.12,-2.2,2.63,-0.87,2.7,0.83
2.669983,4.98,-2.43,3.41,-1.06,-1.91,1.22
2.7299805,20.01,-5.57,6.2,1.94,-2.23,-0.03
2.7900085,3.88,-1.1,10.55,-0.76,4.75,0.97
2.850006,13.34,2.28,0.31,0.59,-3.83,2.01
2.919983,5.57,-0.55,-0.27,2.72,3.65,-1.94
2.9799805,4.67,0.94,-0.39,-2.16,-1.79,-0.8
3.0400085,12.43,1.69,-0.51,-2.24,-4.96,-0.02
3.100006,5.49,-2.31,0.12,-3.71,1.14,-0.12
3.1600037,10.59,-5.33,1.26,-2.65,0.16,0.13
3.2299805,6.2,-2.43,1.49,0.64,0.44,-0.65
3.2900085,10.55,-2.43,-1.41,1,-1.19,-0.49
3.350006,10.59,-1.69,-2.94,-1.23,0.5,-0.78
3.4100037,10.83,-2.75,3.26,-0.84,-1.47,1.27
3.4700012,20.01,0,-5.06,6.04,-2.51,0.59
3.5400085,13.89,4.43,-5.37,5.04,2.72,-1.31
3.600006,2.24,-0.35,1.26,-1.41,1.64,-0.9
3.6600037,4.47,-0.39,1.49,-3.13,-0.86,0.25
3.7200012,7.22,-3.06,-0.12,0.42,1.27,0.68
3.7799988,2.2,-2.12,3.8,0.13,1.81,0.4
3.850006,8.71,-2.43,0.86,-0.49,-2.37,0.95
