NAME:,walk_111_4_1.csv,,,,,
EXPERIMENT TIME:,20/03/2024 18:31:08,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,82,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0.07299805,9.83,-3.18,-1.71,-0.84,0.22,0.88
0.1459961,8.96,-3.76,-0.75,-0.35,-0.12,0.25
0.21899414,8.98,-3.86,-1.58,0.19,-0.29,-0.14
0.29223633,9.4,-3.07,-1.75,0.26,-0.24,-0.33
0.36523438,8.74,-2.75,-1.79,0.22,-0.09,-0.29
0.43823242,9.09,-3.07,-1.77,0.07,-0.01,-0.07
0.51123047,9.02,-3.48,-1.53,0.06,-0.02,0.02
0.5842285,10.24,-2.62,-1.82,0.18,-0.03,-0.27
0.65722656,9.17,-4.06,-0.36,0.13,0.33,-0.14
0.7302246,9.39,-3.35,-1.88,0.46,0.27,-0.31
0.80322266,10.48,-2.79,-2.86,0.54,-0.19,-0.57
0.8762207,7.81,-1.78,-3.3,0.31,0.25,-0.38
0.94921875,8.85,-0.69,-2.65,0.15,-0.07,-0.23
1.0222168,10.09,-2.2,-1.7,0.4,-0.48,-0.13
1.0952148,7.94,-1.99,-1.88,0.27,-0.22,0.09
1.1682129,8.12,-1.43,-1.84,0.72,-0.49,-0.11
1.2412109,9.01,-1.01,-1.43,0.87,-0.45,-0.16
1.314209,9.66,-0.78,-1.07,0.86,-0.32,-0.12
1.387207,10.66,-0.1,-1.11,0.64,-0.12,-0.21
1.4602051,13.42,-1.8,-1.16,0.42,0.02,-0.16
1.5332031,11.55,-2.43,-6.87,0.13,-0.25,-0.4
1.6062012,7.77,-2.38,-4.59,-0.19,0.62,0
1.6791992,9.04,-0.15,-3.9,0.27,-0.06,-0.44
1.7521973,5.87,-0.53,-2.75,-0.64,0.58,0
1.8251953,6.8,-1.67,-1.92,-0.93,0.33,0.28
1.8981934,9.52,-1.65,-0.71,-0.74,0.34,0.18
1.9711914,11.05,-1.63,-1.01,-0.43,0.39,-0.23
2.0441895,12.93,-2.62,-2,-0.36,0.58,0.02
2.1171875,10.31,0.59,-7.75,-0.18,-0.42,-0.03
2.1901855,11.5,0.5,-3.85,-0.23,-0.07,-0.18
2.2631836,6.11,-0.71,-2.39,-0.64,0.17,0.29
2.3361816,4.71,-0.54,-1.29,-0.12,0.02,0.38
2.4091797,7.51,0.23,-1.21,0.41,-0.1,-0.01
2.4821777,7.43,0.6,-0.26,0.51,0.22,0
2.5551758,8.99,0.76,-0.14,0.37,0.05,0.18
2.6281738,10.26,1.84,-0.33,0.64,-0.01,-0.38
2.7011719,13.6,-2.21,-13.6,0.15,-0.81,-0.76
2.77417,15.4,-6.28,-4.64,-1.5,0.34,0.21
2.847168,8.83,-0.94,-4.41,-0.49,-0.15,0
2.920166,7.22,-0.46,-2.23,-0.35,-0.1,-0.02
2.993164,7.03,0.2,-1.9,-0.55,-0.25,-0.15
3.066162,7.96,-0.63,0.14,-1.03,0.72,-0.05
3.1391602,10.29,-2.65,0.56,-0.83,0.69,-0.01
3.2121582,13.44,-3.86,-7.4,0.31,-0.45,0.5
3.2851562,12.31,0.29,-6.82,0.59,0.28,0.17
3.3581543,9.09,-1.67,-4.59,1.08,0.07,-0.47
3.4311523,5.19,-1.49,-2.33,0.76,-0.18,0.34
3.5041504,6.04,-0.63,-3.2,1.21,-0.6,0.16
3.5771484,8.23,0.07,-2.35,1.36,-0.2,-0.37
3.6501465,9.62,-1.29,-1.72,1.21,0.03,-0.22
3.7231445,13.52,-1.19,-1.43,1.59,0.32,-0.35
3.7961426,12.33,-4.04,-8.87,1.51,-0.92,-0.5
3.8691406,8.11,-5.15,-4.65,0.21,0.18,0.11
3.9421387,8.64,-2.07,-3.73,1.06,-0.68,-0.36
4.0151367,5.9,-0.86,-3.96,0.88,-0.21,-0.53
4.088135,7.75,-1.61,-2.05,0.23,-0.04,-0.15
4.161133,8.79,-2.21,-0.85,-0.16,0.38,-0.12
4.234131,8.98,-2.9,-1.24,-0.2,0.68,-0.2
4.307129,12.21,-4.8,-2.82,0.48,0.49,-0.5
4.380127,11.62,-1.84,-7.4,0.7,-0.69,0.36
4.453125,10.47,-2.98,-4.56,1.46,-0.08,-0.22
4.526123,7.24,-1.65,-4,1.88,-0.34,-0.29
