NAME:,run_121_1_1.csv,,,,,
EXPERIMENT TIME:,18/03/2024 16:53,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,132,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0.064129,1.22,-8.32,3.73,0,-0.03,0.04
0.14498,1.22,-8.32,3.73,0,-0.02,0.01
0.257435,1.18,-8.32,3.8,-0.01,0,0
0.358258,1.18,-8.28,3.61,-0.01,0.01,-0.01
0.447485,1.02,-8.36,3.61,-0.02,0.01,0
0.575058,1.06,-8.43,3.73,-0.02,0,-0.02
0.668114,1.1,-8.32,3.77,-0.02,-0.01,-0.02
0.774462,1.18,-8.36,3.69,-0.03,-0.03,-0.02
0.866529,1.1,-8.39,3.8,-0.03,-0.05,-0.02
0.977536,0.94,-8.32,3.77,-0.02,-0.05,-0.01
1.057329,0.9,-8.32,3.73,-0.02,-0.1,0
1.179751,0.98,-8.16,3.3,-0.04,-0.16,-0.02
1.25988,1.45,-8.2,3.61,-0.07,-0.31,-0.01
1.395493,1.14,-7.73,4.43,0.05,-0.6,-0.02
1.466852,1.96,-8.04,4.67,0.28,-0.86,-0.1
1.581507,1.73,-7.73,4.79,0.41,-0.91,-0.04
1.687263,3.1,-7.81,5.3,0.57,-1.18,0.14
1.793155,3.1,-8.47,7.02,0.37,-0.88,0.12
1.892203,1.02,-5.81,5.73,-0.12,-0.56,0.18
1.993476,2.51,-2.51,-0.51,-0.01,-0.03,0.69
2.091293,4.82,-13.34,3.3,0.31,0.13,-0.07
2.184734,0.94,-15.49,6.79,0.61,0.67,1.87
2.282192,-1.84,0.47,2.47,0.06,-0.46,0.09
2.40243,-0.12,0.82,-3.18,-0.28,0.03,0.06
2.542291,9.38,-20.01,13.34,0.31,-0.15,-1.19
2.601457,-1.14,-13.34,7.85,0.66,0.31,-0.2
2.694251,-1.53,1.61,-2,-0.24,0.35,-0.14
2.808134,-0.08,0,1.49,-0.28,-0.11,0.51
2.907503,2,-20.01,8.9,0.37,0.35,1.54
3.001164,1.02,-6.32,11.18,-0.66,2,-0.83
3.122657,-0.75,1.73,-1.8,0.02,-0.45,0.01
3.223605,2.12,-1.65,-3.22,-0.34,-0.44,-0.42
3.319459,-0.9,-16.51,20.01,-0.71,0.13,-0.38
3.411817,-0.08,-7.22,0.67,0.06,-0.07,-0.12
3.51106,-0.47,2.12,-2.59,-0.71,0.77,0.26
3.612646,1.69,-2.94,0.35,0.09,0.02,0.31
3.725921,0.27,-20.01,10.43,-0.19,0.33,2.09
3.81294,0.47,-6.67,7.37,-0.1,1.03,-0.31
3.955428,-1.14,1.41,-1.06,-0.54,-0.73,-0.14
4.02592,1.8,-1.53,-2.12,0.12,-0.02,-0.49
4.133751,-2.16,-19.34,20.01,-0.83,0.61,-0.67
4.223407,1.1,-8.83,1.41,-0.1,0.32,-0.46
4.334239,-0.75,2.2,-1.53,-0.64,1.33,-0.29
4.436646,1.69,0,-1.1,0.1,0.52,-0.04
4.537939,-0.27,-20.01,8.87,0.85,0.03,1.89
4.651549,-4.63,-4.04,9.73,-0.48,0.97,-0.52
4.729877,0.67,1.37,-1.96,-0.73,-0.89,-0.11
4.835399,0.67,0.27,-1.37,0.03,-0.27,0.02
4.950948,4.94,-20.01,11.96,4.4,-0.57,0.88
5.043114,-1.02,-8.32,5.81,-0.84,-0.65,-0.08
5.154695,-2.63,1.84,0.2,-0.38,1.28,0.35
5.265028,0.59,-0.27,-0.67,-0.69,1.05,-0.07
5.33998,2.08,-20.01,12.67,1.8,-1.35,1.23
5.454616,-2.79,-7.22,9.3,-1.21,1.25,-0.17
5.568758,-0.43,1.14,0.16,0,-0.22,-0.12
