NAME:,run_124_3_1,,,,,
EXPERIMENT TIME:,20/03/2024 10:48,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,161,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
15.809998,15.53,7.88,0.16,-1.08,1.49,1.22
15.910004,8.04,14.75,-0.2,1.25,-0.28,-2.43
16.009995,-3.73,-5.49,-2.12,0.22,-1.47,-1.88
16.110001,4.31,4.28,-2.08,-2.63,-2.01,-0.39
16.220001,12.59,15.1,-6.94,-1.37,-0.84,2.8
16.319992,6.71,7.57,2.98,2.5,-2.77,0.01
16.419998,5.77,-2,1.65,0.7,0.34,-0.61
16.520004,4.47,5.57,-0.47,-0.44,0.39,-1.29
16.630005,10.24,12.2,6.51,-0.22,0.67,-0.66
16.729996,0.31,4.12,-1.45,0.48,0.06,-0.21
16.830002,9.77,1.96,-11.92,-0.5,1.81,-0.5
16.929993,9.26,12.43,2.39,1.07,-1.94,-0.55
17.029999,6.12,4.86,-3.18,3.11,1.86,0.53
17.130005,1.57,0.31,-2.35,0.05,-1,-0.02
17.240005,2.47,-0.63,2.51,-1.93,0.7,-0.15
17.339996,16,16.16,-3.69,-0.99,0.75,-0.33
17.440002,10.59,10.79,3.92,-0.6,0.15,-0.42
17.539993,-3.45,-6.51,-8.39,-0.22,0.49,-1.26
17.649994,1.41,3.69,-3.96,0.24,1.39,-0.43
17.75,5.37,17.61,-0.59,-1.8,-2.43,-3.07
17.849991,7.3,8.47,-2.04,2.81,-0.61,-0.41
17.949997,0.31,-0.12,-4.28,0.17,0.88,0.51
18.050003,6.35,9.77,-6.98,-1.77,1.9,-0.12
18.160004,15.81,14.91,6.32,-1.12,1.21,0.87
18.559998,12.63,19.46,2.24,-1.13,-2.19,1.79
20.699997,-1.53,-6.79,-1.41,-2.35,-0.05,0.41
21.419998,2.24,2.31,-1.8,-0.07,-0.46,-1.45
21.520004,-0.39,-7.92,2.63,-1.63,0.45,-0.46
21.619995,7.65,18.55,-4.47,2.93,-2.03,0.09
21.720001,6.47,13.34,0.78,1.14,-0.96,0.72
21.830002,16.79,2.94,-5.77,2.5,1.1,0.97
21.929993,0.31,-2.47,-6.94,-0.68,-0.62,0.08
22.029999,9.26,20.01,-3.96,-1.13,0.75,0.75
22.130005,6.71,15.89,2.94,-0.41,0.35,-0.32
22.240005,1.37,2.82,-1.02,-0.1,-0.24,-0.76
