NAME:,walk_111_3_1.csv,,,,,
EXPERIMENT TIME:,20/03/2024 18:32:55,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,106,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0.07299805,9.66,-2.31,-2.91,-0.11,0.13,-0.15
0.1459961,9.24,-1.44,-2.56,-0.11,0.2,-0.13
0.21899414,8.9,-1.18,-2.65,0.09,-0.04,-0.22
0.2919922,9.68,-0.82,-2.18,0.09,-0.01,-0.15
0.36499023,9.55,-0.08,-2.05,0.3,-0.05,-0.28
0.43798828,9.34,-0.1,-1.85,0.21,-0.11,-0.21
0.5109863,8.92,-0.69,-1.69,0.04,-0.06,-0.07
0.5839844,9.26,-0.65,-1.4,0.24,-0.19,-0.08
0.6569824,8.94,-0.19,-1.52,0.39,-0.27,-0.08
0.72998047,8.57,0.12,-2.28,0.51,-0.44,-0.06
0.8029785,10.37,0.27,-0.74,0.39,-0.5,0.13
0.87597656,12.6,0.18,0.19,0.68,-0.1,-0.05
0.9489746,13.77,-0.03,-3.45,1.28,-0.07,-0.51
1.0219727,9.47,-0.58,-6.36,0.21,0.12,-0.36
1.0949707,8.27,-1.96,-4.28,-0.31,0.32,0.23
1.1679688,8.5,0.01,-3.9,-0.35,0.12,-0.13
1.2409668,5.67,0.3,-2.8,-0.9,0.39,0.15
1.3139648,7.79,-0.58,-3.25,-0.93,-0.13,0.17
1.3869629,9.21,-0.75,-2.45,-0.96,0.05,0.24
1.4599609,10.36,-0.31,-1.97,-0.66,0.25,-0.14
1.532959,12.38,-1.99,0.19,-0.73,0.86,0.26
1.6062012,12.36,-1.64,-6.45,0.11,-0.13,-0.11
1.6791992,10.36,1.79,-5.04,0.08,0.39,0.04
1.7521973,8.39,0.37,-3.67,0.21,-0.06,-0.21
1.8251953,5.86,-0.78,-2.6,-0.2,-0.05,-0.05
1.8981934,6.05,-0.33,-2.73,0.13,-0.2,0.1
1.9711914,9.26,0.65,-2.52,0.53,-0.52,-0.31
2.0441895,9.62,0.97,-0.75,0.79,-0.03,-0.11
2.1171875,12.83,-0.27,-0.63,0.86,0.59,0.48
2.1901855,12.28,-1.37,-7.9,1.73,-0.05,-0.09
2.2631836,11.91,-2.46,-5.05,0.19,0.41,-0.11
2.3361816,8.3,-2.45,-4.08,0.24,-0.17,-0.21
2.4091797,5.74,-0.67,-2.78,0.09,-0.39,-0.32
2.4821777,5.42,-0.53,-2.53,-0.04,-0.47,-0.06
2.5551758,8.91,-0.8,-2.45,-0.24,-0.38,-0.15
2.6281738,11.09,-1.35,-1.54,-0.45,0.34,-0.41
2.7011719,10.61,-1.49,-0.76,-0.32,0.84,-0.41
2.77417,11,-3.21,-3.16,0.03,1.37,0.1
2.847168,12.57,-1.44,-6.12,0.32,-0.05,0.51
2.920166,11.57,-0.1,-4.07,1.63,-0.29,-0.39
2.993164,6.67,-0.65,-3.59,1.37,-0.17,-0.21
3.066162,5,-0.48,-1.93,1.23,-0.38,0.08
3.1391602,8.13,0.79,-3.17,1.23,-0.5,-0.17
3.2121582,9.72,0.1,-1.39,0.58,0.56,0.23
3.2851562,11.38,-0.67,-0.29,0.85,0.48,0.35
3.3581543,12.91,-1.73,-4.47,2.01,-0.27,-0.6
3.4311523,10.97,-2.34,-5.82,0.44,-0.02,-0.09
3.5041504,9.84,-2.86,-3.88,0.55,-0.4,0.05
3.5771484,6.83,-0.25,-2.84,0.73,-0.39,-0.51
3.6501465,5.6,-0.62,-2,0.1,-0.09,0.03
3.7231445,8.7,-1.29,-1.52,-0.19,-0.21,0.03
3.7961426,11.21,-1.07,-0.65,-0.06,0.45,-0.35
