NAME:,walk_121_4_1.csv,,,,,
EXPERIMENT TIME:,18/03/2024 16:48,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,110,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
9.806336,5.26,-7.37,0.08,-0.96,1.06,-0.39
9.915918,0.98,-12.51,1.14,-0.91,1.72,0.49
9.999551,2.04,-3.88,1.73,-0.2,1.66,-0.21
10.10691,-3.84,-6.83,0.78,-0.01,0.09,-0.4
10.234405,1.1,-9.92,9.53,-0.67,-0.5,-0.09
10.339998,1.1,-11.26,8.55,1.3,0.81,0.36
10.417941,6.32,-13.69,0.24,-0.73,-0.96,-0.64
10.525281,-3.1,-4.43,4.82,1.52,-1.96,0.22
10.649405,1.65,-3.41,1.06,0.76,-1.29,0.33
10.727649,1.29,-8.9,11.06,-1.14,0.54,0.45
10.826089,3.14,-10.36,10.04,1.36,-2.12,0.14
10.935975,4.47,-8.12,2.2,0.15,1.26,0.21
11.07495,0.43,-6.2,2.28,-0.56,0.52,0.67
11.154736,1.53,-2.75,4.24,0.22,1.11,-0.23
11.255426,-3.88,-6.75,3.26,-0.28,-0.24,-0.44
11.325592,-0.51,-12.79,7.1,0.12,0.09,0.18
11.456532,-1.53,-6.75,-1.45,1.2,0.73,-0.58
11.56277,5.26,-8.59,2.71,-0.98,-0.46,-0.84
11.670766,-1.8,-3.06,1.77,1.45,-2.29,0.54
11.748931,3.57,-3.1,2.63,-0.34,-0.43,0.24
11.858362,0.75,-11.69,13.93,0.54,-0.26,0.38
11.941955,5.88,-11.1,-0.2,0.03,0.29,-0.36
12.050238,1.96,-14.91,1.77,-1.8,2.89,0.29
12.127714,2.24,-4.55,0.82,-0.78,0.58,0.01
12.255898,-1.8,-4.43,3.88,-0.04,0.64,-0.33
12.376719,-3.22,-7.92,6.47,-0.45,-0.36,-0.35
12.456236,1.84,-12.47,10.87,-0.01,0.08,0.45
12.562726,6,-14.75,0.35,-0.08,-0.52,-1.21
12.646893,-0.78,-5.1,7.34,0.19,-0.87,0.02
12.77969,-0.08,-3.88,-1.73,0.83,-2.13,0.66
12.885919,3.18,-4.75,4.67,-1.06,0.12,0.6
13.000657,4.75,-13.81,9.02,0.51,-1.65,-0.05
13.089658,4.63,-5.06,-2.28,-0.74,1.36,-0.05
13.201939,0.98,-10,1.37,-1.3,1.25,0.66
13.313095,1.96,-3.49,2.59,-0.06,1.69,-0.11
13.402278,-2.63,-6.39,1.37,-0.09,0.04,-0.35
13.519494,-0.75,-10.75,7.61,0.02,-0.1,-0.06
13.598306,-0.59,-11.3,6.43,1.83,1.55,-0.05
13.721763,6.32,-13.53,0.94,-0.59,-0.62,-0.62
13.816884,-1.84,-3.57,2.31,1.4,-1.73,0.04
13.918546,2.94,-3.26,0.67,0.33,-0.79,0.31
14.003724,0.12,-9.14,10.9,-0.71,0.3,0.54
14.124769,6.12,-9.18,5.33,1.81,-1.49,-0.11
14.205191,3.77,-9.77,1.45,0.13,1.23,0.36
14.328588,0.59,-5.57,2.31,-0.46,0.61,0.46
14.406064,0.55,-3.1,3.1,0.33,0.83,-0.23
14.523628,-3.49,-7.53,4.31,-0.31,-0.5,-0.31
14.608951,-0.31,-13.26,9.57,0.06,0.21,0.37
14.732678,0.08,-9.14,-1.29,0.73,0.21,-0.63
14.824489,4.67,-5.37,3.77,-0.56,0.12,-0.31
14.932949,-1.37,-3.92,0.08,1,-1.8,0.47
15.009828,3.49,-3.65,2.63,-0.39,-0.31,0.56
15.120929,4.35,-12.98,11.3,0.76,-0.31,0.31
15.212248,5.1,-10.87,0.78,-0.86,0.82,-0.37
15.317003,1.06,-14.87,1.22,-1.36,2.58,0.31
15.393885,1.8,-4.43,2.08,-0.35,1.5,-0.09
15.511712,-2.59,-5.57,1.65,0.01,0.4,-0.43
15.640554,-0.9,-9.18,9.3,-0.84,-0.4,-0.24
15.71053,1.1,-11.53,9.77,1.1,0.65,0.45
15.813316,5.53,-14.51,0.12,-0.44,-1.03,-0.69
15.936087,-1.77,-4.04,7.37,1.28,-1.94,0.3
16.061585,0.67,-3.02,0.24,0.56,-1.15,0.44
16.142366,1.06,-8.16,8.87,-1.21,0.63,0.52
16.259012,4.75,-12.75,12.12,1.01,-2.31,0.02
16.354064,4.04,-8.79,2.31,0.25,1.44,0.11
16.476948,1.26,-5.57,2.75,-0.76,0.56,0.41
16.548834,0.12,-3.06,3.57,0.38,1.34,-0.37
16.664873,-3.69,-6.83,3.14,-0.35,-0.36,-0.43
16.756613,0.55,-13.96,8.79,0.08,0.23,0.26
16.863262,-1.18,-8.47,-0.98,1.06,0.66,-0.79
16.952892,4.16,-6.67,2.82,-0.53,0.01,-0.34
17.071927,-0.75,-3.53,0,0.94,-1.97,0.46
17.144147,3.14,-3.45,3.18,-0.55,-0.08,0.48
17.267925,4.9,-12.79,11.69,0.68,-0.65,0.35
17.378707,6.16,-9.53,0.16,-1.08,0.96,-0.31
17.46134,1.88,-13.14,1.49,-1.25,2.19,0.45
17.562505,1.14,-4.08,1.92,-0.13,1.55,-0.12
17.675614,-2.75,-5.57,1.73,-0.06,0.28,-0.45
17.800743,-0.55,-9.73,9.06,-0.4,-0.25,-0.17
17.900277,0.04,-12.2,9.06,1.54,1.14,0.27
18.001674,5.49,-13.89,0.39,-0.58,-0.87,-0.48
18.084753,-2.75,-5.22,5.14,0.95,-1.87,0.22
18.193378,1.77,-4.28,0.63,0.58,-1.36,0.48
18.323076,0.24,-7.96,9.81,-0.82,0.44,0.57
18.415725,1.69,-10.98,10.59,1.33,-1.72,0.15
18.520106,4.98,-8.39,3.06,0.29,1.21,0.12
18.600025,1.41,-6.12,2.35,-0.37,0.19,0.71
18.715903,1.53,-2.98,3.1,0.05,1.06,-0.43
18.808968,-3.8,-6.83,3.26,-0.27,-0.47,-0.29
18.911761,-1.02,-13.34,5.92,0.26,-0.09,0.29
18.995597,-0.51,-10,1.92,1.28,1.2,-0.22
19.126562,6.04,-8.87,4.16,-0.59,-0.19,-0.73
19.207278,-2,-3.73,1.45,1.11,-2.08,0.57
19.318194,3.3,-3.8,1.92,-0.06,-0.31,0.27
19.418371,-0.16,-10.55,11.65,0.46,-0.09,0.57
19.553077,5.45,-10.98,0,0.16,-0.07,-0.2
19.625748,2.59,-13.53,0.31,-1.19,2.03,0.93
19.740599,0.27,-4.51,4.51,0.51,1.77,0.17
19.823906,-0.24,-3.69,1.77,0.15,0.3,-0.53
19.94503,-2,-7.06,6.16,-0.52,-0.47,-0.58
20.040287,2.98,-11.18,11.41,0.56,0.48,0.13
20.14056,0.71,-12.91,1.33,0.49,-1.24,-0.28
20.22031,4,-5.45,1.8,-0.7,0.93,-0.79
20.333949,-2.55,-3.3,3.06,0.51,-2.04,0.73
20.425393,2.94,-4.94,5.33,-0.51,0.43,0.2
20.540172,2.31,-13.53,12.51,0.36,-1.94,0
20.619485,5.88,-5.88,-1.1,-0.82,1.36,-0.45
20.735822,0.24,-10.9,3.22,-1.01,1.23,0.38
20.855096,1.06,-3.14,2.43,0.03,1.5,-0.32
20.943223,-1.69,-5.45,1.73,-0.1,0.32,-0.5
21.066855,-0.08,-9.96,9.22,-0.6,-0.12,-0.41
21.149619,0.04,-11.57,7.22,1.27,0.63,0.2
21.276818,5.84,-13.53,0.75,-0.64,-0.53,-0.35
21.355823,-0.43,-4.04,4.63,1.02,-1.47,0.43
21.47252,0.59,-4.59,0.71,0.51,-1.29,0.53
21.569689,0.39,-8.28,8.63,-0.74,0.49,0.71
21.693189,1.18,-12.16,12.98,0.97,-2.16,0.02
21.763302,4.79,-9.77,3.1,0.3,1.33,0.2
21.874578,-0.51,-5.84,2.82,-0.18,0.21,0.6
21.957491,1.33,-2.51,3.49,0,0.87,-0.34
22.093694,-3.65,-6.35,3.88,-0.32,-0.35,-0.37
22.176199,-2,-13.89,9.1,0.04,0.21,0.16
22.286831,0.59,-9.81,1.69,1.23,0.93,-0.16
22.374101,4.59,-8.24,4.24,-1.13,-0.43,-0.4
22.499123,-2.43,-4.28,-0.04,0.92,-2.04,0.36
22.580968,3.61,-3.18,2.12,-0.19,-0.48,0.63
22.701717,1.29,-11.34,12.67,0.61,-0.03,0.32
22.797412,5.81,-12.98,1.77,0.36,-0.06,-0.45
22.900815,1.88,-15.1,1.65,-1.07,2.57,0.37
22.979499,1.29,-4.35,2.55,-0.36,1.38,-0.03
23.1149,-1.96,-4.79,2.2,0.16,0.78,-0.47
23.193213,-2.16,-7.45,6.9,-0.64,-0.34,-0.49
23.309201,0.2,-12.91,11.1,0.11,0.08,0.51
23.397129,4.35,-14.91,-1.69,0.05,-0.59,-1.12
23.522187,1.45,-4.79,5.84,-0.1,-0.04,-0.23
23.598368,-0.86,-3.53,-1.06,0.77,-1.76,0.52
23.718176,2.82,-5.26,5.06,-0.78,-0.03,0.55
23.812428,3.88,-12.24,9.89,0.19,-2.03,-0.18
23.910328,5.92,-6.39,-0.67,-0.86,1.64,-0.3
23.993233,0.71,-12,1.8,-0.61,0.82,0.85
24.108662,2.28,-3.37,2.9,0.03,1.87,-0.55
24.201796,-3.37,-5.81,1.8,-0.13,0.2,-0.56
24.317326,-0.86,-11.41,8.98,-0.21,-0.02,-0.11
24.443323,-0.82,-11.34,4.47,1.81,1.22,0.01
24.532965,5.61,-13.18,2.24,-0.44,-0.64,-0.22
24.639943,-1.49,-3.65,4,0.75,-1.41,0.31
24.722996,1.65,-4.28,1.33,0.26,-1.57,0.6
24.842921,0.12,-9.3,10.47,-0.4,0.21,0.51
24.924482,4.35,-11.85,8.63,1.26,-1.48,0.23
25.038033,2.75,-11.45,0.43,0.42,1.1,0.58
25.119194,0.51,-4.55,2.55,0.04,0.64,0.05
25.254228,-0.31,-3.02,3.69,0.02,0.93,-0.49
25.333882,-3.92,-6.79,4.24,-0.5,-0.41,-0.51
25.458833,0.55,-13.22,10.24,-0.18,0.18,0.37
25.553881,-1.77,-8.08,-1.53,0.6,0.12,-0.57
25.658549,5.06,-9.26,4.28,-0.44,0.26,-0.52
25.772122,-2.82,-4.94,-0.08,0.7,-1.55,0.4
25.85665,3.77,-3.06,3.14,-0.21,-0.68,0.62
25.968643,4.31,-12.51,11.1,0.58,-1.18,0.1
26.0497,4.12,-11.3,-0.12,-0.11,0.38,-0.3
26.172077,1.45,-16.83,0.63,-1.62,2.4,0.49
26.25642,0.98,-4.94,2.47,-0.23,1.39,0.23
26.376764,-0.24,-4.75,2.08,-0.1,0.52,-0.47
26.460527,-2,-8.71,6.55,-0.54,-0.43,-0.44
26.602099,0.31,-12,11.02,0.18,0.21,0.29
26.680601,1.69,-11.14,-2.43,0.06,-0.39,-0.99
26.79378,0.24,-3.96,7.02,0.29,-0.96,-0.17
26.889914,-1.14,-4.39,-0.9,0.58,-1.49,0.52
27.006679,3.06,-4.75,5.57,-0.85,-0.29,0.65
27.089142,2.43,-11.81,11.49,0.67,-2.08,0.04
27.211705,5.61,-7.22,1.18,-0.81,1.57,0.04
27.303256,1.45,-11.77,2.04,-0.92,1.73,0.68
27.420256,2.2,-2.63,2.04,0.05,1.76,-0.39
27.504899,-3.77,-5.69,2.35,-0.22,0.11,-0.53
27.610113,0.94,-11.49,9.73,-0.22,0.08,0
27.690791,-0.12,-12.28,3.41,1.25,0.98,-0.04
27.809514,4.98,-13.38,2.43,-0.61,-0.48,-0.4
27.889858,-1.45,-3.45,3.06,1.06,-1.52,0.22
28.013743,0.27,-4.59,-0.31,-0.12,-0.92,0.37
28.115132,-1.14,-10.32,11.22,-0.63,0.3,0.62
