NAME:,walk_124_1_2,,,,,
EXPERIMENT TIME:,20/03/2024 10:15,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,109,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0,-0.51,10.51,-1.8,0.08,0.15,-0.06
0.099998,-1.02,9.22,-1.45,0.12,0.1,0.02
0.199997,-2.08,11.18,-1.96,0.24,0.19,0.19
0.300003,-1.29,9.81,-3.02,0.03,0.06,0.1
0.410004,-2.79,10.08,-1.92,0.27,-0.24,0.31
0.510002,-2.75,10.9,-2.12,-0.03,-0.62,0.25
0.610001,-1.8,13.65,-2.47,-0.07,-0.08,-0.16
0.709999,1.14,6.79,0.08,-0.64,-0.48,-0.81
0.809998,-1.45,11.38,-1.61,-0.16,0.09,-0.92
0.919998,-2,8.51,0.16,-0.29,-0.17,-0.75
1.019997,-3.02,7.18,0.9,0.38,-0.17,0.16
1.120003,-5.84,12.83,0.67,0.28,0,0.29
1.220001,-7.45,11.49,-4.31,0.57,-0.06,0.18
1.32,-0.71,6.35,-0.75,0,0.21,0.57
1.43,-1.61,10.75,-2.59,0.27,-0.01,0.5
1.529999,-2.94,10.24,-1.26,0.13,0.07,0.51
1.629997,-1.37,9.38,-0.9,0.18,-0.08,0.22
1.730003,-2.24,12.63,-3.18,-0.07,0.18,-0.22
1.830002,0.35,9.77,2.51,-0.18,0.18,-0.98
1.940002,-3.18,10.9,0.16,0.22,-0.41,-0.65
2.040001,-0.59,6.59,0.47,-0.05,-0.15,-0.9
2.139999,-2.98,7.49,0.39,0.69,0.04,0.28
2.239998,-5.3,14.28,-0.94,-0.03,-0.2,0.02
2.339996,0.27,11.22,0.98,0.22,-0.51,0.95
2.449997,1.1,6.71,-1.14,0.22,0.5,1.07
2.550003,-0.71,8.51,-2.16,0.11,-0.07,0.34
2.650002,-3.84,8.47,-0.67,0.16,0.14,0.39
2.75,-1.88,10.83,-0.39,-0.17,-0.34,-0.13
