NAME:,run_111_3_1.csv,,,,,
EXPERIMENT TIME:,20/03/2024 18:20:27,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,125,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0.07299805,12.14,-1.8,-7.66,-0.24,-0.3,0.62
0.1459961,7.88,-1.7,-2.57,-0.7,-0.09,0.37
0.21899414,6.32,0.39,-2.46,0.31,-0.14,-0.19
0.2919922,6.63,-0.32,-2.11,0.56,0.48,-0.01
0.36499023,11.11,-0.76,-9.01,0.73,0.26,-0.02
0.43798828,13.77,-3.14,-7.41,-0.5,0.42,-0.54
0.5109863,8.01,-1.41,-5.24,0.29,0.29,-0.57
0.5839844,5.62,-0.58,-3.55,-0.37,0.25,-0.09
0.6569824,8.32,0.5,-4.24,-0.33,-0.21,0.1
0.73010254,9.49,-0.92,-2.34,-0.53,0.32,0.07
0.8031006,10.06,-1.15,-2.5,-0.42,0.49,-0.03
0.87609863,10.79,-1.68,-1.93,-0.19,0.48,-0.01
0.9490967,10.04,-0.26,-4.71,0.02,-0.04,0.07
1.0220947,7.2,0.63,-3.22,0.02,0.19,0.09
1.0950928,9.77,-0.43,-2.77,0.13,-0.53,0.24
1.1680908,8.45,-0.12,-2.85,0.05,-0.18,0.02
1.2410889,7.77,0.36,-3.03,0.56,-0.42,-0.04
1.3140869,10.18,0.7,-2.77,0.41,-0.6,-0.17
1.387085,9.42,0.8,-2.6,0.08,-0.18,-0.16
1.460083,10.72,-0.27,-2.34,-0.24,-0.11,0.28
1.533081,12.77,-0.6,-2.25,-0.22,-0.42,0.32
1.6060791,9.76,-0.44,-2.47,0.03,-0.34,0.23
1.6790771,3.37,-0.97,-3.35,0.24,0.24,0.12
1.7520752,10.79,-0.81,-5.71,0.71,-0.14,-0.43
1.8250732,14.51,-1.39,-5.98,0.29,0.11,-0.27
1.8980713,11.63,-2.17,-3.19,0.21,0.43,0.2
1.9710693,11,0.31,-2.42,0.22,0.04,0.08
2.0440674,5.64,0.58,-2.54,0.23,-0.05,-0.54
2.1170654,-0.19,-0.55,-1.86,-0.67,1.17,-0.4
2.1900635,11.74,-0.18,-6.84,-0.88,-0.19,0.47
2.2630615,16.04,-3.3,-5.79,-0.45,-0.14,0.16
2.3360596,12.55,-2.86,-2.42,-0.28,0.01,0.42
2.4090576,9.04,-0.16,-2.22,0.89,-0.65,-0.46
2.4820557,0.09,-0.88,-3.05,0.78,0.65,-0.27
2.5550537,2.31,-2.94,-4.98,1.57,0.59,-0.54
2.6280518,18.49,-4.01,-9.45,0.89,-0.32,0.05
2.7010498,12.51,-2.75,-2.43,1.39,-0.38,-0.8
2.7740479,9.26,0.11,-2.67,1.65,-0.89,-1.01
2.847046,5.8,0.63,-2.81,0.84,-0.23,-1.45
2.920044,-1,0.05,-2.97,-0.39,1.52,-0.45
2.993042,12.92,-2.54,-8.2,0.16,0.13,1.2
3.06604,14.76,-3.97,-5.26,-0.04,0.07,-0.1
3.139038,12.45,-1.52,-3.99,0.5,-0.15,0.5
3.2120361,7.48,-2.11,-2.48,0.64,-0.84,0.06
3.2850342,1.48,0.1,-3.09,1.18,0.79,0.1
3.3580322,3.45,-2.56,-5.32,2.17,0.42,0.22
3.4310303,18.62,-3.27,-7.89,0.3,0.16,1.05
3.5040283,11.33,-3.05,-2.07,1.03,-0.29,-0.21
3.5770264,8.67,-1.73,-2.16,0.82,-0.43,0.39
3.6500244,4.43,1.42,-2.75,-0.12,0.12,-0.08
3.7230225,2.91,1.42,-4.53,-1.2,0.82,-0.94
3.7960205,12.85,1.37,-5.45,-1.79,0.81,1.37
3.8690186,16.48,-2.67,-3.44,-2.14,0.06,0.21
3.9420166,10.83,-3.16,-3,-1.65,-0.34,0.87
4.0150146,7.98,-0.59,-3.37,-0.2,-0.38,0.7
4.0880127,2,0.79,-3.2,-0.57,1.24,0.27
4.1610107,6.88,0.69,-8.61,0.02,0.53,0.13
4.234009,17.21,-0.77,-6.51,-0.66,-0.15,-0.39
4.307007,10.89,-1.81,-4.97,-0.99,0.06,-0.33
4.380005,8.28,0.69,-2.7,-1.39,0.06,0.06
4.453003,4.65,1.81,-3.65,-1.26,0.18,-0.71
4.526001,3.01,0.67,-5.43,-2.55,1.21,0.23
4.598999,12.51,2.73,-9.19,-2.48,-0.02,1.13
4.671997,17.85,-2.15,-4.68,-2.8,-0.43,0.56
4.744995,9.9,0.65,-2.92,-1.6,0.23,0.77
4.817993,6.39,0,-2.38,-0.35,-0.48,0.21
4.890991,1.69,-0.57,-3.1,-0.94,0.65,0.61
4.9639893,7.9,1.63,-6.28,-0.98,1.15,0.79
5.0369873,15.77,0.54,-6.15,-0.54,0.11,0.13
5.1099854,13.51,-0.39,-4.39,-0.5,0.07,-0.01
5.1829834,10.35,0.61,-3.03,-0.67,0.14,0.29
5.2559814,5.27,1.12,-2.15,-0.64,0.15,0.07
5.3291016,2.76,1.88,-3.88,-1.65,1.01,0.24
5.4020996,7.72,2.66,-8.38,-2.46,0.66,0.94
5.4750977,16.78,-1.1,-6.99,-2.46,-0.52,0.66
5.5480957,12.89,-2.39,-2.7,-2.54,-0.25,0.75
5.6210938,10.72,1.4,-3.72,-1.15,-0.78,0.36
5.694092,7.15,1.08,-2.63,-0.04,-0.14,-0.19
5.76709,0.94,-0.29,-4.34,-0.3,1.08,-0.11
5.840088,6.66,0.9,-7.86,-1.11,1.46,0.49
5.913086,17.61,-0.76,-5.8,-1.36,-0.49,0.29
5.986084,12.74,-2.17,-4.74,-0.7,0.09,0.39
6.059082,8.08,-0.13,-2.73,-0.1,0.3,0.36
6.13208,5.5,1.2,-1.55,0.4,-0.37,-0.22
6.205078,3.28,1.46,-4.52,-1.4,0.81,-0.07
6.278076,8.09,2.81,-7.57,-2.52,-0.28,0.3
6.351074,17.01,-2.05,-10.24,-2.58,-0.58,1.41
6.4240723,12.2,-2.63,-0.59,-1.23,0.31,1.21
6.4970703,7.06,-0.51,-3.24,0.52,-0.32,0.04
6.5700684,4.24,0.5,-3.2,0.8,0.38,-0.38
6.6430664,6.38,1.95,-6.18,0.54,0.68,0.06
6.7160645,15.57,0.53,-7.34,0.18,0.12,-0.2
6.7890625,11.64,-0.38,-3.79,0.17,-0.08,-0.49
6.8620605,9.51,1.15,-3.15,0.13,-0.15,-0.23
6.9350586,4.18,2.22,-3.96,-0.6,-0.07,-0.62
