"Name:","run_127_2_1"
"EXPERIMENT TIME:","15/03/2024 20:35"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","130"

"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"0.0","-0.59","0.24","-9.85","-0.07","0.5","-0.28"
"0.05","-0.39","0.55","-11.41","-0.12","0.44","-0.26"
"0.1","-1.41","1.14","-12.98","-0.24","0.22","-0.21"
"0.15","2.86","3.45","-9.38","-0.59","-0.03","0.01"
"0.2","4.59","1.06","-12.91","-0.79","0.4","-0.22"
"0.25","3.3","1.14","-9.22","-0.44","-0.04","0.37"
"0.4","2.2","5.18","-15.22","-0.14","1.04","0.31"
"0.45","2.24","4.28","-11.81","-0.35","0.65","-0.05"
"0.5","2.63","7.41","-10.32","0.05","0.86","-0.19"
"0.55","-1.37","0.27","-11.65","-0.63","0.29","-0.57"
"0.6","2.12","2.67","-0.82","0.19","-1.02","-0.91"
"0.65","1.69","0.67","-5.53","0.18","-1.37","-1.1"
"0.7","6.24","0.98","-2.98","-0.19","-1.08","-1.12"
"0.75","6.08","-1.26","-16.32","0.76","-0.52","-1.33"
"0.8","3.69","3.88","-20.01","0.46","-0.13","0.62"
"0.85","-2.2","2.16","-20.01","0.84","-0.29","0.6"
"0.9","-2.28","1.65","-8.0","0.38","-0.44","0.71"
"0.95","-2.79","1.77","-6.08","0.36","-0.27","0.66"
"1.1","2.67","-0.47","-14.55","-0.15","-0.37","-0.3"
"1.15","7.88","8.43","-16.08","-1.18","0.33","0.83"
"1.2","0.08","4.31","-16.48","-0.53","-0.24","-0.17"
"1.25","-2.98","0.78","-18.44","0.67","1.32","0.05"
"1.3","2.59","4.94","-11.45","-0.46","1.15","0.52"
"1.35","0.39","1.02","-11.41","-0.55","1.39","0.38"
"1.4","1.57","3.77","-2.94","-0.53","-0.13","0.34"
"1.45","0.24","1.8","-1.88","0.3","-0.58","-0.37"
"1.5","3.02","2.94","-5.92","1.06","-1.29","-0.86"
"1.55","8.24","2.75","-6.59","0.49","-0.19","-1.03"
"1.6","2.31","-4.9","-20.01","2.31","-0.69","-2.76"
"1.65","1.14","-4.12","-14.55","0.12","-0.19","0.07"
"1.7","-3.18","-2.0","-17.85","0.13","0.08","1.02"
"1.75","-1.73","3.57","-4.04","-1.64","0.14","1.61"
"1.8","-1.84","1.77","-1.22","-0.05","-0.31","-0.12"
"1.85","1.65","0.98","4.82","-0.19","-0.06","-0.51"
"1.9","-0.16","-4.16","-13.65","1.03","0.08","-1.12"
"1.95","8.0","6.94","-8.16","-2.2","-0.1","-0.03"
"2.0","-5.06","-4.28","-20.01","0.75","-0.13","-1.65"
"2.05","-0.43","1.8","-15.97","-0.76","0.58","0.09"
"2.1","-0.51","2.39","-17.06","-1.09","1.49","1.18"
"2.15","1.49","4.51","-10.94","-0.95","0.86","0.28"
"2.2","0.47","1.06","-6.9","-0.21","-0.11","0.29"
"2.35","9.41","1.8","1.61","-0.36","-0.39","-0.49"
"2.4","6.2","2.43","-20.01","2.62","-0.12","-1.35"
"2.45","1.65","-0.31","-15.89","-0.21","-0.69","0.24"
"2.5","-3.77","0.04","-17.93","1.2","-0.44","0.37"
"2.55","-1.77","0.27","-6.39","-0.5","-0.18","1.12"
"2.6","0.16","4.47","-2.47","-0.46","0.05","0.59"
"2.65","-1.1","-1.41","3.41","0.33","-0.51","-0.64"
