NAME:,run_124_1_1.csv,,,,,
EXPERIMENT TIME:,20/03/2024 10:42,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,180,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0,1.49,9.14,-0.16,-0.39,-0.3,-1.21
0.100002,0.39,14.98,4.28,-0.25,-0.8,-1.63
0.210003,-2.16,10.59,-6.04,1.44,1.39,-0.18
0.310001,0.9,0.39,0.63,0.3,0.4,0.33
0.41,5.33,7.73,3.37,1.11,-0.85,1.15
0.510002,-0.94,13.14,2.75,-0.63,0.63,1.96
0.620003,2,6.51,0.55,0.32,-0.94,0.47
0.720001,8.9,3.73,-1.96,0.34,0.13,-1.84
0.82,-5.18,18.59,8.79,1.71,-0.71,-0.47
0.920002,-0.82,5.53,-1.88,-0.06,1.13,-0.99
1.02,-1.57,3.06,1.1,0.05,0.4,0.76
1.130001,-1.77,5.41,10.98,0.51,-0.25,1.28
1.23,-6.59,11.85,-0.82,-0.1,0.48,0.57
1.330002,-4.59,6.55,-2.12,0.43,-1.05,0.86
1.43,3.3,0.08,6.08,1.03,-1.2,-2.65
1.530003,1.8,20.01,6.2,0.03,-1.2,-0.81
1.639999,1.18,5.3,-6.04,-0.12,0.64,0.26
1.740002,0.51,3.61,1.14,0.16,-0.62,-0.1
1.84,-6.94,12.94,1.33,1.21,-1.05,0.58
1.940002,-7.37,14.67,-3.45,-0.09,-0.37,0.71
2.040001,2.94,-0.71,1.1,-0.46,-1.51,-0.86
2.139999,-4.28,-0.31,7.69,0.03,-0.21,-1.34
2.25,-5.18,17.46,4.67,0.6,-0.67,-1.4
2.350002,-0.86,2.82,-2.59,0.12,0.5,0.67
2.450001,0.55,3.22,0.47,0.54,-1.72,-0.53
2.550003,4.43,17.18,6.47,-1.41,0.1,0.34
2.66,-0.98,8.08,-2.75,-0.94,-0.92,0.3
2.760002,0.35,0.71,-1.1,-0.07,0.27,-0.9
2.860001,9.34,20.01,-2.75,-0.79,-1.72,-1.17
2.960003,0.55,7.26,-7.61,1.5,-0.08,-0.16
3.060001,-1.06,2.24,-0.24,1.06,-0.73,-0.02
3.16,3.45,12.51,-1.41,-0.62,-2.34,0.77
3.470001,0.78,-2.59,-0.39,0.7,-0.18,-1.08
3.780003,1.61,-3.14,4.63,0.75,-1.17,0.32
4.59,11.69,18.55,-5.49,-0.26,-2.1,-1.72
6.120003,3.65,4.86,7.06,1.61,1.32,2.56
6.940002,-6.12,19.06,-0.82,-0.02,0.31,1.69
7.040001,3.65,4.71,1.1,-0.88,-1.9,0.73
7.139999,-0.24,2.39,-3.02,0,0.53,-0.76
7.25,9.1,20.01,5.73,0,-2.2,-1.6
7.350002,-2.94,9.49,-2.47,0.99,0.81,0.34
7.450001,1.61,-0.35,-0.71,0.44,-0.63,0.16
7.550003,0.43,19.73,-14.79,-0.7,-0.69,-0.85
7.650002,-0.35,17.46,1.02,0.32,0.28,1.6
7.75,0.94,7.81,-0.63,-0.63,-0.98,0.84
7.860001,1.77,5.1,-5.65,-0.12,-0.15,-1.48
7.960003,9.61,20.01,0.98,-0.78,-2.3,-0.47
8.060001,-2.55,13.93,-4.55,0.54,0.98,0.23
8.16,0.27,0.78,-0.51,0.18,0.07,-0.18
8.27,5.53,16.55,2.51,-0.18,-0.88,-0.2
8.370003,0.98,19.77,-2.08,0.19,-1.03,1.66
8.470001,1.26,10.87,0.35,-0.1,-0.05,0.76
8.57,1.06,0.59,0.08,-0.21,0.07,-0.99
8.670002,1.49,18.87,-2.08,-0.32,-2.09,-1.17
8.77,1.1,16.75,-6.2,0.57,0.19,-1.31
8.880001,1.37,-2.12,-1.61,0.57,0.12,0.04
8.98,-4.94,9.34,-0.16,0.2,-0.42,0.3
9.080002,3.77,11.85,0.71,-0.1,-0.53,0.59
9.18,-3.69,6.9,-1.61,0.93,0.25,0.05
9.290001,1.8,0.86,1.45,-0.22,-1.7,-0.37
9.389999,3.65,11.92,-2.24,-0.6,-0.39,-0.93
9.490002,-0.75,20.01,3.61,-0.53,-0.03,-1.43
9.59,0.78,1.06,-4.67,0.98,2.35,-0.31
9.690002,4.04,3.73,-1.92,0.16,-0.06,0.14
9.800003,0,20.01,-1.45,-0.06,0.49,1.65
9.900002,-7.3,7.81,0.47,-0.44,-1.27,-0.79
10,2.08,2.35,0.04,0.24,0.68,0.85
10.100002,0.9,9.65,3.37,-0.53,-1.15,-1.72
10.200001,-1.77,20.01,4.04,0.08,0.04,-0.82
10.310001,0.35,2.59,-4.39,0.44,1.36,-0.17
10.41,-0.98,8.24,-3.88,0.23,0.65,0.08
10.510002,-0.47,19.46,1.45,0.05,-0.5,1.19
10.610001,-7.85,8.04,0.35,-0.78,-0.52,-0.12
10.710003,2.08,1.06,0.08,0.26,-0.5,0.59
10.82,-0.47,1.69,7.96,-0.07,-0.68,-1.03
10.920002,-3.61,17.69,12.71,-0.16,-0.84,-1.34
11.02,-2.67,6.32,-3.77,0.18,1.35,0.72
11.120003,0.67,-0.94,2.16,-0.34,-0.41,-0.04
11.220001,-0.08,6.16,12.75,0.2,-0.43,2.88
11.32,-8.12,13.3,-1.26,-0.3,-1.19,0.13
11.43,1.37,1.45,0.08,-0.38,-1.01,0.39
11.530003,3.96,2.82,-2.82,-0.36,0.06,-1.22
11.630001,0.94,17.14,13.34,0.33,-2,-1.69
11.73,-3.65,5.33,0.08,1.02,-0.07,-0.28
11.84,0.47,1.61,-2.12,0.01,-1.01,-0.73
11.940002,19.46,15.46,-5.49,0.75,-2.26,2.14
12.040001,6.86,17.93,-1.22,0.56,1.48,2.8
12.139999,4.43,7.34,-2.79,0.46,0.51,1.12
12.450001,1.45,12.87,-4.47,0.89,1.38,-1.1
12.75,8.94,20.01,-1.22,-0.58,1.21,2.11
13.370003,1.06,2.59,2.2,-0.27,-0.65,-0.21
13.670002,3.33,4.71,3.37,-0.65,-1.46,0.36
13.77,4.04,2.55,-6.94,0.28,0.5,-0.96
15.41,1.02,15.1,-4.31,0.82,1.57,-1.14
15.510002,2.12,-0.51,-10.83,0.87,0.81,-0.33
