NAME:,walk_124_2_2,,,,,
EXPERIMENT TIME:,20/03/2024 10:25,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,96,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Z,GYRO Y
0,1.41,9.77,0.43,0.16,0.03,-0.06
0.110046,1.57,10.12,-0.47,0.09,0.02,-0.05
0.210022,1.65,10.2,-0.63,0.12,0.04,0.01
1.330017,1.69,10.12,-0.59,0.09,0.04,-0.03
1.429993,2.12,10.2,-0.55,0.17,-0.05,-0.12
1.530029,0.31,10.16,-0.94,-0.09,0.02,0.84
1.640015,0.98,9.77,-1.57,0.12,-0.29,0.2
1.73999,1.65,12.2,-2.2,0.73,-0.18,0.22
2.350037,3.1,9.77,-1.88,0.13,-0.55,-0.86
2.450012,3.53,11.61,-0.75,-0.18,-0.82,-0.99
2.550049,1.45,8.75,-1.41,-0.67,-0.46,-0.88
2.660034,0.12,7.57,-0.43,-0.52,-0.34,-0.75
2.76001,-1.57,7.69,-0.04,-0.05,0.05,-0.21
2.860046,-0.98,13.65,0.78,0.18,-0.09,-0.67
2.960022,3.02,12.79,0.63,0.26,-0.38,-0.01
3.059998,3.22,8.32,0.75,0.05,0.18,0.24
3.170044,0.86,8.67,-0.04,0.31,0.52,0.57
3.27002,-1.33,9.57,-1.41,0.7,0.56,0.84
3.369995,-0.51,8.2,-0.16,0.07,-0.02,0.14
3.470032,-0.16,10.83,-0.08,0.25,0.21,0.27
3.570007,0.71,13.73,-3.33,0.96,0.21,1.25
3.679993,3.77,10.98,-0.27,0.08,-0.33,-0.37
3.780029,1.88,9.69,-0.63,-0.41,-0.63,-0.66
3.880005,0.31,7.69,-0.78,-0.66,-0.6,-0.9
3.980042,-0.47,6.86,0.86,-0.69,0.01,-0.78
4.090027,-1.65,8.87,0.71,0.13,0.05,-0.16
4.190002,-0.27,18.75,3.33,0.16,-0.17,0.49
4.290039,4.2,9.1,-0.43,-0.58,-0.29,-0.18
4.390015,1.65,9.06,-1.14,1.18,0.44,0.84
4.48999,0.43,7.22,-1.18,0.53,0.69,1.21
4.600037,-0.31,8.79,-0.12,0.64,0.37,1.13
4.700012,1.37,8.83,-0.51,0.15,0.67,0.52
4.800049,0.86,11.14,-0.47,0.26,0.41,0.35
4.900024,1.84,14.24,-1.57,0.45,-0.06,0.59
5,2.67,10.55,-0.86,-0.25,-0.4,-0.09
5.100037,1.69,9.69,-0.63,-0.6,-0.49,-0.37
5.210022,2,7.85,-0.55,-0.71,-0.44,-1.34
5.309998,-0.39,8.24,1.14,-0.34,-0.08,-1.06
5.410034,-0.43,10.24,1.22,0.07,-0.04,-0.33
5.51001,-1.26,13.22,0.86,-0.49,-0.16,-0.25
5.619995,3.41,13.34,2.12,-0.22,-0.44,-0.51
5.720032,2.59,9.22,-0.67,0.58,0.32,-0.27
5.820007,1.49,6.94,0.12,0.35,0.39,0.03
5.920044,1.61,8.36,-0.47,0.82,0.11,0.56
6.02002,-0.59,9.61,-0.24,0.24,0.45,0.94
6.130005,1.33,8.59,0.47,0.18,0.26,0.12
6.230042,0.51,11.96,-0.86,0.15,0.08,1.06
6.330017,5.41,11.57,-0.86,0.05,-0.55,-0.7
6.429993,2.98,11.38,0.31,-0.09,-0.26,0.65
6.530029,1.8,7.49,-0.82,-0.58,-0.22,0.03
6.630005,1.26,7.85,1.26,-0.01,0.16,0.13
6.73999,0.59,10,1.1,0.42,0.53,0.7
6.840027,1.18,10.28,-1.06,0.27,0.04,0.41
6.940002,-0.16,12.79,1.57,0.48,-0.39,1.1
7.040039,6,11.69,-1.18,0.4,0.09,0.39
7.150024,3.96,8.12,-0.51,0.63,0.07,1.4
7.25,2.75,9.34,-0.94,0.07,0.03,1.79
7.350037,0.43,10.63,-0.86,0.57,0.19,2.11
7.660034,0.04,10.67,0.35,0.26,0.35,0.93
7.76001,-0.51,12.12,-0.12,0.29,0.18,1.35
7.860046,3.02,10.83,-1.77,0.2,-0.29,-0.06
7.960022,2.98,11.96,1.06,-0.03,-0.23,0.66
13.410034,-0.86,9.49,0.43,0.32,0.36,0.31
13.51001,0.55,9.57,0.59,0.14,0.39,-0.06
13.610046,-0.16,11.49,1.45,0.42,0.21,0.65
13.710022,4.16,12.28,-0.43,0.31,-0.62,-0.28
13.809998,1.88,11.34,1.77,0.21,-0.47,0.78
13.920044,0.9,8.63,-0.82,-0.62,-0.65,-0.1
14.02002,0.94,8.12,2.39,-0.35,-0.19,-0.74
14.119995,-1.77,8.51,1.92,-0.13,0.14,0.17
14.220032,-1.45,7.81,3.1,0.06,0.19,-0.25
14.320007,0,9.61,6.08,-0.08,0.21,-0.03
14.429993,1.33,11.22,3.8,-0.33,-0.54,-0.13
14.530029,2.98,7.77,0.31,0.18,0.04,-0.16
14.630005,1.69,9.14,0.71,0.19,0.27,-0.11
14.730042,-0.78,10.04,0.71,0.77,0.56,0.95
14.830017,-0.75,9.65,1.37,0.42,0.36,0.21
14.940002,-0.12,9.85,0.16,0.01,0.33,-0.27
15.040039,-0.82,10.59,2.04,-0.13,-0.19,-0.46
15.140015,0.86,13.45,-1.06,0.36,-0.52,-0.23
15.23999,2.47,8.79,0.04,-0.78,-0.81,-1.38
15.340027,0.31,9.89,-0.39,-0.43,-0.72,-1.37
15.450012,0.39,9.96,0.55,-0.25,-0.55,-2.2
15.550049,-0.2,8.79,0.94,-0.18,-0.47,-2.21
15.650024,-1.29,8.94,0.78,-0.25,-0.47,-1.86
15.75,-1.8,9.38,2.86,-0.45,-0.76,-1.47
15.850037,4.08,16.59,0.31,0.56,-0.79,-2.99
15.960022,2.55,9.49,-0.67,-0.15,-0.62,-1.49
16.059998,0.75,8,0.86,0.3,-0.04,-0.96
16.160034,0.08,9.92,0.71,0.37,-0.04,-1.05
16.26001,0.08,9.41,1.22,0.17,0.04,-0.71
16.360046,-0.55,9.3,0.04,0.29,0.11,-0.37
16.470032,-0.55,10.75,1.73,0.01,-0.05,-0.51
16.570007,0.12,12.83,-0.78,0.18,-0.31,-0.29
16.670044,2.08,10.63,0.43,-0.71,-0.86,-1.55
16.77002,0.98,11.02,-0.24,-0.49,-0.75,-1.48
16.869995,0.04,9.49,0.47,-0.75,-1.04,-2.01
16.980042,0.43,8.36,1.96,-0.52,-0.67,-1.96
17.080017,-0.16,7.3,2.35,0.09,-0.05,-1.09
17.179993,-3.45,8.63,2,0.53,-0.04,0
17.280029,-1.45,9.96,2.47,0.22,-0.14,-1.18
17.380005,6.35,17.06,2.67,0.41,-1.01,-1.67
17.48999,2.51,7.85,-0.16,-0.03,0.08,0.95
17.590027,0.86,10.08,0.08,0.41,-0.08,0.26
17.690002,1.06,8.75,0.75,0.11,-0.1,0.4
17.790039,-0.12,9.45,1.1,0.55,0.26,0.81
17.890015,-1.73,8.9,1.22,0.34,0.42,0.46
18,-1.14,9.73,0.71,0.17,0.65,0.18
18.100037,-0.63,13.06,1.73,-0.1,0.22,0.19
18.200012,1.92,11.18,0.43,-0.27,-0.4,-0.61
18.300049,0.59,13.18,0.12,-0.07,-0.47,-0.45
18.400024,0.78,7.92,0.43,-0.52,-0.67,-1.31
18.51001,-0.71,10.28,0.9,-0.29,-0.39,-1.5
18.610046,-0.04,7.65,2.39,-0.23,-0.38,-1.8
18.710022,-1.22,9.65,0.94,0.1,-0.12,-0.83
18.809998,-3.06,10.47,5.26,-0.14,-0.45,-0.39
18.910034,1.06,13.38,-2.63,0.29,-0.24,-1.69
19.02002,3.22,8.16,0.59,0.09,-0.28,-1.13
19.119995,-0.08,8.47,0.86,0.34,-0.01,-0.52
19.220032,-0.2,9.96,0.47,0.46,0.23,-0.21
31.640015,2.55,10,0.9,-0.54,-0.25,-0.64
31.75,1.77,9.38,0.86,-0.51,0.13,-0.5
31.850037,0.98,9.26,0.51,-0.34,-0.24,-1.55
31.950012,-0.16,8.98,1.77,-0.23,-0.08,-1.25
32.050049,-0.24,8.47,0.82,-0.38,-0.32,-1.05
32.160034,0.39,9.96,2.67,-0.24,-0.22,-1.49
32.26001,1.84,13.26,-0.75,0.3,-0.26,-0.84
32.360046,2.2,7.18,-0.39,0.03,-0.16,-1.35
32.460022,1.14,9.96,-0.12,0.37,-0.25,-1.07
32.559998,0.98,9.69,-0.08,0.16,-0.05,-0.94
32.660034,0.86,10,-0.12,0.29,0.02,-0.69
32.77002,0.43,10,0.47,0.1,0.02,-0.37
32.869995,0.43,10.87,1.61,0.03,0.11,-0.39
32.970032,0.67,13.1,-0.55,0.37,-0.14,0.33
33.070007,2.71,9.22,-1.06,-0.66,-0.43,-0.95
33.170044,2,11.92,-1.06,-0.37,-0.27,-1.18
33.280029,1.26,8.94,-0.35,-0.47,-0.51,-1.51
33.380005,1.37,9.73,0.98,-0.41,-0.5,-1.79
33.480042,0.35,8.94,1.49,-0.39,-0.44,-1.32
33.580017,-0.04,8.51,1.96,-0.17,-0.12,-1.18
33.679993,-0.98,9.18,1.33,-0.22,-0.37,-0.93
33.790039,1.61,12.16,1.22,0.03,-0.64,-0.47
33.890015,2.16,8.36,-0.94,-0.75,-0.77,-0.62
33.98999,2.39,9.02,1.65,0.5,-0.35,-1.22
34.090027,0.75,8.94,0.55,0.33,-0.13,-0.53
34.190002,0.59,9.69,1.02,0.56,0.11,-0.49
34.300049,0,9.41,0.59,0.24,0.21,0.02
34.400024,1.02,9.92,0.16,0.05,0.15,-0.38
34.5,0.12,14.2,0.63,0.96,0.11,0.44
34.600037,3.65,8.51,1.02,-0.34,-0.44,-0.45
34.700012,1.22,10.71,1.61,-0.66,-0.54,-0.76
34.809998,1.37,8.71,0.67,-0.77,-0.72,-1
34.910034,0.43,9.41,2.08,-0.31,-0.51,-1.13
35.01001,0.35,8.43,2.35,-0.16,-0.14,-1.06
35.110046,-1.49,7.69,2.47,0.44,0.2,-0.53
35.220032,1.73,11.06,2.98,0.11,-0.26,-1.79
35.320007,1.61,12.67,3.41,-0.07,-0.53,-0.15
35.420044,1.45,9.41,-1.49,-0.03,-0.33,-0.12
35.52002,1.8,9.77,1.18,-0.01,-0.1,-1.12
35.619995,-0.27,9.18,0.9,0.63,0.31,0.08
35.730042,-0.04,9.49,1.29,0.35,0.11,-0.45
35.830017,0.12,9.45,0.43,0.16,0.26,-0.05
35.929993,0.47,10.9,2.51,0.21,0.12,-0.17
36.030029,-0.12,12.28,-0.78,0.43,-0.13,0.8
