"NAME:","run_122_3_1.csv"
"EXPERIMENT TIME:","16/03/2024 00:10:56"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","166"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"0.0","-1.92","11.3","2.82","-0.39","-0.52","-0.26"
"0.059","-2.04","11.1","2.51","-0.46","-0.66","-0.31"
"0.129","-1.33","9.53","1.53","-0.57","-0.53","-0.06"
"0.190","-0.82","7.73","2.63","-0.71","-0.37","-0.19"
"0.25","-0.39","8.32","2.31","-0.49","-0.56","-0.39"
"0.309","0.35","11.2","1.69","-0.18","-0.36","-0.36"
"0.379","1.33","13.2","1.69","0.33","-0.15","-0.45"
"2.059","-7.65","19.0","0.78","-2.69","3.28","-0.57"
"2.129","-1.73","16.8","1.49","-1.01","-0.24","-2.22"
"2.190","-7.41","-4.98","-5.30","1.36","4.82","0.67"
"2.569","2.90","-8.20","-1.10","0.18","-0.02","-0.07"
"2.629","-1.61","-4.00","0.16","0.08","-0.39","0.10"
"2.690","2.16","20.0","9.34","-0.39","3.92","-2.58"
"2.759","-6.75","12.0","15.5","-2.93","4.61","0.35"
"2.819","-5.69","12.2","0.08","-1.89","2.69","-1.48"
"2.879","-1.49","2.20","-7.81","1.17","3.15","-0.71"
"2.940","-4.47","-3.26","3.33","0.23","-0.01","0.18"
"3.009","-3.92","1.53","-0.24","-0.68","-0.43","2.59"
"3.069","-8.75","15.8","18.0","-3.49","-0.57","4.28"
"3.129","-2.43","20.0","3.57","-1.22","-3.93","-1.28"
"3.199","-0.71","10.1","-0.63","0.21","-1.68","2.11"
"3.259","5.41","-10.2","-5.77","0.48","-1.75","0.54"
"3.319","-7.96","0.78","10.2","0.23","1.21","0.61"
"3.389","-11.8","4.51","5.37","0.17","-0.09","-2.02"
"3.449","11.3","16.3","-13.4","-0.70","-1.95","0.50"
"3.509","-6.59","16.5","-0.86","-2.45","3.37","-1.44"
"3.569","3.61","16.4","-2.79","-0.73","-1.08","-3.23"
"3.639","-16.9","-9.14","10.6","-0.64","4.99","0.62"
"3.699","0.59","0.47","-5.69","1.04","-1.71","1.64"
"3.759","-20.0","20.0","11.9","-3.59","0.54","2.45"
"3.830","-6.94","20.0","3.10","-0.80","-1.27","-2.02"
"3.889","0.08","17.6","-1.37","1.42","-3.50","0.26"
"3.949","5.02","-3.88","-7.37","1.15","-1.80","0.78"
"4.009","-5.10","4.39","7.22","1.28","0.21","0.28"
"4.080","1.73","-1.29","-6.35","0.95","-1.33","-0.72"
"4.139","8.08","20.0","-7.14","3.36","-1.80","-1.64"
"4.199","-5.61","18.4","0.27","-2.33","3.65","-0.62"
"4.270","-0.27","16.4","-2.08","-1.33","0.49","-2.31"
"4.330","-12.2","-6.39","-1.61","-0.01","4.99","0.57"
"4.389","1.61","-2.59","-4.51","0.77","-1.36","0.78"
"4.459","-9.41","12.6","4.90","-1.56","0.24","1.84"
"4.580","-2.35","19.9","7.53","-0.26","-2.04","0.67"
"4.649","-0.75","3.92","-1.53","0.88","-1.67","0.95"
"4.709","1.77","-3.26","5.06","0.70","1.53","0.52"
"4.770","-3.61","-7.53","-4.43","-0.48","-0.94","0.79"
"4.830","5.49","20.0","0.35","-0.57","4.01","-2.96"
"4.899","-5.88","19.1","12.3","-0.31","4.92","-0.12"
"4.959","-4.63","9.96","4.04","-1.84","1.66","-1.69"
"5.020","0.08","0.20","-10.2","0.51","3.54","-0.11"
"5.089","-6.35","-1.18","0.67","0.72","-0.50","0.55"
"5.149","-13.4","16.4","9.69","-3.15","1.36","2.48"
"5.209","-11.3","16.9","-1.26","1.20","-2.65","-1.30"
"5.270","-0.67","20.0","-1.53","0.78","-3.68","-0.07"
"5.339","-0.75","2.08","0.51","2.01","-1.21","1.06"
"5.459","-0.82","-4.51","-8.43","-0.53","-0.48","-0.17"
"5.529","5.61","20.0","-4.31","4.31","-0.23","-1.57"
"5.589","-3.96","18.4","-0.98","-1.99","2.30","-0.63"
"5.649","-1.18","16.1","-1.22","-0.88","0.42","-2.16"
"5.720","-13.6","-8.67","2.71","0.49","4.97","0.78"
"5.779","-1.80","-1.02","-0.98","0.78","-0.96","1.01"
"5.839","-10.0","0.00","2.47","-1.69","-0.78","3.20"
"5.910","-8.43","7.53","-2.47","2.66","-1.71","0.83"
"5.970","-0.43","20.0","0.94","0.35","-4.29","-0.16"
"6.029","0.31","2.79","-4.94","1.22","-2.71","0.29"
"6.089","2.28","-3.30","-0.63","0.13","0.94","0.19"
"6.160","-5.53","-6.35","-6.08","-0.64","-0.05","0.74"
"6.220","-16.5","20.0","20.0","-2.20","3.55","-3.94"
"6.279","3.84","20.0","-5.81","0.59","-0.28","-1.57"
"6.349","-5.57","15.2","1.84","-2.47","2.19","-1.67"
"6.410","5.18","9.69","-8.98","0.32","0.29","-1.78"
"6.470","-17.0","-9.49","19.3","-0.43","4.26","0.09"
