"NAME:","run_126_3_1.csv"
"EXPERIMENT TIME:","24/03/2024 15:52"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","95"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"579.78","1.10","-0.47","-8.71","0.95","-1.19","0.05"
"579.88","-2.28","-4.47","-12.20","-0.02","-1.63","0.23"
"579.98","-1.92","-2.55","-11.77","0.88","-0.17","-0.68"
"580.08","1.29","-2.47","-14.44","0.28","0.40","-0.25"
"580.18","-4.71","-8.55","-15.22","-1.60","5.32","2.25"
"580.29","3.45","-6.83","-15.14","-0.01","2.02","-3.73"
"580.39","7.14","-0.24","-1.80","1.10","-0.28","4.06"
"580.49","-5.41","-1.06","2.90","2.60","-0.03","2.87"
"580.59","18.55","-11.41","-20.01","-4.34","-10.13","0.25"
"580.70","-10.90","4.31","-11.14","2.20","-0.37","2.74"
"580.80","-8.24","3.84","-16.95","6.98","0.26","9.62"
"580.90","2.39","-2.35","2.55","0.42","1.19","-0.46"
"581.00","7.85","-11.41","-16.75","-0.17","3.30","5.33"
"581.10","3.14","-18.83","-11.34","-2.05","3.07","1.49"
"581.21","11.57","7.22","-13.57","3.92","-1.46","6.54"
"581.31","-6.04","-1.33","1.77","1.31","-0.84","1.87"
"581.41","20.01","-20.01","-1.45","-3.24","-8.42","4.48"
"581.51","-10.36","3.10","-11.85","4.29","1.20","2.22"
"581.61","-11.57","9.77","-15.89","3.78","6.34","-5.47"
"581.72","3.37","11.81","1.80","-0.70","1.30","-4.84"
"581.82","8.59","2.86","-17.57","-1.90","1.67","5.40"
"581.92","18.63","-6.47","-20.01","-2.07","-2.27","-1.08"
"582.02","-4.79","-2.39","-1.61","-0.59","4.73","1.87"
"582.12","-6.63","5.37","-2.75","1.13","-2.00","-1.22"
"582.22","4.55","-3.41","-10.59","3.13","5.98","-1.80"
"582.33","-9.38","-2.71","-20.01","0.58","-6.87","-0.06"
"582.43","-2.98","-3.77","-2.98","2.21","0.09","3.68"
"582.53","-1.73","-4.86","2.86","3.10","3.44","-0.69"
"582.63","-3.49","-20.01","-8.43","-5.68","3.02","-2.61"
"582.73","-0.20","-0.31","-1.26","1.75","4.88","-0.81"
"582.84","-5.30","5.37","4.67","4.92","0.02","4.39"
"582.94","20.01","-1.49","-20.01","-16.35","-18.31","-18.61"
"583.04","-11.77","4.67","-12.32","5.79","2.90","3.12"
"583.14","20.01","-20.01","-20.01","-2.31","-11.48","0.39"
"583.24","-2.75","-1.14","-1.57","1.98","0.15","-3.98"
"583.35","12.71","-20.01","-20.01","-11.11","-0.45","4.96"
"583.45","0.67","-5.14","-14.40","0.90","1.40","-2.00"
"583.55","-7.37","0.35","-2.47","1.94","3.78","3.04"
"583.65","-10.67","-20.01","-20.01","-4.94","-4.49","-0.51"
