"NAME:","run_126_4_1.csv"
"EXPERIMENT TIME:","24/03/2024 15:56"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","125"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"182.69","8.28","13.57","-2.90","-1.77","0.53","-9.13"
"182.79","0.55","0.51","-20.01","-6.96","-1.17","-6.94"
"182.90","-4.12","-18.12","-5.77","2.49","4.59","10.86"
"183.00","-2.12","1.92","0.31","5.09","-0.77","-0.43"
"183.10","-12.71","20.01","20.01","8.11","1.10","5.49"
"183.20","1.41","-15.97","-20.01","-2.64","-2.99","3.25"
"183.30","18.08","-10.43","-20.01","2.50","-3.62","-3.49"
"183.41","-3.84","0.75","4.59","1.29","2.23","0.75"
"183.51","-2.82","4.86","-10.04","3.94","2.10","-1.59"
"183.61","-9.34","-20.01","-20.01","-7.82","7.78","5.91"
"183.71","-0.71","-7.10","0.51","4.76","0.31","0.15"
"183.81","-12.71","3.37","-4.59","10.47","4.22","0.74"
"183.92","-2.00","-18.28","-20.01","-9.45","-10.34","8.56"
"184.02","-8.36","-17.93","-9.61","6.44","0.91","6.32"
"184.12","-0.39","-4.31","8.79","5.69","1.64","7.14"
"184.22","0.39","13.85","-7.85","7.07","-0.32","-2.89"
"184.32","-0.39","-20.01","-18.59","-15.79","-0.05","8.76"
"184.43","-5.61","-6.59","-1.80","6.44","0.62","-6.47"
"184.53","-7.49","10.24","-15.93","10.60","1.36","4.06"
"184.63","-13.65","-5.18","-20.01","-18.01","-10.28","-12.95"
"184.73","-5.57","-11.18","-20.01","4.10","3.67","4.59"
"184.83","1.88","-6.12","-11.14","2.53","1.38","-3.59"
"184.94","-1.92","-0.98","-0.04","1.96","2.35","1.62"
"185.04","-1.77","-8.67","-20.01","-3.57","-2.82","-6.15"
"185.14","-5.96","-5.77","-15.57","1.10","4.09","-3.61"
"185.24","-4.51","6.98","0.51","2.10","3.46","-1.03"
"185.34","-9.22","20.01","20.01","5.71","3.46","3.51"
"185.45","14.83","-20.01","-18.95","-1.37","-5.41","-0.07"
"185.55","1.84","-4.55","-16.95","1.00","-2.13","-0.78"
"185.65","10.83","-4.86","9.53","2.82","2.35","-1.25"
"185.75","-5.33","7.37","-0.86","2.54","4.64","2.25"
"185.85","-8.98","-8.63","-14.28","-5.73","-1.86","11.18"
"185.96","0.16","1.65","-1.37","2.36","5.15","-2.28"
"186.06","-10.40","5.10","-7.14","6.77","3.25","-0.87"
"186.16","-8.43","-20.01","-20.01","-2.73","-8.03","8.36"
"186.26","-5.26","-5.49","-13.49","3.91","0.77","1.17"
"186.36","7.14","-6.32","-15.53","0.91","-2.39","-6.14"
"186.47","-3.37","4.59","2.86","3.03","2.87","-1.18"
"186.57","6.28","-20.01","-20.01","-16.68","-5.29","4.05"
"186.67","1.02","-10.08","-0.12","4.51","0.76","-4.20"
"186.77","-4.43","6.90","2.79","7.75","3.27","4.19"
"186.87","-20.01","-20.01","-20.01","-22.84","2.16","-28.48"
"186.98","2.63","-20.01","-20.01","5.10","-0.26","0.11"
"187.08","1.69","-2.16","-4.86","4.31","1.19","4.69"
"187.18","-1.61","-1.14","5.73","1.84","1.70","1.87"
"187.28","-9.53","-20.01","-20.01","-2.24","-4.34","0.78"
"187.38","0.04","-20.01","-11.61","5.41","2.42","23.91"
"187.49","-3.14","5.10","-7.37","2.28","3.94","-4.63"
"187.59","-7.61","18.28","14.91","6.92","2.08","2.68"
"187.69","0.82","-20.01","-20.01","-4.00","-3.15","2.83"
"187.79","13.42","-1.02","-13.89","3.64","-3.06","-3.17"
"187.89","-0.24","-4.59","0.04","0.22","0.11","0.36"
"188.00","-4.04","-0.98","-14.71","2.01","4.65","2.82"
"188.10","-12.04","-4.43","-13.14","-1.33","9.52","-8.17"
"188.20","0.35","-5.37","-4.59","4.83","-3.40","0.48"
"188.30","-7.14","4.82","-11.49","5.68","0.15","-0.30"
"188.40","9.65","-18.04","-15.73","-7.87","-7.89","5.02"
"188.51","-1.73","-14.83","-16.83","2.71","-3.30","5.73"
"188.61","2.55","-8.39","-8.94","0.60","-1.02","-3.19"
"188.71","-1.80","-5.06","-0.27","2.89","2.87","3.06"
"188.81","6.20","-20.01","-6.83","-0.41","3.88","24.20"
"188.91","-1.73","-0.59","-6.55","2.21","-0.76","-5.01"
"189.02","-6.08","1.29","1.14","7.25","2.88","5.78"
"189.12","-5.49","-4.67","-20.01","-14.10","-12.05","-9.17"
"189.22","-11.18","-8.16","-19.57","3.49","5.13","2.79"
"189.32","-0.12","-11.53","-18.51","2.47","1.05","1.26"
"189.42","0.98","-5.18","-1.37","1.93","2.00","2.02"
"189.53","-3.26","-7.81","-20.01","-6.47","-3.88","-8.42"
"189.63","-4.08","-13.85","-12.32","0.02","1.03","3.17"
"189.73","-2.47","3.06","-0.20","3.41","3.50","-0.06"
"189.83","-3.65","5.77","20.01","3.39","0.55","7.18"
"189.93","20.01","-20.01","-11.73","-1.54","-6.72","3.55"
"190.04","12.87","-1.06","-4.20","2.08","-3.29","-3.53"
"190.14","0.75","1.73","1.73","2.41","-0.05","0.63"
"190.24","-4.59","9.57","-0.71","1.84","3.21","0.01"
"190.34","-13.42","0.24","-16.99","-13.55","6.40","-24.95"
"190.44","7.22","1.26","-5.61","4.51","-0.85","-4.28"
"190.55","-7.85","10.87","-6.71","6.43","2.21","-1.45"
"190.65","1.77","-20.01","-19.97","-3.78","-6.73","14.70"
"190.75","-4.51","-13.65","-16.40","3.03","-1.68","6.35"
"190.85","8.39","-0.08","-6.98","0.73","0.31","1.73"
"190.95","-2.08","-7.45","1.77","2.63","3.01","6.43"
"191.06","-4.31","-20.01","-15.10","-7.16","7.91","-7.86"
"191.16","1.14","-7.88","-5.92","4.19","-1.54","0.25"
"191.26","-3.10","0.27","-3.33","7.08","2.07","6.04"
"191.36","-2.20","20.01","-13.06","-16.12","-11.83","-22.72"
"191.46","-2.47","-19.61","-20.01","2.61","0.58","9.50"
"191.57","0.55","7.69","-1.92","4.70","0.76","-1.72"
"191.67","-0.63","-4.24","2.08","3.43","2.17","7.76"
"191.77","-6.24","7.30","-20.01","-13.33","0.25","-13.28"
"191.87","-3.88","-10.20","-6.28","2.55","0.72","-4.13"
"191.97","-1.41","5.33","-1.45","2.41","-0.45","-5.85"
"192.08","-3.77","9.57","19.57","1.30","-2.59","2.50"
"192.18","0.59","-6.16","-12.20","-0.60","0.74","-1.16"
"192.28","9.38","-2.71","-17.97","2.90","-2.78","-3.95"
"192.38","3.73","6.90","-0.59","-1.29","1.61","-3.77"
"192.48","-9.53","-7.45","-20.01","-0.40","4.66","5.58"
"192.59","-5.49","-19.97","-17.53","0.97","4.84","6.72"
"192.69","7.22","0.59","-2.31","7.25","-4.57","4.92"
"192.79","-6.35","9.45","20.01","4.08","-0.84","0.98"
"192.89","-2.43","-13.73","-19.02","1.21","2.97","10.14"
"192.99","-4.08","-4.86","-13.18","-0.94","-5.13","-4.04"
"193.10","0.35","-4.75","-0.67","1.48","-0.63","3.03"
"193.20","-6.94","5.02","-4.08","1.54","5.85","1.30"
"193.30","-10.43","-1.10","-16.71","-5.56","7.82","-16.38"
"193.40","-0.78","-5.14","-6.79","4.18","-3.46","-0.75"
"193.50","-1.45","-4.08","-1.57","5.37","1.40","6.44"
"193.61","3.53","-14.95","-18.91","-5.05","-9.02","15.54"
"193.71","-7.02","-3.88","-17.34","2.09","-1.45","0.86"
"193.81","3.10","1.18","0.12","2.20","0.74","-1.22"
"193.91","-4.20","1.88","-2.94","-2.30","3.31","-10.17"
"194.01","20.01","-5.92","-20.01","-12.22","-6.04","-19.30"
"194.12","-4.43","-0.90","-1.73","3.51","0.96","-3.97"
"194.22","-3.22","5.22","1.14","5.21","-0.19","2.13"
"194.32","-17.69","-9.26","-20.01","-14.61","-7.70","-22.42"
"194.42","0.04","-5.61","-16.28","1.18","-2.48","-2.52"
"194.52","16.04","-7.10","-5.33","3.76","-3.30","1.40"
"194.63","6.24","3.88","-2.16","-0.36","2.79","-6.70"
"194.73","-10.83","-3.33","-20.01","-5.07","-3.32","-12.52"
"194.83","-0.59","-20.01","-10.83","1.90","2.16","15.49"
"194.93","0.94","-1.26","-2.43","4.10","-0.65","1.20"
"195.03","-12.87","6.24","20.01","5.39","4.33","4.51"
"195.14","-5.57","-10.20","-15.10","2.50","3.21","6.25"
"195.24","6.43","-20.01","-14.59","2.02","0.03","2.86"
"195.34","5.10","-1.65","-9.89","-0.64","0.21","-3.28"
"195.44","-4.71","8.98","-7.26","1.01","4.88","-0.41"
"195.54","-9.02","12.24","-17.06","-7.63","7.16","-25.52"
"195.65","6.94","1.77","-3.57","7.19","-4.05","2.02"
"195.75","-6.35","10.98","-5.14","5.85","1.66","-0.63"
"195.85","15.77","-20.01","-9.30","-13.47","-15.95","-2.96"
"195.95","-6.67","1.29","-16.55","1.33","-2.19","-3.47"
"196.05","0.12","-2.16","-5.14","1.22","0.95","1.44"
"196.16","-3.69","3.49","-6.67","0.50","2.83","-3.79"
"196.26","5.18","-20.01","-15.61","0.38","6.84","16.03"
"196.36","-2.51","-6.08","-5.10","4.18","-2.96","-0.18"
"196.46","-4.04","-0.59","-3.18","4.83","1.16","3.48"
"196.56","1.84","15.53","-10.36","-16.64","-11.56","-20.18"
"196.67","-7.26","-15.49","-20.01","4.16","1.53","6.07"
"196.77","-3.26","-2.86","-10.20","4.05","-0.92","0.31"
"196.87","-8.00","15.53","-4.63","-0.41","3.14","-5.98"
"196.97","-10.36","1.65","-20.01","-12.96","1.07","-9.41"
"197.07","-2.08","-12.28","-5.84","2.26","1.10","1.79"
"197.18","-3.30","2.63","-5.14","1.90","3.82","0.46"
"197.28","-20.01","-17.50","-20.01","-6.81","-3.08","-1.62"
"197.38","5.22","3.18","-20.01","5.21","-5.28","-0.25"
"197.48","2.24","-4.79","-6.51","4.07","0.28","1.43"
"197.58","2.67","10.51","0.16","-0.76","1.35","-6.86"
"197.69","-11.26","-20.01","-20.01","-11.53","1.13","-5.59"
"197.79","-4.79","-20.01","-7.88","4.31","5.75","16.20"
"197.89","1.14","11.26","-5.33","5.31","-2.06","-2.30"
"197.99","-1.18","8.16","12.51","0.57","-4.20","2.35"
"198.09","16.16","-20.01","-17.18","1.10","-1.10","3.34"
"198.20","20.01","20.01","-20.01","3.53","-7.48","-3.92"
"198.30","2.67","-7.81","-2.86","-0.68","-1.31","0.95"
"198.40","-4.24","4.39","-2.31","0.54","4.11","-0.13"
"198.50","-13.77","-9.53","-20.01","-2.30","10.97","-13.87"
"198.60","2.63","2.20","-2.20","4.51","-1.65","-0.15"
"198.71","-9.89","7.77","-9.22","7.76","0.92","0.54"
"198.81","8.79","-20.01","-16.67","-4.66","-9.48","7.59"
"198.91","-5.26","-3.77","-20.01","5.44","-1.96","1.24"
"199.01","0.08","12.40","-9.81","4.01","-1.88","-0.19"
"199.11","-1.26","2.31","5.18","3.42","2.60","2.14"
"199.22","1.65","-8.83","-20.01","-17.44","-2.96","-14.33"
"199.32","-2.12","7.22","-16.36","2.91","1.04","-7.17"
"199.42","-3.06","-1.14","3.37","4.95","2.55","5.41"
"199.52","-4.71","5.84","7.88","1.18","-0.24","7.42"
"199.62","20.01","-20.01","-0.43","3.52","-4.84","0.88"
"199.73","-1.22","-2.04","-20.01","0.97","-0.30","-3.68"
"199.83","4.90","2.67","-0.94","0.08","1.42","-1.70"
"199.93","-11.69","3.69","5.69","0.95","7.21","4.08"
"200.03","-4.24","-18.08","-13.26","-3.04","3.13","-4.78"
"200.13","5.53","4.98","-1.22","2.07","3.73","-2.30"
"200.24","-9.45","7.02","-1.29","3.60","3.13","-2.56"
"200.34","-0.24","-20.01","-20.01","-5.37","-16.32","0.11"
"200.44","-5.18","-6.43","-17.69","4.30","-1.10","0.05"
"200.54","5.69","0.16","-7.73","1.05","0.64","-0.81"
"200.64","-1.77","0.20","1.57","-0.21","1.77","2.01"
"200.75","20.01","-20.01","-10.71","-17.72","-3.56","-1.23"
"200.85","2.94","19.18","-20.01","1.75","-0.33","-10.06"
"200.95","-9.06","2.00","2.59","3.58","7.31","2.41"
"201.05","-6.79","2.28","-11.10","0.30","-2.37","0.84"
"201.15","2.24","15.18","-20.01","4.33","-6.08","-11.88"
"201.26","-0.82","-3.96","-6.04","4.03","-2.83","4.13"
"201.36","3.45","-1.65","-12.83","0.11","0.87","0.04"
"201.46","-4.16","8.00","-2.16","1.40","3.47","-2.83"
"201.56","-20.01","-20.01","-19.89","-1.62","10.48","-11.30"
