NAME:,run_123_1_1.csv,,,,,
EXPERIMENT TIME:,08/03/2024 09:39:29,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,120,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
.0000,-13.02,4.59,3.33,-0.63,0.59,0.29
.0820,-18.51,6.32,5.45,-0.32,-0.93,0.49
.1640,-9.26,2.94,2.82,-0.71,0.04,0.27
.2460,0.16,1.02,-0.47,-0.12,0.61,0.28
.3280,-0.55,10.63,14.32,-0.20,-0.69,-0.56
.4100,-16.95,10.20,8.94,0.30,0.55,-0.24
.4920,-13.77,4.75,3.26,0.42,0.32,0.64
.5740,1.22,-2.59,-1.49,0.38,0.86,0.41
.6560,1.69,2.79,-1.02,0.16,-0.00,-0.75
.7380,-20.01,-2.31,9.14,0.78,-1.40,0.03
.8200,-12.79,4.79,3.45,-1.51,-0.46,-0.04
.9020,-16.91,2.39,3.77,-0.25,-0.07,0.27
.9840,-5.61,0.59,0.82,-0.45,0.84,0.36
1.0660,1.37,0.67,0.31,-0.24,0.56,-0.32
1.1480,-15.10,8.75,7.06,-1.98,-0.09,-0.82
1.2300,-17.85,3.73,4.63,0.28,0.23,0.04
1.3120,-10.28,0.90,1.37,0.85,0.29,0.78
1.3940,3.69,0.12,-0.39,0.11,0.37,0.30
1.4760,-0.86,0.24,-1.37,0.13,0.38,-0.70
1.5580,-16.20,1.06,5.22,0.69,1.18,0.78
1.6400,-20.01,7.53,6.71,-1.62,-1.54,0.70
1.7220,-7.22,3.26,2.82,-1.28,0.46,0.22
1.8040,0.59,1.61,0.63,-0.32,0.82,0.41
1.8860,-1.33,3.22,7.85,0.10,0.06,-0.68
1.9680,-19.77,7.65,9.14,1.01,-0.19,-0.80
2.0500,-15.81,4.43,3.22,0.12,0.21,0.89
2.1320,-3.33,-1.92,-0.35,0.39,0.36,0.41
2.2140,1.02,3.10,-0.67,-0.20,0.24,-0.59
2.2960,-7.26,19.65,20.01,-0.19,-0.88,-0.95
2.3780,-15.53,5.49,3.02,-1.31,0.35,-0.48
2.4600,-14.51,1.73,3.84,-0.65,-0.13,0.29
