NAME:,walk_125_2_2.csv,,,,,
EXPERIMENT TIME:,12/03/2024 7:18,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS: ,100,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0,9.69,0.12,-0.16,0.22,0.02,-0.05
0.05999756,9.65,0.16,-0.2,0.03,-0.01,-0.04
0.11999512,9.81,0,-0.24,-0.04,0.01,-0.02
0.17999268,9.49,-0.04,-0.12,-0.06,0.03,-0.01
0.25,9.81,0.04,0.08,-0.07,-0.02,0
0.30999756,9.85,-0.35,-0.86,-0.14,0.18,0.01
0.36999512,9.38,-0.27,-0.16,-0.11,0.13,0.03
0.42999268,10.12,-0.51,-0.2,-0.06,-0.08,0.01
0.48999023,9.34,-0.71,0.12,-0.1,0.09,-0.08
0.55999756,9.49,-0.31,-0.2,0.38,-0.08,-0.01
0.6199951,9.3,0.04,-0.16,0.16,-0.04,-0.02
0.6799927,8.87,0.35,-0.08,0.2,-0.26,0.07
0.73999023,8.16,0.98,-0.27,0.57,-0.34,0.32
0.80000305,12.75,-1.1,-0.71,-1.36,-0.37,0.54
0.8699951,12.28,-3.45,0.24,-1.43,0.43,-0.07
0.9299927,8.94,-2.2,0.55,1.22,0.59,0.14
0.98999023,8.47,-0.16,0.12,1.94,0.49,0.3
1.050003,9.26,-1.29,0.67,-0.64,0.29,0.26
1.1100006,9.41,-3.18,1.53,-1.29,0.41,0.19
1.1799927,8.47,-3.69,2.28,0.41,0.83,0.11
1.2399902,7.85,-2.43,2.43,1.55,0.61,-0.16
1.300003,9.14,-0.82,2.59,1.65,-0.17,-0.35
1.3600006,14.16,1.29,3.22,0.83,-0.22,-0.3
1.4199982,10.55,0.78,1.92,0.08,0.62,-0.66
1.4899902,9.77,0.31,0.51,-0.47,-0.54,-0.32
1.550003,9.77,1.29,-1.18,0.36,-1.03,-0.12
1.6100006,8.36,1.69,-1.14,-0.55,0.12,0.13
1.6699982,8.36,0.59,-1.33,-1.46,-0.69,0.14
1.7299957,9.06,-0.59,-0.71,-1.93,-0.88,0.15
1.800003,8.28,-0.35,-0.71,-0.47,0.06,0.04
1.8600006,9.06,0.63,-0.47,0.01,-0.05,-0.06
1.9199982,9.3,-0.12,-0.2,-0.96,0.16,-0.34
1.9799957,8.59,-0.94,-0.16,-1.32,0.33,-0.5
2.0399933,10.47,0.63,-0.86,0.41,-0.08,-0.09
2.1100006,11.61,-0.35,-0.94,-1.65,-0.13,-0.23
2.1699982,11.38,-2.43,-0.75,-2.74,0,-0.27
2.2299957,12.04,-0.55,0.16,1.35,-1.57,0.08
2.2899933,14.16,4.12,-3.33,4.86,-0.61,1.02
2.3499908,6.71,1.06,-1.14,-1.61,2.44,-0.49
2.4199982,7.92,-2.35,1.53,-3.41,-0.06,0.83
2.4799957,9.26,-2.12,1.02,1.51,0.23,0.26
2.5399933,7.49,0.35,-0.43,3.72,1.15,0.62
2.5999908,6.12,1.02,0.04,1.47,0.36,0.15
2.6600037,8.28,-1.84,0.63,-0.31,-0.56,0.12
2.7299957,11.85,-1.22,1.02,0.47,-0.3,-0.31
2.7899933,10.24,-1.53,2,2.06,0.48,-0.18
2.8499908,17.38,1.96,-3.37,1.2,-1.04,-0.43
2.9100037,7.37,5.02,1.37,1.02,2.15,-0.92
2.9700012,4.16,-1.45,-1.65,-3.28,1.6,-0.64
3.0399933,11.18,-0.82,3.3,-0.7,-2.5,-0.03
3.0999908,12.67,2.24,-4.04,3.5,-1.14,0.39
3.1600037,5.69,2.24,-1.41,-0.9,1.32,-0.29
3.2200012,7.49,-0.9,-0.51,-2.23,-0.94,-0.12
3.2799988,10.55,-1.49,0.08,-0.78,-0.91,-0.37
3.3499908,8.24,0.86,0.16,1.12,0.89,-0.22
3.4100037,9.92,3.49,-0.16,1.32,0.12,-0.36
3.4700012,9.49,-0.71,-0.71,-3.21,0.09,-0.78
3.5299988,11.57,-3.37,-1.02,-3.17,-0.27,0.48
3.5899963,13.49,-1.26,-2.63,0.87,-1.87,0.13
3.6600037,17.3,3.8,-3.69,5.83,-0.7,1.32
3.7200012,6.47,-0.27,-1.37,-0.4,2.67,-0.53
3.7799988,4.94,-2.63,0.78,-3.21,1.71,0.51
3.8399963,7.26,-2.55,0.2,3.39,-0.7,0.42
3.899994,9.3,0.59,-3.18,6.61,-0.36,0.84
3.9700012,8.12,4.2,-2.9,4.67,0.02,0.08
4.029999,8.55,1.14,-1.29,-1.1,-0.26,-0.42
4.0899963,13.1,-4,1.18,-2.99,-0.76,-0.2
4.149994,12.36,-4.79,1.02,-0.56,0.89,-0.15
4.2099915,16.95,2.31,-2.55,7.2,-0.22,-0.43
4.279999,4.86,2.28,-2.9,2.19,2.73,-0.89
4.3399963,6.79,0.16,1.57,-3.06,0.8,-0.06
4.399994,8.67,0.78,-0.27,2.34,-3.67,-0.03
4.4599915,9.73,2.82,-1.69,1.29,0.15,0.14
4.5200043,7.18,1.22,-1.84,-1.55,0.49,-0.79
4.5899963,9.38,-0.98,-0.67,-2.43,-1.06,-0.44
4.649994,10.87,-1.18,0.59,-0.47,-0.56,-0.38
4.7099915,10.2,-1.1,-2.12,0.34,0.74,0.18
4.7700043,9.69,-0.47,-0.04,-1.82,-0.19,-0.36
4.830002,11.85,-2.39,-2.04,0.58,-0.72,0.75
4.899994,14.67,3.14,-1.61,2.81,-1.83,1.4
4.9599915,13.53,4.16,-2.71,3.46,2.24,0.37
5.0200043,5.37,-1.77,-2.31,-4.89,2.56,-0.72
5.080002,7.02,-4.86,3.53,-1.87,-0.67,0.56
5.1399994,7.06,-0.67,-2.24,6.19,0.16,0.54
5.2099915,6.63,1.53,-1.69,5.2,0.61,0.28
5.2700043,7.77,2.2,0.71,1,-0.57,-0.24
5.330002,14.71,-2.71,1.88,-1.97,-0.98,-0.21
5.3899994,13.02,-1.1,-1.49,-0.1,1.1,-0.42
5.449997,13.18,5.49,-2.59,7.07,-0.45,-0.35
5.5200043,3.14,0.67,-1.29,-2.2,2.14,-0.59
5.580002,7.96,-0.27,3.33,-3.29,-0.09,0.29
5.6399994,11.14,2.28,-2.55,4.49,-3.97,0.19
5.699997,7.3,2.86,-2.79,-0.36,1.07,-0.47
5.7599945,6.43,-1.06,-0.47,-4.14,0.03,-0.85
5.830002,9.3,-2.2,1.33,-2.5,-1.04,-0.61
5.8899994,12,0.27,-2.47,0.9,-0.29,-0.26
5.949997,8.16,-1.49,0.31,-2.05,0.83,-0.37
6.0099945,12.51,-2.79,-0.55,-0.67,-1.14,0.8
6.069992,15.06,1.49,-2.55,2.79,-1.82,1.08
6.1399994,14,3.18,-2.79,3.87,1.89,0.61
6.199997,4.63,-1.49,-0.63,-3.26,2.44,-0.65
