NAME:,run_124_5_1,,,,,
EXPERIMENT TIME:,20/03/2024 10:53,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,189,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0,1.65,15.22,-0.2,0.15,-0.45,0.17
0.099976,2.31,14.28,-1.06,-0.4,-0.95,-0.76
0.200012,-1.37,9.73,4.51,-1.42,0.2,-1.01
0.299988,-1.06,11.85,3.61,-0.71,0.13,-1.85
0.399963,1.65,2.59,1.06,0.99,0.52,0.29
0.51001,-5.88,9.26,1.73,0.49,0.64,0.94
0.609985,3.22,16.36,6.32,-0.16,-1.51,1.4
0.709961,1.18,13.81,-2.79,0.5,0.5,0.78
0.809998,2.63,-2.43,-1.53,-0.49,-0.11,-1.27
0.909973,7.37,20.01,3.8,-0.71,0.49,-1.02
1.019958,3.92,10.47,-2.55,-0.09,1.24,-1.97
1.119995,-1.45,-2.2,-1.33,0.44,0.97,0.64
1.219971,2.79,15.06,6.83,-0.86,-1.03,0.42
1.320007,-0.75,15.49,3.61,0.35,0.37,3.1
1.419983,4.67,12.51,2.12,-0.45,-0.72,0.23
1.529968,2.9,1.26,-4.2,-0.75,0.28,-1.72
1.630005,2.35,20.01,4.98,-1.18,0.02,-1.17
1.72998,0.08,12.87,2.12,-0.07,0.37,-1.24
1.829956,1.69,-1.49,0.94,0.32,0.41,0.37
1.929993,4.24,20.01,-0.94,0.66,-0.85,0.99
2.039978,-11.65,17.5,4.82,-0.58,0.28,2.3
2.139954,6.04,5.49,-1.06,0.57,-1.59,1.27
2.23999,3.73,3.37,-6.51,-0.35,0.32,-2.45
2.339966,-0.08,20.01,8.94,-0.3,-0.48,-0.65
2.440002,-1.33,6.63,2.9,0.48,-0.17,-0.68
2.549988,-1.49,-0.27,0.82,-0.45,0.57,0.37
2.649963,-5.57,11.89,4.67,2.43,-0.14,1.54
2.75,-9.38,10.83,5.26,0.92,0.01,1.04
2.849976,3.61,3.1,-2.28,0.83,-0.67,0.38
2.950012,-3.33,16.44,-0.2,-1.62,0.22,-2.37
3.059998,-1.41,19.34,3.1,-0.81,0.53,-0.77
3.159973,3.84,-3.06,-6.24,0.59,-0.02,0.17
3.26001,2.47,11.85,-2.94,0.01,0.63,0.28
3.359985,2.04,17.85,-2.71,1.07,0.63,1.89
3.459961,3.96,6.32,-2.08,-0.39,-0.3,0.21
3.570007,7.77,1.92,-6.43,-0.87,0.04,-2.48
3.669983,2.39,17.81,8.04,0.45,0.67,-1.03
3.769958,-4.24,0.78,-0.24,0.1,1.25,-0.73
3.869995,-2.28,-7.49,4.79,-0.46,0.07,-0.03
3.969971,19.61,14.59,-5.45,3.28,-1.75,4.46
4.079956,-4.35,15.81,5.49,0.11,-0.41,0.88
6.929993,8.04,-1.1,-1.14,0.14,-1.86,-0.27
7.029968,3.1,0.24,1.57,0.04,0.46,-0.43
7.139954,-0.94,14.2,17.14,-0.16,-0.82,-2.13
7.23999,1.77,6.16,-3.49,-0.13,1.57,0.24
7.339966,-2.43,-5.88,0.59,0.82,0.83,0.35
7.440002,-2.75,12.67,5.02,1.64,-1.48,1.62
7.539978,-5.3,13.42,6.24,-0.35,-0.65,1.45
7.649963,3.41,6.08,-1.06,0.1,-0.9,-0.28
7.75,-0.94,11.53,6.79,-1.37,-1.1,-1.23
7.849976,-3.3,18.2,12.04,-1.37,0.55,-1.17
7.950012,0.71,-1.73,-2.79,0.66,1.26,0.5
8.049988,4.04,8.51,-4.16,0.83,0.18,0.25
8.159973,3.8,20.01,1.96,1.67,1.1,1.35
8.26001,-4.9,12.4,-1.88,0.17,-0.6,1.68
8.359985,1.84,1.37,-2.59,0.27,-1,-1.16
8.459961,3.8,20.01,-4.2,-2.01,1.17,-1.67
8.559998,-4.71,16.99,6,-0.29,0.94,-0.29
8.669983,3.69,-3.26,-2.63,0.19,0.13,0.46
8.769958,12.04,4.79,3.41,-0.1,-0.98,0.15
8.869995,4.55,18.08,1.33,0.01,0.86,1.57
8.969971,0.39,5.96,0.04,0.9,0.87,1.03
9.070007,6.83,2.98,-7.02,0.58,1.45,-1.98
9.179993,4.12,20.01,1.8,-1.16,0.27,-0.41
9.279968,3.65,10.87,-0.12,1.07,1.14,-0.69
9.380005,1.61,-2.86,-2.82,0.68,1.87,0.47
9.47998,2.51,7.26,9.26,-0.75,-0.5,-0.25
9.579956,2.31,17.85,3.49,0.01,1.23,1.23
9.690002,-1.92,6.28,2.31,0.98,1.04,0.72
9.789978,4.67,-2,-3.92,0.14,1.08,-0.76
9.889954,1.02,20.01,5.1,-0.41,2.04,-1.75
9.98999,0.71,6.2,2.71,-0.02,0.14,-1.47
10.089966,-0.24,-2.24,-1.96,1.99,3.28,1.28
10.200012,2.9,20.01,14.24,-1.93,-0.88,-1.56
10.299988,4.59,11.89,3.45,0.01,1.51,1.22
10.399963,-0.9,11.1,2.43,-0.13,2.17,0.96
10.5,1.57,-0.08,0.08,-0.13,1.46,-0.05
10.599976,-5.18,20.01,4.39,-1.66,1.46,-0.53
10.709961,-0.59,9.49,5.73,-0.23,1.06,-0.63
10.809998,-4.59,-2.12,-0.55,1.46,3.04,1.05
10.909973,7.34,-1.61,4.28,-0.62,-0.85,-1.13
11.01001,0.12,20.01,5.45,0.51,3.07,1.59
11.109985,-4.82,9.65,0.86,-0.8,1.35,0.28
11.219971,3.02,-4.39,3.37,0.69,0.83,0.28
11.320007,3.1,20.01,3.1,-2.21,0.99,-1.59
