NAME:,run_124_4_1,,,,,
EXPERIMENT TIME:,20/03/2024 11:03,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,161,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0,-0.67,17.81,-0.43,-0.1,-1.15,0.55
0.100098,1.8,9.92,5.26,-1.46,-1.77,-0.57
0.200073,-6.98,20.01,-8.9,-3.21,4.72,1.49
0.300049,1.37,4.67,-4.35,1.23,-0.4,0.19
0.400024,0.31,-3.57,4.55,1.7,0.82,-0.57
0.51001,5.45,16,7.02,0.01,-0.6,1.15
0.609985,-4.79,16.59,0.43,0.54,0.78,0.61
0.710083,0.16,-5.88,0.63,-0.21,-0.1,-1.43
0.810059,8.87,20.01,3.18,-1.72,-1.1,-2.2
0.910034,-0.08,9.81,-2.59,-0.13,0.58,-1.8
1.02002,-0.04,-0.51,-0.27,-0.88,0.31,0.49
1.119995,0.71,5.22,-2.67,1.57,0.27,-0.41
1.220093,-4.31,20.01,4.94,0.84,-1.08,1.77
1.320068,-6.94,14.44,-4.63,-0.13,0.39,0.59
1.420044,4.82,-1.92,0.55,-0.39,-0.35,-0.26
1.530029,-3.02,12.12,0.98,-0.68,-1.1,-0.93
1.630005,-3.22,19.93,5.18,-0.49,0.26,-1.47
1.730103,1.88,-11.89,5.37,-0.18,0.09,0.01
1.830078,4.39,1.29,8.32,0.45,0.05,0.6
1.930054,4.35,18.12,5.96,0.68,-0.54,3.57
2.040039,-9.18,12.91,2.9,-0.93,1.35,-0.25
2.140015,0.78,-3.37,0.59,-0.13,0.4,-2.36
2.440063,3.69,-6.12,4.08,0.71,-0.71,0.21
2.550049,3.1,20.01,-6.47,0.99,-1.33,0.51
2.650024,-2.59,15.85,9.14,1.01,0.29,3.09
2.75,4.86,7.1,0.27,-0.96,-1.07,1.35
2.850098,6,1.69,-7.41,1.04,1.31,-1.32
2.950073,5.49,20.01,1.65,-0.79,-0.42,-1
3.77002,-1.14,5.41,-0.16,-0.25,0.27,1308.25-1.37
5.400024,12.75,20.01,-2.28,1.35,-0.71,1.08
5.5,-0.94,9.92,5.69,1.55,0.03,2.38
5.609985,-0.47,9.41,1.37,-2.27,-0.95,0.93
5.710083,5.18,-1.29,-3.96,-0.21,0.45,-2.28
5.810059,7.85,20.01,6.32,-0.43,-0.1,-0.05
5.910034,-1.69,9.53,-0.55,-0.36,-0.08,-0.85
6.01001,-0.24,-3.18,-1.06,0.46,-0.49,-0.25
6.119995,1.14,3.69,7.14,0.57,0.36,0.3
6.220093,0.59,20.01,-2.79,1.66,-0.22,1.95
6.320068,-5.81,7.53,0.39,-0.44,0.41,0.86
6.420044,1.33,0.82,0.31,-1.07,-0.51,-1.4
6.52002,6.28,17.61,0.9,-1.16,0.42,-0.86
6.630005,1.06,20.01,6.35,-0.62,0.59,-1.34
6.730103,-1.96,-0.16,-1.37,0.64,0.41,-0.38
6.830078,2.98,-0.86,4.51,0.93,-0.28,0.34
6.930054,6.51,16.63,9.34,-2.8,-0.53,3.22
7.030029,-8.71,10.43,1.77,0.38,0.1,-0.09
7.140015,3.06,1.14,-0.63,-0.56,-0.18,-0.54
7.23999,-3.14,17.06,8.2,-2.79,1.19,-0.69
7.340088,2.71,16,0.47,-0.88,0.84,-1.85
7.440063,3.37,1.41,-4.39,0.42,0.88,-0.52
7.540039,-0.98,-1.96,2.82,1.65,0.32,1.07
7.650024,-11.06,9.89,9.1,1.64,-0.52,1.33
7.75,-8.2,13.45,1.92,0.71,-1.4,0.68
7.850098,1.57,-1.06,6.35,0.67,-0.48,-0.54
7.950073,-3.84,0.47,5.02,-0.64,-1.01,-1.32
8.050049,-3.3,19.97,15.3,-1.21,0.53,-1.46
8.160034,-0.08,3.3,-1.14,0.12,0.84,-0.45
8.26001,1.18,-2.24,0.47,0.44,0.26,0.61
