NAME:,run_125_1_1.csv,,,,,
EXPERIMENT TIME:,12/03/2024 6:04,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS: ,30,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
0,9.57,-0.31,0.27,0.36,0.08,-0.11
0.05999756,9.14,-0.47,0.08,0.01,0.02,-0.06
0.120025635,9.65,-1.26,-0.31,-0.34,0.02,-0.04
0.19000244,9.57,-1.69,-0.39,-0.31,-0.01,-0.15
0.25,9.69,-1.65,-0.39,0.16,0.07,-0.2
0.30999756,9.41,-1.29,-0.43,0.24,0.01,-0.26
0.37002563,9.77,-1.92,-0.16,-0.04,-0.04,-0.25
0.4300232,9.45,-0.94,-0.2,0.75,-0.03,-0.27
0.5,9.1,0.27,-0.86,0.93,-0.3,-0.37
0.55999756,8.71,-0.35,-0.9,-0.44,-0.06,-0.07
0.62002563,8.71,-2,-0.86,-0.18,0.11,0.14
0.6800232,9.77,-1.26,-2.43,0.35,0.23,0.22
0.74002075,9.41,-1.29,-0.59,0.15,0.35,0.04
0.80999756,14.16,-4.16,-0.94,-2.52,-0.42,-0.6
0.87002563,14.71,-3.8,-2.04,-0.86,-0.1,-1.76
0.9300232,11.34,-3.18,-2.16,-0.24,0.24,-1.27
0.99002075,2.08,-0.67,0.24,-0.55,1.42,-1.5
1.0500183,-0.59,-1.73,-0.78,4.24,1.94,1.62
1.1200256,10,3.22,1.65,3.94,-1.38,3.4
1.1800232,20.01,3.14,-11.57,3.43,1.51,-2.06
1.2400208,6.24,0.08,2.86,-2.41,2.38,-0.8
1.3000183,20.01,-5.06,-1.96,-2.63,-2.76,1.17
1.3600159,6.51,-2,3.92,0.97,3.27,0.97
1.4300232,-0.08,-0.67,-1.06,2.1,3.29,0.26
1.4900208,-2.98,2,-1.18,3.16,4.46,0.22
1.5500183,-6.04,2.67,-3.73,0.19,0.26,2.19
1.6100159,20.01,19.97,-7.77,4.18,-12.31,5.66
1.6700134,2,-3.3,4.51,-12.41,4.13,-1.27
1.7400208,11.81,-13.85,11.02,-5.55,-1.81,-3.45
1.8000183,15.97,-4.94,-2.55,5.88,-1.65,-0.71
1.8600159,14.95,-2.08,-3.3,-2.09,-0.49,-1.83
1.9200134,13.53,-2.82,1.65,-1.97,0.6,-2.05
1.980011,-0.16,0.04,0.27,1.43,2.08,-1.25
2.0500183,-4.79,-0.94,-1.29,1.5,5.36,-0.78
2.1100159,-4.08,-0.27,2.86,3.4,4.75,1.32
2.1700134,18.63,4.24,7.02,4.04,-11.3,9.7
2.230011,20.01,-2.04,-8,-4.6,6.15,-1.56
2.2900085,15.61,-3.73,-0.04,-6.89,0.28,-1.56
2.350006,9.02,-3.49,1.96,0.57,2.55,1.35
2.4200134,-0.63,-0.12,-1.61,4.18,3.34,2.27
2.480011,-5.77,4.59,-0.35,6.74,6.5,1.46
2.5400085,-6.79,2.59,-3.61,-0.8,-1.79,3.92
2.600006,18.55,0.86,-18.51,-1.22,-7.58,2.44
2.6600037,1.33,-7.06,8.67,-10.52,8.41,1.09
2.730011,10.63,-12.43,5.88,-6.38,2.67,-3.99
2.7900085,20.01,-9.06,-6.35,4.83,-2.75,-2.11
2.850006,10.94,-2.75,-3.14,0.61,0.13,-1.3
2.9100037,6.04,-0.43,3.06,0.43,1.52,-2.36
2.9700012,-3.92,0.24,-0.75,1.65,3.83,0.02
3.0400085,-3.26,1.06,0.51,1.6,6.73,0.24
3.100006,0.47,-0.16,-3.14,5.75,0.98,4.15
3.1600037,20.01,8.43,-3.73,2.8,-21.14,10.15
