"NAME:","run126_1_1.csv"
"EXPERIMENT TIME:","24/03/2024 15:48"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","60"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"361.60","-3.02","-3.37","-1.18","-0.22","0.00","-8.21"
"361.70","1.73","-15.22","-9.30","-3.73","1.17","-3.54"
"361.80","2.04","4.51","-11.41","0.99","1.90","-0.68"
"361.90","-18.04","-0.78","11.69","-2.14","2.65","-0.92"
"362.01","1.02","-20.01","-20.01","-3.51","0.31","3.36"
"362.11","-12.59","-4.12","-9.85","2.36","-3.59","2.06"
"362.21","4.79","13.89","-11.26","7.64","2.09","-6.50"
"362.31","2.16","1.33","6.59","-1.01","3.94","-0.43"
"362.41","10.28","-13.96","-14.40","-2.57","5.52","0.22"
"362.52","6.67","-9.10","-10.32","-1.00","2.01","-1.89"
"362.62","-3.22","2.24","0.94","-1.15","1.87","2.14"
"362.72","0.16","-7.41","-6.63","0.17","-7.63","0.00"
"362.82","-11.69","-3.41","-1.96","-0.14","3.06","1.89"
"362.92","4.04","-12.75","-17.34","0.81","-3.45","0.57"
"363.02","6.94","-3.41","-0.82","1.67","2.02","8.79"
"363.13","-1.84","3.18","-2.35","-1.86","-1.32","-2.85"
"363.23","7.30","-20.01","-18.51","-3.42","3.73","0.62"
"363.33","4.86","6.55","-9.89","2.48","1.74","-0.52"
"363.43","-9.96","-4.86","9.34","-1.56","-2.30","-2.47"
"363.54","-0.86","-14.47","-20.01","0.84","-3.66","0.11"
"363.64","-15.49","-10.12","-9.41","1.66","-3.81","2.81"
"363.74","8.00","16.71","-19.22","7.41","-2.33","-3.33"
"363.84","-0.59","0.39","1.26","0.78","-0.74","0.23"
"363.94","7.18","-1.69","-13.45","-2.50","3.29","2.56"
"364.05","3.69","-8.94","-13.26","-1.65","1.52","-2.66"
"364.15","-4.47","3.45","4.47","-0.42","3.75","2.92"
"364.25","-4.63","-3.96","-4.35","-1.01","-7.80","-4.30"
"364.35","-13.45","3.02","2.31","1.14","4.83","-0.88"
"364.45","13.53","-11.61","-20.01","3.39","-9.93","-3.00"
"364.55","-1.57","3.26","-9.22","-0.94","3.36","9.59"
"364.66","0.00","-10.20","8.43","-2.77","-0.81","-2.43"
"364.76","3.26","-14.83","-10.71","-3.02","1.84","-4.89"
"364.86","-0.82","6.86","-2.59","1.53","3.69","1.22"
"364.96","-15.06","-5.45","3.88","-1.87","-2.43","-4.43"
"365.07","-1.29","-3.84","19.97","-4.32","9.99","-6.82"
"365.17","-10.67","-10.51","-20.01","1.07","-7.52","0.35"
"365.27","-8.36","15.02","-1.02","2.42","6.75","-8.68"
"365.37","5.69","8.47","6.79","-1.51","-1.57","-3.80"
"365.47","18.59","-20.01","-20.01","-5.12","6.14","8.02"
"365.58","7.65","-2.04","-13.77","-0.28","1.19","-3.93"
"365.68","-4.00","-3.53","-0.67","-1.88","2.02","1.37"
"365.78","-3.88","-4.20","0.35","1.62","-2.71","3.58"
"365.88","-20.01","1.84","-6.83","2.16","9.50","-2.93"
"365.98","9.77","-1.49","-17.81","3.09","-7.79","-0.11"
"366.08","1.77","-1.29","-6.98","0.79","-0.08","4.03"
"366.19","-7.49","-7.49","0.39","-1.69","3.10","6.25"
"366.29","-3.80","-15.42","-1.80","-5.15","3.61","-6.80"
"366.39","8.59","13.77","-13.93","1.92","2.98","2.91"
"366.49","-11.61","-4.82","7.34","-0.42","-0.24","-3.06"
"366.60","11.85","-3.88","0.43","-5.69","-4.71","-8.00"
"366.70","-11.77","-2.47","-20.01","1.94","-8.77","-1.31"
"366.80","-1.26","7.85","-18.79","7.14","1.74","-2.49"
"366.90","-1.73","4.86","5.65","0.22","-1.41","-4.11"
"367.00","-9.85","-4.59","6.98","-4.69","8.13","4.32"
"367.11","5.88","-2.00","-14.12","-2.00","1.38","-5.73"
"367.21","-3.53","4.12","4.63","-0.81","3.52","1.62"
"367.31","1.41","-9.30","6.90","0.97","-4.86","4.45"
"367.41","-1.73","-17.53","-13.14","0.86","2.16","3.39"
"367.51","-8.94","-7.92","-20.01","1.19","-9.96","1.23"
"367.61","-15.97","10.24","-7.41","0.41","7.00","5.22"
"367.72","-2.75","16.04","4.04","-1.98","-0.05","-6.28"
"367.82","7.96","-20.01","-20.01","-4.49","2.70","3.79"
"367.92","3.37","0.35","-19.42","1.81","1.26","-1.33"
"368.02","-11.18","-7.49","4.28","-2.63","4.50","1.21"
"368.12","-4.39","0.20","-14.44","-1.25","-3.36","-6.52"
"368.23","-20.01","11.61","-20.01","4.09","7.49","-1.68"
"368.33","-7.18","-6.83","-20.01","1.20","2.23","4.97"
"368.43","0.51","-5.81","-1.80","-0.37","-1.19","-0.12"
"368.53","-4.67","-7.45","-5.84","-3.05","2.80","8.29"
"368.64","8.24","-11.92","-13.38","-2.33","1.45","-6.28"
"368.74","-0.27","4.71","-5.61","1.65","4.19","3.67"
"368.84","-8.36","-5.18","10.32","-1.50","-1.55","-1.93"
"368.94","9.85","-20.01","-20.01","-5.67","-9.70","-4.31"
"369.04","-14.71","1.41","-8.36","1.93","-2.16","1.14"
"369.14","-1.84","5.57","-20.01","7.96","0.97","-8.49"
"369.25","6.90","9.34","1.69","-0.90","-4.13","-6.35"
"369.35","10.98","3.18","-18.01","-1.70","2.47","2.26"
"369.45","6.35","-1.49","-13.42","-1.09","0.79","-6.61"
"369.55","0.12","3.73","3.84","-1.72","4.22","2.06"
"369.65","-4.59","-5.69","-2.82","-0.76","-3.75","0.89"
"369.76","7.92","12.20","-20.01","2.22","-0.47","-3.61"
"369.86","-5.92","-17.93","-20.01","-0.11","-6.95","1.96"
"369.96","0.90","6.08","-12.40","1.01","2.06","6.71"
"370.06","-5.88","16.67","6.24","-2.35","-0.70","-8.63"
"370.17","18.40","-16.75","-19.34","-6.06","-0.21","1.55"
"370.27","3.45","-0.43","-20.01","1.82","1.93","-0.16"
"370.37","-10.87","-5.84","1.14","-4.10","3.35","1.74"
"370.47","-3.69","-6.08","4.98","1.36","-1.88","0.71"
"370.57","-18.99","10.87","-16.87","6.53","8.82","0.77"
"370.67","7.57","-14.36","-12.83","1.92","-3.14","-7.82"
"370.78","4.31","1.22","5.65","0.09","-0.12","2.83"
"370.88","-5.37","-1.77","-4.51","-1.72","3.26","5.70"
"370.98","1.10","-14.83","-7.81","-4.48","2.62","0.86"
"371.08","-0.86","4.94","-4.08","0.61","4.21","1.07"
"371.18","-10.83","-1.29","3.96","-0.11","-4.15","-2.96"
"371.29","20.01","-20.01","-20.01","-7.44","-9.36","5.79"
"371.39","-20.01","-5.53","-12.40","2.57","-1.89","4.17"
"371.49","6.00","5.30","-19.89","1.76","1.77","0.54"
"371.59","1.29","1.65","9.02","-0.13","-1.69","-4.44"
"371.70","-17.14","-20.01","0.90","-4.56","9.91","7.57"
"371.80","8.51","-5.41","-20.01","-0.68","1.24","-5.16"
"371.90","-2.16","-3.30","2.24","-2.12","4.53","2.98"
"372.00","-3.33","-3.14","-3.26","2.81","-3.55","7.34"
"372.10","2.51","-17.34","-11.65","-0.87","5.77","4.48"
"372.20","-7.18","-14.08","-20.01","0.18","-9.96","-2.68"
"372.31","5.92","6.75","-5.92","1.69","5.99","-0.68"
"372.41","-0.67","-0.63","5.81","-2.47","-0.01","-2.19"
"372.51","-19.97","-5.77","-14.95","-6.52","4.26","6.39"
