"Name:","run_127_3_1"
"EXPERIMENT TIME:","15/03/2024 20:37"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","134"

"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"0.0","-0.24","3.45","-10.87","-0.22","0.19","-0.89"
"3.336","1.69","2.79","-6.59","-0.41","0.47","0.54"
"3.386","2.55","3.88","-9.96","-0.16","0.57","0.41"
"3.536","1.26","2.86","-11.53","0.09","0.03","-0.09"
"3.586","0.27","2.47","-14.83","0.12","-0.23","0.32"
"3.636","2.47","4.55","-11.73","-0.13","-0.36","0.47"
"3.686","6.08","6.94","-10.2","-0.44","-0.7","0.28"
"3.736","3.26","0.24","-8.12","-0.22","-0.54","-1.08"
"3.786","5.65","4.31","-16.95","0.43","-0.06","-0.76"
"3.836","0.27","0.82","-17.38","0.68","-0.16","-0.56"
"3.886","-0.27","2.28","-18.04","1.24","-0.4","0.25"
"3.936","-2.82","0.98","-10.9","-0.14","-0.03","1.13"
"3.986","-0.51","4.79","-3.84","-0.71","-0.37","0.96"
"4.036","0.39","1.8","0.67","-0.56","-0.86","-0.55"
"4.186","10.08","9.85","-14.79","-2.05","1.48","1.31"
"4.236","-1.14","4.39","-17.26","-0.54","0.75","-1.03"
"4.286","-2.47","5.92","-18.32","1.08","0.9","0.3"
"4.336","2.28","6.98","-12.24","0.65","0.56","0.34"
"4.386","2.28","4.47","-11.1","0.02","0.95","0.28"
"4.436","0.51","-0.35","-4.9","-0.13","-0.73","-1.01"
"4.486","3.18","1.96","0.08","0.07","-0.77","-0.46"
"4.536","0.9","-2.79","-5.92","0.51","-0.96","-1.12"
"4.586","7.65","2.67","-6.51","-0.33","-0.34","0.02"
"4.636","2.82","2.04","-20.01","0.66","-0.48","-1.29"
"4.836","1.02","2.51","-1.06","0.1","-0.53","0.23"
"4.886","0.0","-3.1","5.69","-0.1","-0.57","-0.67"
"4.936","4.75","0.0","-10.36","0.39","0.24","-0.57"
"4.986","2.35","3.53","-10.28","-1.72","0.64","2.21"
"5.036","-5.14","4.24","-20.01","0.54","0.63","-1.57"
