NAME:,walk_124_3_2,,,,,
EXPERIMENT TIME:,20/03/2024 10:32,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,96,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
15.200073,2.94,11.1,0.63,-0.08,-0.64,-0.4
15.300049,0.67,8.83,0.2,-0.48,-0.83,-0.17
15.410034,0.51,11.06,0.63,-0.33,-1.39,-0.21
15.51001,0.35,7.73,0.75,-0.54,-1.42,-0.31
15.609985,-2.31,7.96,1.69,-0.2,-0.94,-0.53
15.710083,3.88,16.04,0.12,-0.5,-0.98,-0.52
15.810059,2,8.2,-0.08,-0.04,-0.04,-0.1
15.920044,1.49,9.69,0.9,0.34,-1.29,0.1
16.02002,0.86,9.18,0.51,0.64,-0.44,0.42
16.119995,0.86,10.08,-0.31,0.48,-0.51,0.22
16.219971,1.1,9.53,-0.16,0.07,-0.44,0.17
16.320068,0.39,10.36,0.9,0.12,-0.11,0.22
16.430054,0.55,13.57,-0.9,0.61,0.68,0.19
16.530029,4.2,10.16,0.08,-0.34,-1,-0.23
16.630005,0.78,10.94,-1.1,-0.31,-0.79,-0.41
16.72998,1.88,8.98,-0.35,-0.51,-1.54,-0.54
16.830078,0.94,9.26,0.55,-0.47,-1.59,-0.33
16.940063,0.51,8.79,0.86,-0.31,-1.21,-0.04
17.040039,0.55,10.12,1.29,-0.23,-0.88,-0.31
17.140015,-0.63,9.96,3.26,0.34,0.37,0.28
17.23999,4.86,11.89,-3.69,-0.33,-0.15,-0.78
17.339966,4.12,8.32,0.31,0.36,-0.25,0.08
17.450073,1.33,8.28,1.02,0.47,0.47,0.55
17.550049,0.78,9.69,0.24,0.54,0.42,0.29
17.650024,1.06,8.98,0.63,0.42,0.36,0.02
17.75,0.75,9.38,-0.63,0.34,0.47,0.2
17.849976,-0.04,11.34,1.77,0.7,1.08,0.15
17.960083,5.1,11.53,0.04,0.68,0.32,-0.3
18.060059,5.3,11.06,1.84,0.09,0.95,-0.37
18.160034,0.47,8.16,-0.59,-0.3,0.58,-0.11
18.26001,1.33,9.77,2,-0.24,0.19,0.38
18.359985,-0.78,8.32,1.8,-0.13,0.4,0.06
18.469971,1.1,8.51,2.47,0.17,-0.62,0.08
18.570068,0.98,12.83,3.06,0.11,0.63,-0.24
18.670044,2.82,12.04,-2.16,-0.3,0.71,-0.22
18.77002,3.22,8.79,0.16,0.22,0.5,0.38
18.869995,1.41,8.79,-0.04,0.52,0.82,0.5
18.97998,0.43,10.55,0.43,0.64,0.76,0.25
19.080078,-0.24,9.49,0.43,0.42,0.56,0.22
19.180054,0.47,10,0.08,-0.13,0.17,0.26
19.280029,1.18,10.9,1.29,0.13,-0.31,0.17
19.380005,3.96,12.36,-2.47,0.73,-0.02,-0.13
19.48999,3.37,7.49,-0.27,-0.83,-0.87,-0.61
19.589966,1.45,9.1,-0.9,-0.05,-0.32,-0.48
19.890015,0.27,9.18,0.82,0.02,-0.3,-0.09
20,0.43,12.47,1.29,-0.01,0.02,0.01
20.099976,2.86,11.1,-1.37,-0.31,0.23,-0.37
21.02002,1.22,8.2,-0.86,-0.76,0.81,2
21.119995,0.47,8.24,1.29,0.06,0.99,0.33
21.219971,0.35,7.57,2.2,0.63,1.05,0.31
22.339966,3.57,10.71,-0.16,-0.06,1.24,-0.32
22.650024,-0.43,8.71,0.39,0.28,0.89,0.16
22.75,1.41,10.94,0.67,0.42,-0.43,0.05
22.849976,0.16,11.96,3.33,-0.07,0.61,-0.29
22.950073,4.43,12.75,1.41,-0.48,0.53,-0.42
23.050049,2.9,6.94,-1.61,0.14,1.23,-0.13
23.160034,2.75,10.28,-1.26,0.67,1.35,0.29
23.26001,1.65,8.71,-0.71,0.64,1.82,0.4
23.359985,1.1,9.57,-0.27,0.76,1.87,0.42
23.460083,0.43,10.2,-1.02,0.64,1.65,0.02
23.560059,1.1,10.32,0.08,0.41,0.56,0.35
23.670044,1.57,13.14,0.04,0.4,1.68,0.07
23.77002,3.41,9.38,-1.02,-0.19,0.49,-0.21
23.869995,1.8,11.14,-2.24,-0.08,0.74,-0.38
23.969971,-0.2,7.49,-0.24,-0.61,-0.41,-0.4
24.070068,0,9.3,1.1,-0.25,-0.22,-0.03
24.180054,0.78,9.89,0.59,0.3,0.11,0.08
24.280029,-0.2,10.2,3.33,-0.23,-0.71,-0.01
24.380005,0.35,15.38,4.79,0.02,0.45,-0.54
24.47998,2.47,8.79,-1.92,-0.57,0.24,-0.41
24.589966,1.73,8.83,0.04,0.38,-0.1,0.22
24.690063,0.27,10,-0.24,0.04,0.01,0.36
24.790039,0.78,9.89,-0.43,0.35,0.17,0.4
24.890015,0.35,9.69,0.04,0.31,0.29,0.4
24.98999,0.71,10.2,0,0,0.05,0.01
25.099976,0.35,12.36,1.41,0.71,0.8,0.14
25.200073,1.8,12.59,-5.96,1.17,0.66,-0.1
25.300049,2.04,10.12,-1.49,-0.37,-0.7,-0.31
25.400024,0.86,9.45,-1.29,-0.38,-1.05,-0.28
25.5,0.71,9.77,-0.67,-0.38,-1.43,-0.24
25.609985,0.08,7.69,0.98,-0.27,-1.39,0.23
25.710083,-0.27,9.61,-0.63,0.02,-0.6,-0.22
25.810059,0.9,15.49,1.1,-0.26,0.22,-0.36
25.910034,2.59,8.94,-2.82,-1.17,-0.24,-0.56
26.01001,1.73,8.32,0.12,0.67,-0.48,0.27
26.119995,0.82,9.06,0.27,0.18,0.1,0.39
26.219971,0.43,9.77,0.43,0.34,0.16,0.4
26.320068,0.78,10.08,0.51,0.33,0.3,0.37
26.420044,0.63,10.59,1.06,0.09,0.14,0.18
26.52002,1.33,13.02,-0.16,0.73,0.97,-0.06
26.630005,3.88,10.32,-0.39,0.06,0.07,0.07
26.72998,1.84,11.73,-1.02,0.04,0.48,-0.19
26.830078,1.53,7.41,-0.24,-0.52,-0.84,-0.2
26.930054,0.27,9.18,1.18,-0.25,-0.52,-0.09
27.030029,-0.55,9.77,1.14,0.2,-0.13,-0.02
27.140015,1.02,10.75,2.98,-0.37,-1.18,0.05
27.23999,4.35,13.57,-1.02,-0.05,0,-0.58
27.339966,2.16,8.63,-1.18,-0.26,0.38,-0.44
27.440063,1.53,9.69,0.27,0.66,-0.23,0.55
27.540039,-0.2,9.96,-0.43,0.29,-0.15,0.37
27.650024,0.35,8.79,0.47,0.3,-0.34,0.14
27.75,0.67,9.57,-1.02,0.17,-0.18,0.09
27.849976,0.9,12.24,1.61,0.18,-0.01,0.32
27.950073,1.69,12.51,-3.53,0.71,0.75,-0.57
28.050049,2.35,9.85,-0.63,-0.39,-0.7,-0.26
28.359985,-0.24,8.43,1.61,-0.21,-1.5,-0.04
28.460083,0.12,10.83,-0.08,-0.56,-1.49,-0.1
28.560059,0.59,13.02,2.43,-0.43,0.03,-0.41
28.670044,1.77,10.98,-2.94,-0.06,-0.39,-0.62
29.47998,0.94,10.98,-2.63,-0.54,-1.58,98-0.50
29.580078,2.08,9.18,-1.14,-0.61,-2.27,-0.35
31.619995,1.57,8.9,-1.45,-0.67,-0.3,-0.28
31.72998,1.26,9.89,0.16,0.57,-0.96,0.3
31.830078,-0.31,9.06,0.31,0.45,-0.4,0.28
31.930054,0.35,9.92,-0.59,0.65,-1.08,0.28
32.030029,0.12,9.65,-1.06,0.11,-0.41,0.23
32.130005,0.9,10.87,-0.55,0.19,-0.54,0.18
32.23999,0.75,13.77,-1.96,0.8,0.36,-0.2
32.339966,2.59,10.36,-1.1,-0.63,-0.71,-0.02
32.440063,1.33,9.65,-1.96,-0.45,-0.83,-0.36
32.540039,0.98,8.55,-0.75,-0.42,-1.33,-0.43
32.640015,0.75,9.41,-0.08,-0.17,-1.05,-0.15
32.75,0.27,8.59,-0.51,-0.12,-0.87,0.33
32.849976,-1.02,10,1.41,-0.27,-0.51,0.04
32.950073,3.3,15.53,-2.35,0.55,0.2,-1.17
33.050049,2.67,9.53,-1.14,-0.72,-0.42,-0.34
33.150024,2.71,8.71,0.71,0.31,-0.51,0.15
33.26001,0.98,9.53,-0.35,0.29,0.42,0.51
33.359985,-0.2,9.81,0.27,0.64,0.96,0.38
33.460083,1.02,10,0.04,0.1,0.08,0.11
33.560059,0.2,10.98,1.1,0.3,0.81,0.23
33.660034,2,11.85,0.12,0.62,1,0.11
33.77002,4,10.55,1.65,-0.13,0.73,0.11
33.869995,2.24,9.49,-3.26,-0.41,1,-0.34
33.969971,1.33,7.61,0.75,-0.39,-0.15,0.33
34.070068,0.67,8.87,2,0.33,0.55,0.41
34.170044,1.8,11.02,1.45,0.13,0.37,0.3
34.280029,3.37,12.59,3.06,-0.04,0.13,-0.21
34.380005,3.77,9.18,-1.1,-0.12,0.96,-0.37
34.47998,2.35,9.89,-0.12,0.31,0.37,0.13
34.580078,1.33,9.38,0.12,0.41,0.7,0.16
34.680054,0.43,9.85,-0.31,0.66,0.39,0.22
34.780029,1.22,9.61,-0.04,0.33,-0.17,0.23
34.890015,0.51,9.65,-0.75,-0.01,-0.03,0.08
34.98999,1.49,12.55,1.1,0.19,0.19,0.09
35.089966,4.2,10.24,-0.98,-0.24,-0.46,0.15
35.190063,2.31,11.89,-0.67,-0.28,-0.13,-0.28
35.300049,1.84,7.96,-1.06,-0.74,-1.23,-0.45
35.400024,1.29,8.16,1.37,-0.46,-1.33,-0.16
35.5,0.63,8.9,2.12,0.24,-0.73,0.19
35.599976,0.78,10.28,1.88,-0.02,-0.88,-0.06
35.700073,4.94,14.4,1.53,0.1,-0.47,-0.35
35.810059,4.71,8.08,-3.14,-0.47,0.2,-0.24
35.910034,2.98,8.63,0.24,0.6,0.81,0.18
36.01001,1.14,9.61,0.16,0.61,1.27,-0.22
36.109985,1.18,8.83,-0.47,0.28,0.86,0.07
36.210083,1.14,9.49,0.94,0.31,0.59,0.32
36.320068,-0.31,10.63,-0.16,0.31,1.1,-0.3
36.420044,2.94,11.92,1.49,0.33,1.07,0.09
36.52002,3.3,10.79,1.41,-0.09,1.04,0.15
