NAME:,walk_123_5_1,,,,,
EXPERIMENT TIME:,08/03/2024 09:38:01,,,,,
ACTIVITY TYPE:,Walking,,,,,
COUNT OF ACTUAL STEPS:,120,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
.0000,-10.51,4.35,4.43,-0.47,0.24,-0.78
.0820,-10.51,5.45,3.84,-0.00,-0.03,-0.58
.1640,-8.47,2.43,2.20,-0.02,0.30,0.23
.2460,-8.04,3.18,2.04,-0.38,0.31,0.30
.3280,-8.59,3.10,1.84,-0.34,0.07,0.23
.4100,-8.90,2.04,1.53,-0.44,-0.10,0.14
.4920,-9.18,3.02,1.92,-0.71,-0.15,0.08
.5740,-11.30,2.55,1.02,-0.48,-0.03,0.09
.6560,-9.81,1.88,0.67,-0.79,0.69,0.15
.7380,-12.98,11.18,8.20,0.75,-0.63,0.40
.8200,-7.10,1.41,3.92,-0.12,0.48,-0.12
.9020,-8.90,4.98,4.47,-0.01,-0.52,0.12
.9840,-8.39,2.79,3.57,0.21,-0.30,-0.15
1.0660,-8.16,2.82,3.22,0.18,-0.40,0.14
1.1480,-8.67,3.26,2.94,0.33,-0.21,0.13
1.2300,-9.06,3.37,2.35,0.52,-0.08,0.25
1.3120,-10.20,2.51,1.96,0.64,0.04,-0.07
1.3940,-11.57,4.67,2.94,0.17,0.17,-0.36
1.4760,-10.04,5.84,4.43,-0.40,0.26,-0.69
1.5580,-9.14,4.00,3.26,0.03,0.07,-0.42
1.6400,-9.73,3.77,3.10,0.12,0.01,-0.07
1.7220,-8.32,3.33,2.00,-0.11,0.10,0.13
1.8040,-8.00,2.75,1.57,-0.17,-0.09,0.16
1.8860,-8.55,2.90,1.49,-0.27,-0.21,-0.06
1.9680,-9.53,2.79,1.61,-0.38,-0.21,-0.07
2.0500,-11.26,2.51,0.24,-0.20,-0.09,-0.08
2.1320,-9.81,1.92,0.27,-0.57,0.66,-0.07
2.2140,-16.79,7.96,10.67,1.35,-0.84,0.82
2.2960,-2.00,2.55,2.28,-0.90,0.71,0.05
2.3780,-9.49,4.63,4.94,0.41,-0.84,-0.11
2.4600,-8.71,1.96,3.49,0.32,-0.36,-0.19
2.5420,-8.67,3.45,2.98,0.09,-0.31,0.11
2.6240,-8.51,2.94,2.75,0.45,-0.32,0.02
2.7060,-9.92,2.16,2.16,0.65,-0.17,0.09
2.7880,-9.81,3.26,1.65,0.36,0.09,-0.15
2.8700,-11.14,4.59,4.75,0.73,0.09,-0.51
2.9520,-8.98,6.75,6.43,-0.18,0.17,-0.97
3.0340,-9.53,3.18,3.77,0.51,-0.03,-0.07
3.1160,-7.53,3.30,2.24,0.13,0.07,0.13
3.1980,-7.61,3.14,2.28,0.00,0.04,0.21
3.2800,-8.59,2.63,1.88,-0.11,-0.11,0.06
3.3620,-9.53,1.80,1.33,-0.36,-0.08,0.01
3.4440,-9.73,3.02,2.28,-0.59,0.13,0.00
3.5260,-10.40,1.10,0.04,-0.35,0.43,-0.05
3.6080,-13.89,10.28,10.24,-0.03,-0.67,0.38
3.6900,-7.02,0.90,3.45,-0.16,0.82,-0.17
3.7720,-7.92,5.06,4.47,-0.31,-0.23,0.28
3.8540,-8.20,3.14,3.73,0.28,-0.53,-0.23
3.9360,-8.20,1.77,2.82,0.40,-0.36,0.09
4.0180,-9.02,2.55,2.59,0.13,-0.25,0.21
4.1000,-8.79,2.51,1.80,0.39,0.04,0.25
4.1820,-10.28,1.92,1.69,0.57,0.10,0.16
4.2640,-11.53,4.59,3.26,0.13,0.21,-0.18
4.3460,-9.41,6.16,5.92,-0.57,0.34,-1.08
4.4280,-12.98,3.69,4.28,0.19,-0.21,-0.67
4.5100,-7.53,2.39,2.12,-0.29,0.36,0.43
4.5920,-6.86,3.18,2.04,-0.27,0.16,0.45
4.6740,-7.22,2.12,1.37,-0.41,-0.08,0.25
4.7560,-10.00,1.02,1.33,-0.59,-0.23,0.07
4.8380,-11.73,5.06,1.65,-0.31,-0.01,-0.08
4.9200,-12.32,4.67,7.85,-0.20,0.17,0.17
5.0020,-5.61,2.75,3.45,0.41,1.44,0.11
5.0840,-7.45,5.26,5.02,-0.63,-0.30,0.26
5.1660,-7.81,2.71,3.45,0.14,-0.36,-0.15
5.2480,-7.45,1.88,2.47,-0.04,-0.23,0.15
5.3300,-8.63,2.71,2.51,0.13,-0.07,0.30
5.4120,-9.49,2.59,2.75,0.39,0.14,0.25
5.4940,-10.83,0.51,0.94,0.37,0.13,0.03
5.5760,-11.26,4.43,3.30,0.08,0.17,-0.21
5.6580,-9.53,7.69,7.02,-1.35,0.29,-0.98
5.7400,-11.34,3.10,3.80,0.28,0.00,-0.30
5.8220,-7.49,2.08,1.84,-0.68,0.51,0.36
5.9040,-7.34,2.55,1.29,-0.69,0.34,0.49
5.9860,-6.67,1.57,1.06,-0.82,0.24,0.32
6.0680,-9.45,3.26,1.77,-1.08,-0.13,0.22
6.1500,-13.57,1.41,-0.63,0.06,-0.06,0.05
6.2320,-15.69,7.49,8.63,-0.29,-0.69,0.49
6.3140,-7.53,2.98,5.06,-0.06,0.69,0.22
6.3960,-8.87,5.41,4.51,-0.35,-0.34,-0.07
6.4780,-8.20,1.69,2.86,0.29,-0.20,-0.29
6.5600,-7.18,2.31,1.92,0.08,-0.36,0.19
6.6420,-8.43,2.20,1.69,0.48,-0.23,0.37
6.7240,-10.71,3.22,0.82,0.84,-0.08,0.20
6.8060,-11.96,5.33,3.18,-0.67,0.36,-0.27
6.8880,-8.79,7.65,6.55,-0.51,0.33,-1.09
6.9700,-12.04,2.82,3.88,0.45,-0.09,-0.25
7.0520,-7.92,1.84,1.61,-0.22,0.38,0.30
7.1340,-6.51,2.75,1.33,-0.42,0.18,0.47
7.2160,-6.59,1.69,0.63,-0.62,0.06,0.22
7.2980,-10.67,4.04,2.75,-1.03,-0.20,-0.10
7.3800,-12.94,1.02,0.47,0.37,0.16,-0.16
7.4620,-13.96,8.79,4.63,0.84,-0.57,0.50
7.5440,-8.43,2.43,5.45,-0.26,0.31,0.12
7.6260,-7.85,3.92,4.20,-0.45,-0.28,0.16
7.7080,-7.96,2.63,3.41,-0.04,-0.40,-0.02
7.7900,-7.41,2.12,2.43,0.01,-0.23,0.16
7.8720,-8.55,2.47,2.08,0.36,0.13,0.24
