"NAME:","walk_122_1_2.csv"
"EXPERIMENT TIME:","15/03/2024 23:34:20"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","119"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"0.0","1.88","10.0","-4.39","-0.45","0.52","-0.12"
"0.060","2.35","9.92","-4.00","-0.37","0.58","-0.01"
"0.130","2.43","10.2","-3.92","-0.26","0.46","0.01"
"0.190","2.59","9.18","-3.33","-0.10","0.39","0.02"
"0.25","3.02","8.75","-3.73","0.02","0.32","0.08"
"0.320","2.94","8.43","-3.80","0.07","0.29","0.03"
"0.75","0.16","9.34","-3.14","-0.16","0.49","-0.57"
"1.070","0.75","12.8","-1.80","0.20","-0.13","0.59"
"1.130","-1.22","13.6","1.02","-0.23","0.45","0.30"
"1.190","2.31","13.3","-3.41","0.09","-0.32","0.09"
"1.25","1.88","9.10","-1.88","-0.23","0.55","0.52"
"2.130","1.84","10.2","-5.02","0.15","-0.60","0.39"
"2.190","2.47","12.4","-4.08","0.44","-0.37","0.55"
"2.630","1.33","11.3","-2.71","-0.22","0.70","-0.32"
"2.690","2.28","11.4","-4.51","0.54","0.17","-0.31"
"2.760","-2.12","16.5","-3.49","-0.87","-0.85","-0.48"
"2.820","1.26","10.4","-0.47","-0.19","0.36","-0.31"
"2.880","1.02","9.06","-2.63","-0.77","-0.11","-0.06"
"2.940","-2.55","9.26","0.39","-0.78","0.50","-0.78"
"3.010","0.47","7.45","-1.53","0.13","-0.78","-0.16"
"3.070","0.20","8.94","-2.47","0.02","-0.29","-0.48"
"3.200","2.24","10.9","-3.18","0.50","-0.56","0.19"
"3.260","0.78","13.0","-1.18","-0.22","0.13","0.31"
"3.320","-4.86","13.1","1.14","-0.42","0.36","0.37"
"3.390","0.55","12.2","-1.18","0.32","-0.06","0.44"
"3.450","0.43","8.63","-1.45","-0.03","0.16","0.43"
"3.510","0.71","7.53","-1.10","-0.21","0.59","0.40"
"3.570","2.59","7.61","-1.49","0.21","0.26","0.23"
"3.640","3.41","8.16","-1.84","0.50","0.64","-0.01"
"3.700","0.63","11.8","-2.79","0.70","-0.01","-0.30"
"3.760","0.43","14.7","-1.45","0.25","-0.27","-0.30"
"3.830","-1.73","11.9","-1.10","0.20","-0.36","-0.51"
"3.890","0.00","10.2","-1.10","-0.24","-0.30","0.30"
"3.950","-1.26","9.69","-2.31","0.24","0.01","-0.22"
"4.010","-1.37","8.16","-2.20","-0.34","-0.42","-0.41"
"4.080","-0.24","7.73","-2.24","-0.28","-0.28","-0.14"
"4.200","0.90","10.3","-3.33","0.09","-0.36","-0.16"
"4.330","-0.90","12.8","-1.96","-0.39","-0.27","0.42"
"4.390","-1.53","13.8","-0.20","-0.14","0.48","0.29"
