"Name:","run_127_4_1"
"EXPERIMENT TIME:","15/03/2024 20:39"
"ACTIVITY TYPE:","Running"
"COUNT OF ACTUAL STEPS:","142"

"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"0.0","0.16","2.35","-10.51","-0.01","0.2","-0.34"
"0.8","0.31","2.55","-10.08","-0.02","0.11","-0.43"
"2.353","2.63","3.73","-7.53","-0.21","-0.49","-0.04"
"3.486","-0.39","4.08","0.16","0.13","-1.04","0.08"
"3.536","-0.9","-2.79","4.04","0.1","-0.8","-0.92"
"3.586","5.02","-1.92","-0.39","0.77","0.59","-0.08"
"3.636","-3.53","1.49","-20.01","-0.89","0.27","0.39"
"3.686","9.81","13.38","-17.57","-1.1","1.45","1.32"
"3.736","-3.69","5.73","-15.73","-1.01","0.51","0.28"
"3.786","-2.08","10.08","-15.3","0.18","0.8","0.6"
"3.836","0.08","4.2","-10.2","0.29","1.43","-0.16"
"3.886","0.9","3.22","-14.04","1.09","0.65","-0.3"
"3.936","1.14","-2.08","3.37","0.27","-1.19","-1.21"
"3.986","3.53","2.43","-3.06","0.99","-0.63","-0.28"
"4.036","0.51","-1.8","-7.02","0.36","-0.89","-0.58"
"4.286","-1.61","2.31","-4.94","-1.01","-0.71","0.69"
"4.336","0.16","2.39","-1.57","-0.57","-0.44","-0.05"
"4.386","1.1","-2.31","6.16","-0.99","-0.36","0.02"
"4.436","-0.9","-2.28","-11.61","-0.04","0.34","-0.15"
"4.486","1.57","4.86","-6.35","-1.21","-0.82","0.15"
"4.536","-2.47","3.84","-20.01","0.86","1.24","0.07"
"4.586","-2.24","6.0","-8.83","-0.73","0.59","1.03"
"4.636","3.73","14.83","-17.69","0.53","1.05","1.88"
"4.886","1.29","-1.57","-5.81","0.11","-1.02","-0.33"
"4.936","6.24","6.63","-0.47","-1.41","0.06","0.34"
"4.986","3.77","5.1","-20.01","2.13","0.23","-0.75"
"5.036","-0.82","-2.16","-13.61","0.03","-0.58","-0.63"
"5.086","-5.18","1.77","-19.89","0.87","-0.17","1.01"
"5.136","-1.69","3.49","-4.9","-0.43","-0.71","1.46"
"5.186","-0.94","3.37","-3.57","0.25","-0.73","1.01"
"5.236","0.71","0.39","5.49","-0.54","-1.04","-0.44"
"5.286","3.65","-1.41","2.08","0.79","0.31","-0.07"
"5.336","-1.29","-2.28","-17.57","0.15","0.18","-0.54"
"5.386","12.71","14.95","-19.1","-1.89","1.77","2.83"
"5.436","-1.8","6.12","-16.55","-1.12","0.21","-0.13"
"5.486","-4.94","3.73","-17.26","0.76","1.01","0.2"
"5.536","0.43","6.12","-11.26","-0.25","1.22","0.39"
"5.586","-0.51","2.35","-11.73","-0.29","0.85","0.34"
"5.636","2.67","0.35","1.45","0.22","-0.59","-0.98"
"5.686","-0.16","-1.84","0.63","0.69","-0.67","-0.38"
"5.736","1.73","0.16","-3.14","0.82","-0.65","-0.22"
"5.786","6.16","4.75","-6.35","-0.38","-0.31","-0.31"
"5.836","6.32","9.41","-20.01","1.61","0.92","-0.89"
"5.886","-2.59","-1.14","-20.01","0.41","-0.15","-0.77"
"5.936","-3.96","3.06","-16.55","-0.0","0.16","0.56"
"5.986","-3.14","0.9","-14.59","-0.18","-0.29","0.42"
"6.036","-0.59","3.65","-1.65","-0.5","-0.42","0.55"
"6.086","-0.9","-0.12","1.8","0.21","-0.79","-0.83"
"6.136","2.16","-2.08","2.43","-0.3","-0.2","-0.94"
"6.186","-0.43","-4.59","-17.38","0.1","0.3","-0.39"
"6.236","2.08","2.31","-7.18","-1.76","-0.48","0.33"
"6.286","-4.08","2.08","-20.01","1.7","0.91","0.25"
"6.336","-0.51","7.06","-10.83","-1.01","0.8","1.05"
"6.386","0.39","6.71","-12.51","-0.18","1.79","1.54"
"6.436","2.04","5.88","-11.38","-0.57","1.47","0.57"
"6.486","3.26","3.26","-6.86","-0.01","-0.33","-1.34"
"6.536","-0.39","-2.59","0.59","0.4","-1.24","-1.66"
"6.586","3.18","-0.27","-2.55","0.0","-0.81","-0.48"
"6.636","3.33","0.04","-7.18","0.08","-1.06","-0.68"
"6.686","6.24","6.12","-18.12","1.96","0.44","-0.03"
"6.736","-2.08","-1.8","-20.01","0.56","0.18","-0.68"
"6.786","-2.43","3.84","-17.93","0.26","-0.29","1.05"
"6.836","-3.57","2.2","-16.99","-0.35","-0.4","1.13"
"6.886","0.67","4.35","-1.14","-1.11","-0.6","1.05"
"6.936","0.63","1.96","2.24","-0.49","-0.96","-0.15"
"6.986","0.31","-3.45","5.06","-0.78","0.0","-0.39"
"7.036","-0.55","-1.96","-14.36","0.33","0.7","-0.2"
"7.086","2.51","8.94","-10.2","-1.72","-0.14","0.01"
"7.136","-2.98","4.28","-20.01","1.4","1.01","-1.05"
"7.186","-2.86","2.79","-11.45","-0.49","0.65","0.11"
"7.236","2.39","6.55","-13.89","0.86","1.36","0.83"
"7.286","-0.35","3.57","-11.18","0.26","1.64","0.68"
"7.336","3.77","7.02","-14.87","0.73","0.48","0.28"
"7.386","-0.35","0.78","-2.35","0.2","-1.0","-1.18"
"7.436","1.65","-0.78","0.39","0.43","-0.98","-0.63"
"7.486","1.96","-3.26","-6.04","0.15","-0.57","-0.37"
"7.536","8.47","3.33","-3.61","-2.04","0.34","0.5"
"7.586","9.89","11.3","-20.01","1.66","0.35","0.32"
"7.636","-1.53","-3.96","-16.71","-0.29","-0.64","-0.7"
"7.686","-3.14","3.8","-20.01","0.41","-0.4","1.52"
"7.736","-2.08","4.86","-6.55","-0.9","-0.81","1.87"
"7.786","2.28","6.79","-0.86","-0.36","-0.46","0.9"
"7.836","-0.75","-0.71","2.94","0.0","-1.35","-1.94"
"7.886","1.92","-5.1","2.51","-0.67","-0.39","-1.14"
"7.936","-1.06","-1.45","-15.26","-0.18","0.16","0.1"
"7.986","-0.82","7.14","-9.85","-2.33","0.06","0.53"
"8.036","0.31","9.96","-20.01","1.39","1.55","-0.61"
"8.086","-5.22","3.92","-15.34","-0.24","1.17","-0.74"
"8.136","2.47","7.26","-8.28","-0.35","1.3","1.13"
"8.186","1.22","3.69","-9.92","0.75","1.29","0.07"
