"NAME:","walk_122_5_2.csv"
"EXPERIMENT TIME:","15/03/2024 23:50:02"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","125"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"0.0","0.90","10.5","-2.94","0.02","0.38","-0.19"
"0.070","-0.47","14.7","-1.33","-0.21","0.33","-0.33"
"0.130","1.06","15.6","-4.16","-0.22","0.06","0.29"
"0.190","0.47","9.61","0.75","-0.59","0.24","0.32"
"0.25","-2.98","9.14","0.59","-0.90","0.30","-0.02"
"0.320","-1.49","9.26","0.20","-0.85","0.67","-0.12"
"0.380","-1.18","8.20","-1.49","-0.11","-0.10","-0.08"
"0.440","-1.84","8.28","-0.43","-0.48","-0.14","-0.22"
"0.510","0.47","10.2","-2.00","-0.46","-0.44","-0.18"
"0.570","2.04","9.14","-1.73","-0.38","-0.26","-0.02"
"0.630","0.82","10.0","-0.51","-0.55","-0.36","-0.11"
"0.700","-0.71","12.5","2.39","0.94","0.09","-0.36"
"0.760","-3.73","10.4","2.59","1.39","-0.12","-0.20"
"0.820","1.53","14.2","0.59","0.98","0.45","-0.24"
"0.890","-0.08","8.32","-1.26","0.15","0.47","0.35"
"0.950","-1.57","9.06","-2.51","0.92","0.27","0.51"
"1.010","1.53","8.51","-2.16","0.12","0.37","0.31"
"1.070","1.33","9.02","-4.75","-0.46","0.91","-0.33"
"1.140","-0.35","12.4","-5.33","0.34","0.19","-0.19"
"1.200","-6.20","20.0","1.92","0.62","0.03","0.39"
"1.260","1.37","9.06","1.41","-0.54","0.24","0.96"
"1.330","-2.20","9.49","-1.88","-0.53","0.17","-0.40"
"1.390","-2.82","7.53","-0.31","-0.27","0.10","-0.29"
"1.450","0.12","7.30","-1.10","-0.19","-0.41","-0.12"
"1.520","-1.14","10.0","-1.33","-0.49","-0.75","-0.03"
"1.580","1.06","9.49","-1.22","-0.92","-0.13","0.01"
"1.640","2.86","10.4","-1.77","-0.42","-0.80","-0.18"
"1.700","0.31","8.24","2.16","1.89","0.30","-0.72"
"1.770","-4.86","16.7","5.22","1.19","0.14","-0.56"
"1.830","1.73","9.77","-0.27","0.15","0.18","-0.23"
"1.890","-0.55","8.63","-1.57","0.38","1.00","-0.03"
"1.960","-1.53","7.57","-2.04","0.57","-0.20","0.63"
"2.020","0.94","8.63","-2.90","-0.43","0.53","0.25"
"2.080","0.59","9.77","-4.04","-0.11","1.04","-0.37"
"2.150","-0.51","14.3","-4.28","0.53","-0.07","0.16"
"2.210","-1.77","12.0","-0.82","-0.03","-0.83","1.36"
"2.270","1.92","9.77","3.14","-0.21","0.05","0.55"
"2.330","-4.31","8.39","-0.59","-1.10","0.22","-0.41"
"2.400","-2.28","7.37","-0.86","-0.25","-0.35","-0.13"
"2.460","0.47","7.92","-1.49","-0.31","-0.51","-0.31"
"2.520","-1.92","9.96","-1.69","-0.63","-0.81","-0.20"
"2.590","1.77","9.02","-1.77","-0.82","-0.17","-0.06"
"2.650","3.84","9.73","0.43","-0.04","-0.85","-0.13"
"2.710","-3.14","13.0","3.57","1.93","-0.40","-0.79"
